Občina,Leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Basic or less,Education - TOTAL,Tertiary,Upper secondary,Active,Inactive,Population aged 15+ years  - TOTAL,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for men.1,Employment rate for men.2,Employment rate for women,Employment rate for women.1,Employment rate for women.2,Employment rate.1,Employment rate.2,Natural increase,Natural increase ,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Total increase per 1000 population 
beltinci,2023,12363.26,12877.460000000001,1297.5425,5103.8625,595.045,40.1,45.0,34.8,21.1,23.4,18.6,78.9,76.6,81.4,2179.0,7027.0,1098.5,3749.5,3260.3333333333335,4261.333333333333,3924.3333333333335,20.0,37.0,17.0,4.6,119.0,252.0,133.0,31.1,36.0,52.0,16.0,6.4,142.0,264.0,122.0,32.6,23.0,12.0,-11.0,1.5,16.0,15.0,-1.0,1.9,39.0,27.0,-12.0,3.3,0.0,0.0,0.0,65.5,0.0,0.0,63.3,0.0,64.4,-35.0,0.0,12.0,15.0,-8.0,-1.0,0.0
beltinci,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3260.3333333333335,4261.333333333333,3924.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benedikt,2000,0.0,0.0,0.0,0.0,0.0,27.2,31.1,22.4,15.9,19.8,11.2,84.1,80.2,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benedikt,2003,0.0,0.0,0.0,0.0,0.0,26.6,26.7,26.5,13.1,14.2,11.8,86.9,85.8,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,12.0,25.0,13.0,11.6,0.0,0.0,0.0,0.0,15.0,40.0,25.0,18.5,3.0,15.0,12.0,6.9,0.0,-1.0,-1.0,-0.5,3.0,14.0,11.0,6.5,50.3,51.4,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0.0,-1.0,15.0,-1.0,13.0,0.0,6.0
benedikt,2013,0.0,0.0,0.0,0.0,0.0,33.1,34.3,31.6,17.4,18.6,16.1,82.6,81.4,83.9,663.5,2129.0,309.0,1156.5,982.0,1270.3333333333333,1180.0,3.0,6.0,3.0,2.4,51.0,94.0,43.0,38.1,4.0,8.0,4.0,3.2,63.0,127.0,64.0,51.4,12.0,33.0,21.0,13.4,1.0,2.0,1.0,0.8,13.0,35.0,22.0,14.2,0.0,0.0,59.2,0.0,0.0,51.4,0.0,55.5,0.0,0.0,0.0,33.0,2.0,35.0,14.2,0.0
benedikt,2014,7119.551999999999,7655.8425,1073.7775,2908.7000000000003,202.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benedikt,2023,12970.894,13729.564999999999,1250.71,4698.79,745.6775,40.7,43.1,38.2,19.1,21.1,17.0,80.9,78.9,83.0,663.5,2129.0,309.0,1156.5,982.0,1270.3333333333333,1180.0,6.0,12.0,6.0,4.4,58.0,124.0,66.0,45.4,16.0,19.0,3.0,7.0,53.0,106.0,53.0,38.8,-5.0,-18.0,-13.0,-6.6,10.0,7.0,-3.0,2.6,5.0,-11.0,-16.0,-4.0,0.0,0.0,0.0,61.5,0.0,0.0,62.5,0.0,62.0,1.0,0.0,-18.0,7.0,-10.0,-3.7,0.0
benedikt,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.0,1270.3333333333333,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bistrica ob sotli,2000,0.0,0.0,0.0,0.0,0.0,74.1,55.5,95.2,39.4,33.6,46.0,60.6,66.4,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bistrica ob sotli,2003,0.0,0.0,0.0,0.0,0.0,75.0,56.9,95.7,40.7,33.2,49.2,59.3,66.8,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.8,4.0,8.0,4.0,5.4,3.0,6.0,3.0,4.1,8.0,16.0,8.0,10.8,4.0,8.0,4.0,5.4,0.0,-4.0,-4.0,-2.7,4.0,4.0,0.0,2.7,55.0,58.6,0.0,0.0,50.9,0.0,0.0,0.0,0.0,0.0,-9.0,8.0,-4.0,-5.0,0.0,-3.4
