Občina,Leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Basic or less,Education - TOTAL,Tertiary,Upper secondary,Active,Inactive,Population aged 15+ years  - TOTAL,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for men.1,Employment rate for men.2,Employment rate for women,Employment rate for women.1,Employment rate for women.2,Employment rate.1,Employment rate.2,Natural increase,Natural increase ,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Total increase per 1000 population 
mengeš,2003,0.0,0.0,0.0,0.0,0.0,94.5,131.7,55.4,24.8,30.8,18.5,75.2,69.2,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,47.0,122.0,75.0,18.2,30.0,35.0,5.0,5.2,60.0,125.0,65.0,18.6,13.0,3.0,-10.0,0.4,23.0,28.0,5.0,4.2,36.0,31.0,-5.0,4.6,58.5,62.1,0.0,0.0,55.1,0.0,0.0,0.0,0.0,0.0,6.0,3.0,28.0,37.0,0.0,5.5
mengeš,2013,0.0,0.0,0.0,0.0,0.0,67.7,76.4,58.1,21.7,24.7,18.4,78.3,75.3,81.6,1443.5,6684.0,1702.0,3538.5,3198.3333333333335,3734.0,4083.0,17.0,29.0,12.0,3.8,202.0,385.0,183.0,50.8,24.0,39.0,15.0,5.2,241.0,500.0,259.0,66.0,39.0,115.0,76.0,15.2,7.0,10.0,3.0,1.3,46.0,125.0,79.0,16.5,0.0,0.0,62.8,0.0,0.0,55.8,0.0,59.3,0.0,-21.0,0.0,115.0,10.0,104.0,13.7,0.0
mengeš,2014,9101.838,9942.325,1244.8425,4312.655,522.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mengeš,2023,15620.016,15661.012499999999,2028.335,5895.77,1063.2775,117.7,137.7,94.1,24.8,31.0,17.6,75.2,69.0,82.4,1443.5,6684.0,1702.0,3538.5,3198.3333333333335,3734.0,4083.0,67.0,95.0,28.0,11.0,208.0,409.0,201.0,47.3,96.0,127.0,31.0,14.7,238.0,480.0,242.0,55.5,30.0,71.0,41.0,8.2,29.0,32.0,3.0,3.7,59.0,103.0,44.0,11.9,0.0,0.0,0.0,77.4,0.0,0.0,68.6,0.0,73.2,-46.0,0.0,71.0,32.0,57.0,6.6,0.0
mengeš,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.3333333333335,3734.0,4083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metlika,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,20.0,47.0,27.0,0.0,9.0,27.0,18.0,0.0,35.0,70.0,35.0,0.0,15.0,23.0,8.0,0.0,6.0,22.0,16.0,0.0,21.0,45.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,23.0,22.0,55.0,0.0,0.0
metlika,2000,0.0,0.0,0.0,0.0,0.0,106.9,97.5,117.2,70.0,64.6,75.9,30.0,35.4,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metlika,2003,0.0,0.0,0.0,0.0,0.0,101.7,89.1,116.3,67.4,61.8,73.8,32.6,38.2,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,6.0,1.9,14.0,35.0,21.0,4.2,26.0,43.0,17.0,5.2,25.0,54.0,29.0,6.5,11.0,19.0,8.0,2.3,16.0,27.0,11.0,3.2,27.0,46.0,19.0,5.5,66.2,69.0,0.0,0.0,63.3,0.0,0.0,0.0,0.0,0.0,-11.0,19.0,27.0,35.0,0.0,4.2
metlika,2013,0.0,0.0,0.0,0.0,0.0,90.8,89.7,92.2,53.5,49.8,58.2,46.5,50.2,41.8,1999.5,7186.5,1215.5,3971.5,3386.3333333333335,4362.0,4143.333333333333,27.0,46.0,19.0,5.5,151.0,289.0,138.0,34.4,30.0,49.0,19.0,5.8,165.0,330.0,165.0,39.3,14.0,41.0,27.0,4.9,3.0,3.0,0.0,0.4,17.0,44.0,27.0,5.2,0.0,0.0,60.8,0.0,0.0,51.9,0.0,56.6,0.0,-11.0,0.0,41.0,3.0,33.0,3.9,0.0
metlika,2014,7380.7660000000005,7806.6525,1140.915,3532.1975,396.5775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metlika,2023,12468.22,13018.805,1400.4575,5199.29,645.89,78.3,76.9,80.2,45.0,42.7,48.0,55.0,57.3,52.0,1999.5,7186.5,1215.5,3971.5,3386.3333333333335,4362.0,4143.333333333333,56.0,82.0,26.0,9.7,159.0,307.0,148.0,36.3,68.0,125.0,57.0,14.8,156.0,287.0,131.0,33.9,-3.0,-20.0,-17.0,-2.4,12.0,43.0,31.0,5.1,9.0,23.0,14.0,2.7,0.0,0.0,0.0,76.7,0.0,0.0,67.5,0.0,72.5,-51.0,0.0,-20.0,43.0,-28.0,-3.3,0.0
metlika,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386.3333333333335,4362.0,4143.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mežica,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,43.0,26.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,15.0,0.0,-3.0,-14.0,-11.0,0.0,0.0,0.0,0.0,0.0,-3.0,-14.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-14.0,0.0,-23.0,0.0,0.0
mežica,2000,0.0,0.0,0.0,0.0,0.0,95.1,93.7,96.6,39.7,39.1,40.4,60.3,60.9,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mežica,2003,0.0,0.0,0.0,0.0,0.0,98.9,100.7,96.9,39.5,38.8,40.3,60.5,61.2,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,2.8,28.0,58.0,30.0,14.7,3.0,6.0,3.0,1.5,10.0,23.0,13.0,5.8,-18.0,-35.0,-17.0,-8.9,-2.0,-5.0,-3.0,-1.3,-20.0,-40.0,-20.0,-10.1,50.9,54.4,0.0,0.0,47.3,0.0,0.0,0.0,0.0,0.0,-2.0,-35.0,-5.0,-42.0,0.0,-10.6
mežica,2013,0.0,0.0,0.0,0.0,0.0,102.8,119.9,81.1,38.3,42.7,32.7,61.7,57.3,67.3,771.5,3113.0,526.5,1815.0,1430.6666666666667,1906.3333333333333,1831.0,11.0,16.0,5.0,4.4,75.0,141.0,66.0,39.0,13.0,23.0,10.0,6.4,61.0,122.0,61.0,33.8,-14.0,-19.0,-5.0,-5.3,2.0,7.0,5.0,1.9,-12.0,-12.0,0.0,-3.3,0.0,0.0,57.3,0.0,0.0,49.6,0.0,53.7,0.0,0.0,0.0,-19.0,7.0,-12.0,-3.3,0.0
mežica,2014,8739.856,9657.88,966.2249999999999,4074.2525,938.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mežica,2023,13689.128,14567.115,1474.68,5713.2575,204.28,112.9,124.2,98.2,41.9,46.8,35.4,58.1,53.2,64.6,771.5,3113.0,526.5,1815.0,1430.6666666666667,1906.3333333333333,1831.0,15.0,21.0,6.0,5.9,91.0,163.0,72.0,45.9,32.0,57.0,25.0,16.1,64.0,122.0,58.0,34.4,-27.0,-41.0,-14.0,-11.5,17.0,36.0,19.0,10.1,-10.0,-5.0,5.0,-1.4,0.0,0.0,0.0,67.7,0.0,0.0,61.4,0.0,64.8,-6.0,0.0,-41.0,36.0,-11.0,-3.1,0.0
mežica,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.6666666666667,1906.3333333333333,1831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miklavž na dravskem polju,2000,0.0,0.0,0.0,0.0,0.0,39.6,46.3,31.5,18.0,20.2,15.3,82.0,79.8,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miklavž na dravskem polju,2003,0.0,0.0,0.0,0.0,0.0,38.1,42.9,32.3,17.7,20.5,14.2,82.3,79.5,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,1.7,36.0,83.0,47.0,13.8,10.0,19.0,9.0,3.2,61.0,118.0,57.0,19.6,25.0,35.0,10.0,5.8,7.0,9.0,2.0,1.5,32.0,44.0,12.0,7.3,51.6,57.1,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,-6.0,35.0,9.0,38.0,0.0,6.3
miklavž na dravskem polju,2013,0.0,0.0,0.0,0.0,0.0,48.3,55.7,40.2,19.8,23.5,15.8,80.2,76.5,84.2,1097.0,5821.5,1174.5,3550.0,2643.3333333333335,3388.6666666666665,3523.3333333333335,13.0,27.0,14.0,4.2,167.0,298.0,131.0,46.4,15.0,27.0,12.0,4.2,176.0,320.0,144.0,49.8,9.0,22.0,13.0,3.4,2.0,0.0,-2.0,0.0,11.0,22.0,11.0,3.4,0.0,0.0,58.0,0.0,0.0,52.3,0.0,55.1,0.0,12.0,0.0,22.0,0.0,34.0,5.3,0.0
miklavž na dravskem polju,2014,7900.482000000001,8927.9275,1038.5049999999999,3838.1125,433.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miklavž na dravskem polju,2023,13397.328000000003,14724.282500000001,1139.325,5466.455,1212.11,46.5,50.6,40.9,15.0,15.0,15.2,85.0,85.0,84.8,1097.0,5821.5,1174.5,3550.0,2643.3333333333335,3388.6666666666665,3523.3333333333335,102.0,125.0,23.0,17.5,283.0,434.0,151.0,60.7,152.0,195.0,43.0,27.3,276.0,421.0,145.0,58.9,-7.0,-13.0,-6.0,-1.8,50.0,70.0,20.0,9.8,43.0,57.0,14.0,8.0,0.0,0.0,0.0,67.8,0.0,0.0,61.6,0.0,65.0,-17.0,0.0,-13.0,70.0,40.0,5.6,0.0
miklavž na dravskem polju,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2643.3333333333335,3388.6666666666665,3523.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miren - kostanjevica,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,21.0,0.0,2.0,4.0,2.0,0.0,13.0,40.0,27.0,0.0,0.0,6.0,6.0,0.0,2.0,4.0,2.0,0.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,6.0,4.0,-15.0,0.0,0.0
miren - kostanjevica,2000,0.0,0.0,0.0,0.0,0.0,62.3,55.6,70.2,25.7,25.9,25.5,74.3,74.1,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miren - kostanjevica,2003,0.0,0.0,0.0,0.0,0.0,56.6,56.8,56.4,24.7,26.0,23.2,75.3,74.0,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,2.1,28.0,61.0,33.0,12.6,8.0,21.0,13.0,4.3,24.0,46.0,22.0,9.5,-4.0,-15.0,-11.0,-3.1,3.0,11.0,8.0,2.3,-1.0,-4.0,-3.0,-0.8,55.6,59.4,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,-20.0,-15.0,11.0,-24.0,0.0,-4.9
miren - kostanjevica,2013,0.0,0.0,0.0,0.0,0.0,59.7,62.4,56.7,24.6,26.6,22.2,75.4,73.4,77.8,1083.0,4258.0,892.5,2282.5,1983.3333333333333,2480.0,2490.0,21.0,30.0,9.0,6.2,109.0,217.0,108.0,44.7,16.0,26.0,10.0,5.4,109.0,205.0,96.0,42.2,0.0,-12.0,-12.0,-2.5,-5.0,-4.0,1.0,-0.8,-5.0,-16.0,-11.0,-3.3,0.0,0.0,56.9,0.0,0.0,52.4,0.0,54.7,0.0,10.0,0.0,-12.0,-4.0,-6.0,-1.2,0.0
miren - kostanjevica,2014,8275.473999999998,8944.2825,1100.2224999999999,4139.297500000001,447.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miren - kostanjevica,2023,13822.460000000001,14143.130000000001,1171.3625,5665.25,1178.625,51.8,51.3,52.5,20.8,22.3,18.9,79.2,77.7,81.1,1083.0,4258.0,892.5,2282.5,1983.3333333333333,2480.0,2490.0,41.0,71.0,30.0,14.0,125.0,256.0,131.0,50.6,45.0,65.0,20.0,12.8,138.0,235.0,97.0,46.4,13.0,-21.0,-34.0,-4.1,4.0,-6.0,-10.0,-1.2,17.0,-27.0,-44.0,-5.3,0.0,0.0,0.0,72.5,0.0,0.0,68.1,0.0,70.4,-15.0,0.0,-21.0,-6.0,-42.0,-8.3,0.0
miren - kostanjevica,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.3333333333333,2480.0,2490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mirna,2013,0.0,0.0,0.0,0.0,0.0,63.9,68.8,58.6,26.4,29.0,23.5,73.6,71.0,76.5,515.0,2222.5,469.0,1238.5,1028.3333333333333,1294.3333333333333,1320.3333333333333,6.0,9.0,3.0,3.5,75.0,148.0,73.0,57.4,7.0,17.0,10.0,6.6,56.0,108.0,52.0,41.9,-19.0,-40.0,-21.0,-15.5,1.0,8.0,7.0,3.1,-18.0,-32.0,-14.0,-12.4,0.0,0.0,63.6,0.0,0.0,54.9,0.0,59.3,0.0,10.0,0.0,-40.0,8.0,-22.0,-8.5,0.0
mirna,2014,8429.676000000001,8944.525,1223.98,3776.1,82.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mirna,2023,14917.076000000001,14841.582499999999,1308.64,5300.63,162.08,68.2,69.9,66.2,24.1,26.6,21.2,75.9,73.4,78.8,515.0,2222.5,469.0,1238.5,1028.3333333333333,1294.3333333333333,1320.3333333333333,11.0,15.0,4.0,5.5,64.0,140.0,76.0,51.2,9.0,21.0,12.0,7.7,82.0,165.0,83.0,60.4,18.0,25.0,7.0,9.2,-2.0,6.0,8.0,2.2,16.0,31.0,15.0,11.3,0.0,0.0,0.0,78.8,0.0,0.0,71.5,0.0,75.2,7.0,0.0,25.0,6.0,38.0,13.9,0.0
mirna,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.3333333333333,1294.3333333333333,1320.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mirna peč,2000,0.0,0.0,0.0,0.0,0.0,26.9,19.3,36.5,18.1,12.3,25.4,81.9,87.7,74.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mirna peč,2003,0.0,0.0,0.0,0.0,0.0,19.0,18.1,20.2,11.6,10.2,13.5,88.4,89.8,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,18.0,12.8,1.0,1.0,0.0,0.4,21.0,43.0,22.0,15.7,4.0,8.0,4.0,2.9,1.0,1.0,0.0,0.4,5.0,9.0,4.0,3.3,59.2,64.1,0.0,0.0,53.8,0.0,0.0,0.0,0.0,0.0,-3.0,8.0,1.0,6.0,0.0,2.2
mirna peč,2013,0.0,0.0,0.0,0.0,0.0,23.4,22.0,25.1,12.7,12.8,12.6,87.3,87.2,87.4,675.0,2455.5,483.0,1297.5,1143.6666666666667,1415.0,1404.3333333333333,4.0,5.0,1.0,1.7,55.0,109.0,54.0,38.1,2.0,3.0,1.0,1.0,62.0,129.0,67.0,45.1,7.0,20.0,13.0,7.0,-2.0,-2.0,0.0,-0.7,5.0,18.0,13.0,6.3,0.0,0.0,64.7,0.0,0.0,58.7,0.0,61.8,0.0,19.0,0.0,20.0,-2.0,37.0,12.9,0.0
mirna peč,2014,8650.279999999999,9352.3525,1064.245,3371.7000000000003,363.9225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mirna peč,2023,14519.034,14834.84,1230.6225,5185.5975,760.5125,34.8,36.9,32.3,12.2,12.7,11.5,87.8,87.3,88.5,675.0,2455.5,483.0,1297.5,1143.6666666666667,1415.0,1404.3333333333333,7.0,9.0,2.0,2.9,56.0,119.0,63.0,37.8,22.0,34.0,12.0,10.8,62.0,152.0,90.0,48.2,6.0,33.0,27.0,10.5,15.0,25.0,10.0,7.9,21.0,58.0,37.0,18.4,0.0,0.0,0.0,74.4,0.0,0.0,68.9,0.0,71.8,4.0,0.0,33.0,25.0,62.0,19.7,0.0
mirna peč,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.6666666666667,1415.0,1404.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mislinja,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,19.0,0.0,2.0,3.0,1.0,0.0,23.0,52.0,29.0,0.0,4.0,14.0,10.0,0.0,2.0,3.0,1.0,0.0,6.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,3.0,24.0,0.0,0.0
mislinja,2000,0.0,0.0,0.0,0.0,0.0,32.4,28.7,37.3,17.9,16.2,20.2,82.1,83.8,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mislinja,2003,0.0,0.0,0.0,0.0,0.0,33.6,29.7,38.5,18.6,16.9,20.7,81.4,83.1,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4,11.0,32.0,21.0,6.8,2.0,2.0,0.0,0.4,18.0,53.0,35.0,11.2,7.0,21.0,14.0,4.4,0.0,0.0,0.0,0.0,7.0,21.0,14.0,4.4,55.2,61.1,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0.0,12.0,21.0,0.0,33.0,0.0,7.0
mislinja,2013,0.0,0.0,0.0,0.0,0.0,27.1,25.5,29.2,17.8,18.4,17.0,82.2,81.6,83.0,1079.0,3910.0,742.5,2088.5,1799.6666666666667,2323.6666666666665,2262.3333333333335,9.0,12.0,3.0,2.6,99.0,203.0,104.0,43.7,2.0,3.0,1.0,0.6,74.0,155.0,81.0,33.4,-25.0,-48.0,-23.0,-10.3,-7.0,-9.0,-2.0,-1.9,-32.0,-57.0,-25.0,-12.3,0.0,0.0,65.4,0.0,0.0,53.7,0.0,59.9,0.0,14.0,0.0,-48.0,-9.0,-43.0,-9.3,0.0
