obcina,leto,Employment rate,Employment rate for men,Employment rate for women
komen,2014,55.9,59.7,51.8
komen,2015,56.5,60.4,52.2
komen,2016,57.1,60.4,53.6
komen,2017,59.6,64.4,54.5
komen,2018,61.8,65.7,57.5
komen,2019,62.4,65.8,58.8
komen,2020,63.1,65.8,60.2
komen,2021,63.8,66.6,60.8
komen,2022,65.6,68.3,62.6
komen,2023,67.2,69.3,64.8
komenda,2002,58.4,63.8,52.9
komenda,2003,58.4,63.5,53.5
komenda,2004,58.7,63.1,54.3
komenda,2005,61.4,66.1,56.6
komenda,2006,63,69,56.8
komenda,2007,64.7,71.5,57.8
komenda,2008,65.6,71.1,59.9
komenda,2009,66.7,72.3,61.1
komenda,2010,66.3,72.1,60.4
komenda,2011,66.2,71.6,60.7
komenda,2012,63.8,68.2,59.4
komenda,2013,63.5,68.1,58.9
komenda,2014,63.7,68.3,59
komenda,2015,65.3,69.8,60.7
komenda,2016,67.1,71.8,62.3
komenda,2017,69.3,73.6,65
komenda,2018,70.7,74.1,67.1
komenda,2019,71.7,75.2,68
komenda,2020,72.8,75.3,70.1
komenda,2021,73,75.7,69.9
komenda,2022,74.3,77.4,70.8
komenda,2023,75.1,77.6,72.3
koper/capodistria,2002,56.8,61.6,51.5
koper/capodistria,2003,56.2,61,51.2
koper/capodistria,2004,56.3,61.2,51.2
koper/capodistria,2005,58.5,64.1,52.6
koper/capodistria,2006,59.3,65.3,53
koper/capodistria,2007,61.3,68.1,54.2
koper/capodistria,2008,62.4,69.4,54.9
koper/capodistria,2009,61.7,68.2,54.7
koper/capodistria,2010,61.2,67.2,54.8
koper/capodistria,2011,59.5,64.8,53.8
koper/capodistria,2012,58.7,63.5,53.7
koper/capodistria,2013,57.3,61.6,52.9
koper/capodistria,2014,57.7,62.7,52.6
koper/capodistria,2015,59.6,64.4,54.6
koper/capodistria,2016,61.6,66.6,56.5
koper/capodistria,2017,64.1,69,58.9
koper/capodistria,2018,66.4,71.2,61.4
koper/capodistria,2019,67.8,72.6,62.7
koper/capodistria,2020,66.3,70.5,61.8
koper/capodistria,2021,67.3,71.3,63.2
koper/capodistria,2022,69,73.1,64.6
koper/capodistria,2023,69.7,73.9,65.3
kostanjevica na krki,2002,-,-,-
kostanjevica na krki,2003,-,-,-
kostanjevica na krki,2004,-,-,-
kostanjevica na krki,2005,-,-,-
kostanjevica na krki,2006,-,-,-
kostanjevica na krki,2007,66.6,74.7,58.3
kostanjevica na krki,2008,68.7,75.5,61.5
kostanjevica na krki,2009,67.3,74,60.3
kostanjevica na krki,2010,65.7,72.5,58.6
kostanjevica na krki,2011,66.4,72.4,60
kostanjevica na krki,2012,60,64.4,55.3
kostanjevica na krki,2013,59.6,63,56
kostanjevica na krki,2014,61.3,65.8,56.5
kostanjevica na krki,2015,61.7,66,57
kostanjevica na krki,2016,64.2,67.6,60.5
kostanjevica na krki,2017,66.5,69.9,62.9
kostanjevica na krki,2018,68.3,70.9,65.4
kostanjevica na krki,2019,69.3,72.5,65.8
kostanjevica na krki,2020,68.2,71.9,64.3
kostanjevica na krki,2021,69.3,73.6,64.6
kostanjevica na krki,2022,71.2,75,67
kostanjevica na krki,2023,71.3,74.6,67.6
kostel,2002,53,66.3,41.2
kostel,2003,53.3,63.5,41.3
kostel,2004,52.9,63.6,40.4
kostel,2005,56.9,66.6,45.3
kostel,2006,56.3,64.3,46.2
kostel,2007,57.2,66,46.5
kostel,2008,60.7,66.8,52.8
kostel,2009,56.5,64.7,45.5
kostel,2010,54.8,62.4,45
kostel,2011,53.9,60,46
kostel,2012,55,62.6,45.3
kostel,2013,57.3,65.7,47.1
kostel,2014,55.4,63.2,45.6
kostel,2015,54.5,60.5,46.9
kostel,2016,56.7,61.5,50.2
kostel,2017,59.2,65.7,50.9
kostel,2018,60.3,66.4,53
kostel,2019,60.2,66.3,52.9
kostel,2020,61.4,68,53.7
kostel,2021,62.6,69.9,54.7
kostel,2022,64.5,71.2,56.9
kostel,2023,66.1,74.3,56.6
kozje,2002,56.5,63.8,49.1
kozje,2003,53.1,60.1,45.4
kozje,2004,53.8,61.2,45.6
kozje,2005,56.4,65.4,46.5
kozje,2006,54.7,64.7,43.7
kozje,2007,57.3,68.5,45.1
kozje,2008,59.8,70.4,48.3
kozje,2009,59.4,70.1,47.8
kozje,2010,57.9,69.5,45.3
kozje,2011,58.9,68.6,48.3
kozje,2012,57.2,65.8,47.6
kozje,2013,57.7,65.7,48.8
kozje,2014,57.8,67.9,46.7
kozje,2015,57,66.2,46.9
kozje,2016,56.1,62.6,48.8
kozje,2017,60.3,67.8,51.8
kozje,2018,63.3,70.1,55.7
kozje,2019,64,70.1,57
kozje,2020,64,68.6,58.9
kozje,2021,64.7,69.4,59.6
kozje,2022,66.2,70.7,61.3
kozje,2023,67.4,71,63.4
kočevje,2002,53.2,58.8,47.6
kočevje,2003,52.6,57.8,47.1
kočevje,2004,52.4,57.8,46.8
kočevje,2005,54.1,60.3,47.7
kočevje,2006,54,61.1,46.5
kočevje,2007,56.3,63.7,48.4
kočevje,2008,58.1,65.4,50.3
kočevje,2009,55.1,61.3,48.5
kočevje,2010,52.7,58.5,46.5
kočevje,2011,52.2,58,46
kočevje,2012,51.6,57.6,45.3
kočevje,2013,50.7,57.1,44
kočevje,2014,51.8,58.9,44.3
kočevje,2015,51.9,58.9,44.5
kočevje,2016,53.6,60.5,46.3
kočevje,2017,56.5,63.1,49.6
kočevje,2018,59.3,65.3,52.9
kočevje,2019,60.4,65.9,54.5
kočevje,2020,60.7,65.5,55.5
kočevje,2021,62.5,67.3,57.3
kočevje,2022,65.2,69.5,60.6
kočevje,2023,65.6,69.5,61.4
kranj,2002,56.5,60.3,52.6
kranj,2003,56.2,60.4,52
kranj,2004,56.5,60.7,52.3
kranj,2005,58.8,64.1,53.6
kranj,2006,59.6,65.3,53.8
kranj,2007,61.6,67.8,55.2
kranj,2008,62.7,68.7,56.5
kranj,2009,61.6,67.6,55.4
kranj,2010,60.6,66,55
kranj,2011,59.6,64.3,54.7
kranj,2012,59.2,63.4,54.9
kranj,2013,58.6,62.5,54.6
kranj,2014,60.1,64.5,55.5
kranj,2015,61.1,65.2,56.9
kranj,2016,62.8,66.4,58.9
kranj,2017,65.6,69.5,61.5
kranj,2018,68.2,72.4,63.7
kranj,2019,69.2,73.6,64.5
kranj,2020,68.5,72.6,63.9
kranj,2021,69.8,74.4,64.7
kranj,2022,71.8,76.9,66.2
kranj,2023,71.9,76.5,66.8
kranjska gora,2002,54.4,58.7,50.2
kranjska gora,2003,54.5,58.5,50.3
kranjska gora,2004,54.6,58.9,50.1
kranjska gora,2005,56.8,61.5,51.8
kranjska gora,2006,56.5,61.1,51.7
kranjska gora,2007,57.4,62.3,52.2
kranjska gora,2008,59,64.1,53.8
kranjska gora,2009,58.2,63.2,53
kranjska gora,2010,56.6,60.9,52.1
kranjska gora,2011,56.1,60.5,51.6
kranjska gora,2012,55.6,59.5,51.5
kranjska gora,2013,56.1,59.8,52.4
kranjska gora,2014,56,59.9,52
kranjska gora,2015,58.2,61.4,55
kranjska gora,2016,60.4,62.4,58.3
kranjska gora,2017,62.9,64.5,61.1
kranjska gora,2018,65.9,66.7,64.9
kranjska gora,2019,67.7,69.3,65.9
kranjska gora,2020,62,63.1,60.8
kranjska gora,2021,75.9,77,74.8
kranjska gora,2022,74.7,76.3,73.1
kranjska gora,2023,67.6,68.8,66.3
križevci,2002,53.8,60,47.5
križevci,2003,52.6,58.3,46.5
križevci,2004,53.9,60.3,47.1
križevci,2005,55.2,61.4,48.5
križevci,2006,55.6,61.2,49.4
križevci,2007,57.6,64.7,49.7
križevci,2008,58,64,51.3
križevci,2009,54,58.3,49
križevci,2010,52.5,57.9,46.4
križevci,2011,54.2,58.3,49.5
križevci,2012,53.4,57.8,48.4
križevci,2013,52.2,56.2,47.7
križevci,2014,53.1,58.8,46.7
križevci,2015,52.7,58.8,45.6
križevci,2016,52.3,56.6,47.5
križevci,2017,55.8,61.6,49.1
križevci,2018,59.4,65.3,52.8
križevci,2019,60.4,65.4,54.9
križevci,2020,60.9,64.3,57.2
križevci,2021,62.5,65.3,59.3
križevci,2022,64.5,66.5,62.3
križevci,2023,65.6,67.7,63.2
krško,2002,56,61.8,49.7
krško,2003,54.8,61.4,47.7
krško,2004,56,62.8,48.4
krško,2005,57.6,64.5,50.1
krško,2006,57.9,64.8,50.4
krško,2007,58.9,65.9,51.2
krško,2008,61.6,68.9,53.3
krško,2009,61.8,69.2,53.2
krško,2010,59.3,65.4,52.2
krško,2011,58.5,63.8,52.3
krško,2012,59,65,52.1
krško,2013,58.1,63.4,51.9
krško,2014,58.6,64.6,51.8
krško,2015,59.3,65.4,52.3
krško,2016,60.3,66,53.7
krško,2017,63,69.4,55.9
krško,2018,65.7,71.9,58.5
krško,2019,67.8,74.1,60.5
krško,2020,66.8,72.3,60.5
krško,2021,68.1,73.9,61.5
krško,2022,69.8,76,62.8
krško,2023,70.8,77,63.8
kungota,2002,47.4,53.8,41.5
kungota,2003,47.4,53.5,40.6
kungota,2004,47.7,53.9,40.9
kungota,2005,50.3,56.7,43.3
kungota,2006,51.2,57.7,44.1
kungota,2007,53.3,59.6,46.5
kungota,2008,55.6,61.9,48.8
kungota,2009,55,60.1,49.7
kungota,2010,53.4,58.6,47.9
kungota,2011,52.1,55.8,48.2
kungota,2012,50.7,53.3,48
kungota,2013,49.5,50.9,47.9
kungota,2014,49.1,51.8,46.3
kungota,2015,49.7,52,47.3
kungota,2016,49.8,51.1,48.4
kungota,2017,52.1,54,49.9
kungota,2018,53.8,55.8,51.7
kungota,2019,55.9,58.2,53.4
kungota,2020,55.6,57.1,53.9
kungota,2021,56.1,57.2,54.9
kungota,2022,58.7,61,56.1
kungota,2023,58.2,60.2,56
kuzma,2002,46.2,52.1,41.4
kuzma,2003,44,48,39.9
kuzma,2004,44,48.7,39.4
kuzma,2005,37.9,43.5,32.3
kuzma,2006,38.2,43.9,32.4
kuzma,2007,39.8,48.2,31.2
kuzma,2008,40.6,48.8,32
kuzma,2009,39.8,47.5,31.7
kuzma,2010,37.8,46.5,28.9
kuzma,2011,37.4,44.1,30.6
kuzma,2012,32.5,36.2,28.7
kuzma,2013,32.2,36,28.4
kuzma,2014,32.1,36.4,27.5
kuzma,2015,31.3,34.8,27.7
kuzma,2016,31.7,34.4,28.7
kuzma,2017,33.3,36.3,30.1
kuzma,2018,33.8,34.6,32.9
kuzma,2019,34.4,34.7,34
kuzma,2020,34.3,34.2,34.5
kuzma,2021,35.9,35.2,36.8
kuzma,2022,37.9,37.3,38.4
kuzma,2023,38.6,38.9,38.3
laško,2002,53.3,60.1,46.3
laško,2003,53,59.7,46.1
laško,2004,53.4,59.8,46.8
laško,2005,57,63.8,50
laško,2006,57.6,64.1,50.9
laško,2007,59.5,66,52.8
laško,2008,60.6,66.4,54.4
laško,2009,60.3,66,54.1
laško,2010,58.4,63.7,52.8
laško,2011,59,64.4,53.3
laško,2012,60,65.7,53.9
laško,2013,59.2,64.5,53.7
laško,2014,60.1,66.7,53.1
laško,2015,60,65.7,53.9
laško,2016,60.2,64.8,55.2
laško,2017,62.9,68,57.4
laško,2018,65.2,69.5,60.5
laško,2019,66.5,71,61.5
laško,2020,65.3,68.8,61.4
laško,2021,66.7,70.1,63.1
laško,2022,68.8,72.5,64.9
laško,2023,69.1,72.7,65.2
lenart,2002,52.3,56.2,48.4
lenart,2003,51.3,55.5,46.9
lenart,2004,52.1,56.5,47.4
lenart,2005,54.8,60,49.4
lenart,2006,56.5,61.8,50.8
lenart,2007,59.3,64.8,53.6
lenart,2008,59.4,64.3,54.1
lenart,2009,56.6,61,51.9
lenart,2010,55.2,59.7,50.5
lenart,2011,55,58.1,51.8
lenart,2012,54.4,56.7,52
lenart,2013,54.5,57.1,51.8
lenart,2014,53.7,56.5,50.8
lenart,2015,53.7,56,51.2
lenart,2016,54.7,56.3,53
lenart,2017,56.6,57.7,55.4
lenart,2018,57.1,57.7,56.6
lenart,2019,58.6,58.8,58.4
lenart,2020,58.2,57.5,59
lenart,2021,59.2,58.3,60.1
lenart,2022,60.8,60.3,61.3
lenart,2023,60.3,59.9,60.9
lendava/lendva,2002,52.8,60.5,45.6
lendava/lendva,2003,52.1,58.8,45.4
lendava/lendva,2004,52,59.2,44.6
lendava/lendva,2005,53,59.5,46.3
lendava/lendva,2006,53.2,61.4,44.8
lendava/lendva,2007,55.2,64.1,46
lendava/lendva,2008,57.3,66.6,47.7
lendava/lendva,2009,56.5,64.8,47.9
lendava/lendva,2010,53.6,61.7,45.2
lendava/lendva,2011,53.3,60,46.3
lendava/lendva,2012,50.8,56.1,45.3
lendava/lendva,2013,50.9,55.5,46
lendava/lendva,2014,51.9,57.4,46.1
lendava/lendva,2015,51.2,56.1,45.8
lendava/lendva,2016,53.1,58.1,47.9
lendava/lendva,2017,56,62.1,49.6
lendava/lendva,2018,58.7,64.1,53
lendava/lendva,2019,60.6,66.3,54.6
lendava/lendva,2020,60.7,65.9,55.1
lendava/lendva,2021,62.1,67.1,56.6
lendava/lendva,2022,65,70.5,59.2
lendava/lendva,2023,67.8,74.1,61.1
litija,2002,58.6,63.8,53.2
litija,2003,57.9,62.9,52.7
litija,2004,57.7,62.7,52.5
litija,2005,58.9,63.5,54.1
litija,2006,59.7,64.8,54.3
litija,2007,62.7,68.4,56.8
litija,2008,64.7,70.6,58.6
litija,2009,63.8,69.9,57.4
litija,2010,62.3,68,56.4
litija,2011,61.3,66,56.3
litija,2012,60.5,64.8,56
litija,2013,60.2,64.4,55.6
litija,2014,60.1,64.8,55
litija,2015,61,65.9,55.8
litija,2016,62.6,67.1,57.7
litija,2017,65.6,70.9,60
litija,2018,68.7,73.4,63.7
litija,2019,69.9,74.7,64.8
litija,2020,69.4,73.5,65
litija,2021,70,74.1,65.5
litija,2022,71.4,75.4,66.9
litija,2023,72.3,76.3,67.8
ljubljana,2002,58.1,62,53.8
ljubljana,2003,57.4,61.5,53.4
ljubljana,2004,57.2,61.1,53.5
ljubljana,2005,59.7,64,55.6
ljubljana,2006,60.4,65.2,55.7
ljubljana,2007,62.2,67.7,56.7
ljubljana,2008,63,68.8,57.1
ljubljana,2009,60.5,65.8,55.3
ljubljana,2010,59,63.6,54.4
ljubljana,2011,57.6,61.4,53.9
ljubljana,2012,56.8,60.1,53.6
ljubljana,2013,55.3,58.3,52.4
ljubljana,2014,55.7,58.9,52.7
ljubljana,2015,57.3,60.5,54.1
ljubljana,2016,59.4,62.6,56.3
ljubljana,2017,62.1,65.6,58.6
ljubljana,2018,64.5,68.4,60.5
ljubljana,2019,66,69.9,62
ljubljana,2020,65.1,68.7,61.4
ljubljana,2021,65.7,69.6,61.6
ljubljana,2022,67.5,71.8,63.1
ljubljana,2023,68.6,72.9,64.3
ljubno,2002,53.4,57.2,49.6
ljubno,2003,52.5,55.9,48.8
ljubno,2004,51.8,56.5,46.8
ljubno,2005,52.8,57.4,47.9
ljubno,2006,54.4,58.4,50.1
ljubno,2007,57.2,60.1,54
ljubno,2008,58.7,61.2,56
ljubno,2009,58.2,61.4,54.7
ljubno,2010,59.3,62.9,55.5
ljubno,2011,59.2,64.1,54
ljubno,2012,58.8,63.6,53.6
ljubno,2013,59.2,63,55
ljubno,2014,59.6,65,53.7
ljubno,2015,58.9,63.5,53.9
ljubno,2016,60.5,64.4,56.3
ljubno,2017,63.4,66.7,59.8
ljubno,2018,64.9,68.8,60.6
ljubno,2019,66.8,70.3,62.9
ljubno,2020,69.1,72.6,65.1
ljubno,2021,70.9,73.9,67.5
ljubno,2022,72,75.6,68
ljubno,2023,72.2,76,68.1
ljutomer,2002,52.5,59.5,45.8
ljutomer,2003,52.1,58.6,45.3
ljutomer,2004,53.6,60,46.7
ljutomer,2005,54,60.4,47.1
ljutomer,2006,54.9,61.3,48
ljutomer,2007,56.1,63.3,48.4
ljutomer,2008,57.8,64.8,50.3
ljutomer,2009,56.9,64.3,49
ljutomer,2010,55.1,62.4,47.3
ljutomer,2011,55.7,63,47.9
ljutomer,2012,54.3,59.7,48.5
ljutomer,2013,53.1,58.3,47.5
ljutomer,2014,54.3,60.9,47.1
ljutomer,2015,55.1,61.6,48
ljutomer,2016,55.5,60,50.7
ljutomer,2017,57.7,63,51.9
ljutomer,2018,60.2,65.1,54.8
ljutomer,2019,61.7,67.4,55.5
ljutomer,2020,62.8,68.2,56.9
ljutomer,2021,64.9,70.1,59.3
ljutomer,2022,67.5,72.8,61.6
ljutomer,2023,68.7,73.9,63.1
log - dragomer,2002,-,-,-
log - dragomer,2003,-,-,-
log - dragomer,2004,-,-,-
log - dragomer,2005,-,-,-
log - dragomer,2006,-,-,-
log - dragomer,2007,59,63.9,54.1
log - dragomer,2008,59.9,65.8,54
log - dragomer,2009,60.4,65.9,54.9
log - dragomer,2010,59.9,64.7,55
log - dragomer,2011,59.3,63.1,55.4
log - dragomer,2012,59.9,63.5,56.2
log - dragomer,2013,60,63.4,56.6
log - dragomer,2014,61,63.9,58
log - dragomer,2015,62.8,66.2,59.3
log - dragomer,2016,65,68.2,61.6
log - dragomer,2017,66.3,68.8,63.6
log - dragomer,2018,68.1,69.8,66.2
log - dragomer,2019,68.8,70.5,67
log - dragomer,2020,68,70.3,65.6
log - dragomer,2021,68.5,71.4,65.4
log - dragomer,2022,70.4,73.5,67
log - dragomer,2023,70.8,73.6,67.7
logatec,2002,63.8,68.2,58.9
logatec,2003,63.6,68.6,58.4
logatec,2004,63.4,68.4,58
logatec,2005,65.9,71,60.4
logatec,2006,65.8,70.8,60.5
logatec,2007,67.1,72.3,61.4
logatec,2008,67.5,72.8,61.7
logatec,2009,66,71.3,60.2
logatec,2010,64.1,67.8,60
logatec,2011,64.6,68.5,60.3
logatec,2012,64,67.4,60.1
logatec,2013,61.9,65.2,58.3
logatec,2014,62.6,66.2,58.6
logatec,2015,63.8,67.2,60
logatec,2016,64.8,67.7,61.7
logatec,2017,67,70,63.7
logatec,2018,69.2,72.5,65.4
logatec,2019,71.1,75.1,66.8
logatec,2020,71,74.2,67.4
logatec,2021,71.7,74.8,68.1
logatec,2022,73.2,77.2,68.7
logatec,2023,73.4,77.4,69
lovrenc na pohorju,2002,51.9,59.8,44.3
lovrenc na pohorju,2003,52.1,59.2,44.5
lovrenc na pohorju,2004,51.4,58.2,44.2
lovrenc na pohorju,2005,53.9,61.3,45.8
lovrenc na pohorju,2006,55,62.3,47.1
lovrenc na pohorju,2007,57.8,64.8,50.3
lovrenc na pohorju,2008,58.6,65.3,51.5
lovrenc na pohorju,2009,57.5,63.2,51.4
lovrenc na pohorju,2010,56.6,62.5,50.1
lovrenc na pohorju,2011,55,61.1,48.3
lovrenc na pohorju,2012,55.7,61.9,49
lovrenc na pohorju,2013,56.3,62.4,49.8
lovrenc na pohorju,2014,56.1,61.9,49.8
lovrenc na pohorju,2015,55.8,61.8,49.4
lovrenc na pohorju,2016,55.9,61.4,49.9
lovrenc na pohorju,2017,57.3,61.8,52.3
lovrenc na pohorju,2018,59,62.4,55.3
lovrenc na pohorju,2019,61.3,63.8,58.5
lovrenc na pohorju,2020,62.8,64.9,60.4
lovrenc na pohorju,2021,63.4,64.9,61.7
lovrenc na pohorju,2022,65.4,66.4,64.2
lovrenc na pohorju,2023,66.1,66.7,65.5
loška dolina,2002,66.7,73.2,59.5
loška dolina,2003,66,73.1,58.5
loška dolina,2004,66,73.5,57.9
loška dolina,2005,68.5,76.2,60.2
loška dolina,2006,68.8,76.4,60.5
loška dolina,2007,71,79.4,61.7
loška dolina,2008,72.1,81,62.2
loška dolina,2009,70.7,79.7,60
loška dolina,2010,67.7,76.2,57.6
loška dolina,2011,66.4,74.1,57.2
loška dolina,2012,64.7,71.4,56.8
loška dolina,2013,62.1,67.9,55.2
loška dolina,2014,63.1,70.5,54.2
loška dolina,2015,63.7,70.1,55.9
loška dolina,2016,64.1,70,57.1
loška dolina,2017,63.6,69,57.3
loška dolina,2018,67.7,73.6,60.9
loška dolina,2019,68.9,74.4,62.5
loška dolina,2020,68,73.2,61.7
loška dolina,2021,69.9,73.8,65.3
loška dolina,2022,72.9,76.7,68.5
loška dolina,2023,75.2,79.7,69.7
loški potok,2002,57.4,65,48.6
loški potok,2003,56.6,63.7,48.6
loški potok,2004,58.3,66.3,49.1
loški potok,2005,58.2,64.3,51.1
loški potok,2006,58.6,65.3,50.9
loški potok,2007,60,65.9,53.1
loški potok,2008,59.8,65.5,53.1
loški potok,2009,60.3,64.6,55.1
loški potok,2010,59.1,62,55.7
loški potok,2011,59.1,61.9,55.9
loški potok,2012,59.8,63,55.9
loški potok,2013,58.6,61.3,55.3
loški potok,2014,58.9,62.5,54.6
loški potok,2015,59.6,63.7,54.7
loški potok,2016,60.2,63.2,56.7
loški potok,2017,61.8,65.3,57.6
loški potok,2018,63.9,67.2,60
loški potok,2019,66.2,68.8,63.1
loški potok,2020,68.5,72.5,63.8
loški potok,2021,68.8,74.6,62.1
loški potok,2022,70,75.5,63.6
loški potok,2023,70,74.7,64.5
lukovica,2002,60.7,65.1,55.7
lukovica,2003,59.1,62.7,55.2
lukovica,2004,59.9,63.2,56.2
lukovica,2005,62.6,67.4,57.5
lukovica,2006,62.3,67,57.4
lukovica,2007,63.6,68.3,58.3
lukovica,2008,65.3,70.9,59.1
lukovica,2009,64.6,69.7,58.8
lukovica,2010,62.7,67.3,57.7
lukovica,2011,62.2,66.3,57.8
lukovica,2012,63,67.3,58.4
lukovica,2013,62.7,66.9,58.1
lukovica,2014,63.2,68.2,57.9
lukovica,2015,64,68.3,59.4
lukovica,2016,65.2,68.9,61.3
lukovica,2017,68.2,71.9,64.2
lukovica,2018,70.6,74.8,66
lukovica,2019,71.5,75.4,67.2
lukovica,2020,71.5,75,67.7
lukovica,2021,72.4,75.7,68.7
lukovica,2022,73.7,76.7,70.3
lukovica,2023,74.2,77.4,70.7
luče,2002,50.6,57.5,42.9
luče,2003,49.3,56.6,41.3
luče,2004,50.3,58.7,40.9
luče,2005,51.9,60.7,41.7
luče,2006,52.4,61,42.5
luče,2007,54.9,62.8,45.6
luče,2008,56.3,62.6,48.9
luče,2009,55.5,61.9,47.9
luče,2010,53.7,59.3,47.1
luče,2011,52.5,58.6,45.7
luče,2012,52.5,58.4,45.9
luče,2013,53.4,59.1,47
luče,2014,55.8,62.8,47.8
luče,2015,55,62.5,46.4
luče,2016,57.6,64.5,49.7
luče,2017,61.6,67.5,54.9
luče,2018,63.3,68.3,57.5
luče,2019,64.7,69.2,59.4
luče,2020,67.7,71.8,63.1
luče,2021,69.9,73.2,66.2
luče,2022,71.6,75.4,67.1
luče,2023,72.7,76.7,68
majšperk,2002,50.5,57.9,42.8
majšperk,2003,50.1,57.6,42.4
majšperk,2004,50.3,58.1,42.2
majšperk,2005,51.5,59.7,42.9
majšperk,2006,53.4,62.1,44.2
majšperk,2007,55.6,64.1,46.8
majšperk,2008,58.1,65.8,49.9
majšperk,2009,57.1,64.1,49.3
majšperk,2010,56.6,63.1,49.4
majšperk,2011,58,64.4,50.9
majšperk,2012,59.9,67.4,51.7
majšperk,2013,59.3,66.1,51.8
majšperk,2014,60.5,67.8,52.6
majšperk,2015,60.3,66.7,53.3
majšperk,2016,59.7,65.3,53.7
majšperk,2017,62.3,68.7,55.2
majšperk,2018,65.4,70.1,60.1
majšperk,2019,66.3,71.7,60.2
majšperk,2020,63.6,67.6,59
majšperk,2021,64.5,69,59.5
majšperk,2022,66.1,70,61.8
majšperk,2023,66.9,70.3,63
makole,2002,-,-,-
makole,2003,-,-,-
makole,2004,-,-,-
makole,2005,-,-,-
makole,2006,-,-,-
makole,2007,57.1,65.9,47.2
makole,2008,58.9,67,49.7
makole,2009,57.2,66.4,46.8
makole,2010,56.4,64.1,47.7
makole,2011,57.3,63.4,50.5
makole,2012,57.7,65,49.5
makole,2013,57.5,63.7,50.4
makole,2014,58.8,64.3,52.6
makole,2015,58.3,64.6,51.4
makole,2016,59.2,65,53.1
makole,2017,62.4,69.4,55
makole,2018,63.8,69.4,57.8
makole,2019,64.5,69.7,59.1
makole,2020,62.4,66.6,57.9
makole,2021,63.2,66.1,60
makole,2022,66.4,69,63.6
makole,2023,68.6,72.4,64.5
maribor,2002,50.3,56.2,45
maribor,2003,50.7,56.1,45.2
maribor,2004,50.5,55.8,45.2
maribor,2005,52.9,58.6,47.1
maribor,2006,53.8,59.9,47.6
maribor,2007,56.4,63.3,49.4
maribor,2008,58.3,65.6,50.5
maribor,2009,55.1,61.4,48.6
maribor,2010,53.1,58.2,47.8
maribor,2011,51.2,55.4,46.9
maribor,2012,50.2,53.6,46.6
maribor,2013,48.8,51.9,45.5
maribor,2014,49.5,53,45.8
maribor,2015,50.8,54.6,46.7
maribor,2016,52.4,56,48.4
maribor,2017,54.6,58.3,50.7
maribor,2018,56.2,59.3,52.9
maribor,2019,58.1,61.6,54.2
maribor,2020,57.2,60.5,53.5
maribor,2021,58.4,62,54.4
maribor,2022,60.8,64.8,56.2
maribor,2023,61.5,65.6,56.9
markovci,2002,54.3,60.4,48.2
markovci,2003,54.1,59.4,48.6
markovci,2004,54.8,59.6,49.9
markovci,2005,56.2,60.9,51.4
markovci,2006,58.2,63.4,52.8
markovci,2007,60.5,66.9,53.8
markovci,2008,62.6,68.8,56.1
markovci,2009,61.4,67.6,54.9
markovci,2010,60.3,67,53.3
markovci,2011,61,67.5,54.1
markovci,2012,57.8,62.9,52.3
markovci,2013,57.7,61.7,53.4
markovci,2014,60.8,67,54.3
markovci,2015,62.2,67.4,56.7
markovci,2016,63.5,68,58.6
markovci,2017,66.2,70.7,61.3
markovci,2018,67.4,70.9,63.5
markovci,2019,68.5,71.4,65.4
markovci,2020,67.7,69.4,65.7
markovci,2021,69,71.5,66.3
markovci,2022,71.5,74.3,68.2
markovci,2023,72.4,75.1,69.3
medvode,2002,58,62.2,53
medvode,2003,57.9,62.4,53.1
medvode,2004,57.8,62.1,53.3
medvode,2005,60.8,65.1,56.3
medvode,2006,61.2,65.2,57
medvode,2007,62.9,67.2,58.3
medvode,2008,64.6,69.6,59.4
medvode,2009,63.6,67.9,59.1
medvode,2010,61.4,64.7,58
medvode,2011,61,64.5,57.3
medvode,2012,60.7,64.2,57.1
medvode,2013,59.5,63.1,55.9
medvode,2014,60.2,64.2,56.1
medvode,2015,61.3,65.4,57.2
medvode,2016,63.1,66.7,59.5
medvode,2017,65.7,69.7,61.5
medvode,2018,67.5,71.6,63.3
medvode,2019,68.7,72.3,65
medvode,2020,68.8,71.9,65.5
medvode,2021,69.5,72.9,66
medvode,2022,71.6,74.7,68.2
medvode,2023,72.2,74.8,69.5
mengeš,2002,59.1,62.6,55.5
mengeš,2003,58.5,62.1,55.1
mengeš,2004,58.6,62.4,54.9
mengeš,2005,59.8,64.1,55.8
mengeš,2006,60.7,66.2,55.5
mengeš,2007,62.6,68.6,56.9
mengeš,2008,63.7,69.6,57.9
mengeš,2009,63.1,68.6,57.7
mengeš,2010,61.4,66.7,56.2
mengeš,2011,60,65.4,54.8
mengeš,2012,59.6,64,55.3
mengeš,2013,59.3,62.8,55.8
mengeš,2014,60.3,63.9,56.8
mengeš,2015,61.3,64.5,58
mengeš,2016,63,66.1,60
mengeš,2017,65.6,68.7,62.4
mengeš,2018,67.6,70.5,64.8
mengeš,2019,69.2,72.2,66.1
mengeš,2020,69.8,73.1,66.3
mengeš,2021,70.8,74.1,67.3
mengeš,2022,71.7,75.6,67.5
mengeš,2023,73.2,77.4,68.6
metlika,2002,68.1,70.9,65.1
metlika,2003,66.2,69,63.3
metlika,2004,64.7,68.1,61.3
metlika,2005,65.4,69.9,60.8
metlika,2006,64.1,69.1,58.9
metlika,2007,66,71.7,59.9
metlika,2008,67,73.1,60.5
metlika,2009,63.4,69.9,56.4
