obcina,leto,Employment rate,Employment rate for men,Employment rate for women
destrnik,2007,58.2,65,50.9
destrnik,2008,60.3,66.8,53.4
destrnik,2009,58.8,64.7,52.3
destrnik,2010,58.2,63.8,52.2
destrnik,2011,58.2,62.7,53.5
destrnik,2012,56.9,61.5,52.1
destrnik,2013,57.3,60.8,53.7
destrnik,2014,57.8,62.6,52.6
destrnik,2015,58,62.6,53
destrnik,2016,58.1,61.2,54.8
destrnik,2017,60.7,64.8,56.4
destrnik,2018,62.7,65.3,60
destrnik,2019,64.9,67.6,61.9
destrnik,2020,63.7,65.4,61.9
destrnik,2021,65.3,67.2,63.2
destrnik,2022,67.1,68.5,65.6
destrnik,2023,68.3,68.9,67.6
divača,2002,61,69.3,50.6
divača,2003,60.6,68.9,50.6
divača,2004,60.3,67.9,50.9
divača,2005,63.2,71.5,53.1
divača,2006,63.3,71.7,53.2
divača,2007,64.9,73.2,54.4
divača,2008,65.2,72,56.6
divača,2009,64.7,70.5,57.6
divača,2010,61.8,67.1,55.2
divača,2011,60.5,65.1,54.8
divača,2012,60.5,65.5,54.5
divača,2013,59.3,63.7,54.1
divača,2014,60.8,66.2,54.3
divača,2015,61.6,66.5,55.8
divača,2016,61.8,66,56.9
divača,2017,63.9,67.2,60
divača,2018,67.1,70.3,63.3
divača,2019,69.5,73.2,65.2
divača,2020,68.1,70.5,65.2
divača,2021,68.5,71.5,64.8
divača,2022,71.8,76.7,66
divača,2023,72.2,77,66.5
dobje,2002,51.5,62.9,40.2
dobje,2003,50.4,61.5,38.9
dobje,2004,51.3,62.6,39.6
dobje,2005,53.2,64.8,41.1
dobje,2006,54.4,65.6,42.4
dobje,2007,57,66.9,46.1
dobje,2008,60.5,70.6,49.3
dobje,2009,60.6,70.8,49.4
dobje,2010,59.7,70.6,47.6
dobje,2011,60.8,69.9,51
dobje,2012,61.9,72.3,50.9
dobje,2013,62.6,71.9,52.7
dobje,2014,62.3,72.1,52.3
dobje,2015,61,69.6,52.3
dobje,2016,61.4,70.2,52.4
dobje,2017,64.7,75.2,53.8
dobje,2018,69.3,78.9,59.3
dobje,2019,72.2,80.3,63.6
dobje,2020,71.4,77.5,65.1
dobje,2021,72,78,65.9
dobje,2022,73.2,78.4,67.9
dobje,2023,73.6,79.1,68
dobrepolje,2002,60.4,66.2,53.8
dobrepolje,2003,58.9,65.4,52
dobrepolje,2004,59.3,66.5,51.7
dobrepolje,2005,62.2,68.6,55.3
dobrepolje,2006,62.3,67.7,56.3
dobrepolje,2007,64,67.4,60.2
dobrepolje,2008,65.5,68.9,61.7
dobrepolje,2009,64.5,69.5,58.9
dobrepolje,2010,62.8,68.3,56.7
dobrepolje,2011,63.4,68.4,57.9
dobrepolje,2012,61.3,66.3,55.7
dobrepolje,2013,60.6,65.6,55.2
dobrepolje,2014,60.5,66,54.4
dobrepolje,2015,61.5,67.6,54.6
dobrepolje,2016,62.8,67.8,57.2
dobrepolje,2017,64.9,69.7,59.5
dobrepolje,2018,65.9,69.6,61.6
dobrepolje,2019,66.8,71.6,61.4
dobrepolje,2020,68.2,72.5,63.1
dobrepolje,2021,67.9,72.2,62.8
dobrepolje,2022,68.6,73.6,62.6
dobrepolje,2023,68.3,72.5,63.4
dobrna,2002,55,59.4,50.8
dobrna,2003,55.7,59.2,52.1
dobrna,2004,56.4,59.8,52.7
dobrna,2005,61.2,65.6,56.5
dobrna,2006,61.5,66.1,56.5
dobrna,2007,63.2,67.4,58.6
dobrna,2008,63.4,67.9,58.4
dobrna,2009,60.9,63.5,58
dobrna,2010,58,60.4,55.2
dobrna,2011,57.7,60.6,54.4
dobrna,2012,56.4,58.6,54
dobrna,2013,56.5,57.9,55
dobrna,2014,56.9,59.6,53.9
dobrna,2015,57.5,61,53.7
dobrna,2016,57.1,59.2,54.8
dobrna,2017,59.8,62.6,56.8
dobrna,2018,61.7,64.1,59
dobrna,2019,62.9,65.2,60.5
dobrna,2020,63.5,66.3,60.4
dobrna,2021,66.8,70.1,63.2
dobrna,2022,67.1,69.7,64
dobrna,2023,68.7,71,65.9
dobrova - polhov gradec,2002,58.1,63.4,52.4
dobrova - polhov gradec,2003,57.7,62.6,52.7
dobrova - polhov gradec,2004,58.3,63.2,53.2
dobrova - polhov gradec,2005,62.2,67.4,56.7
dobrova - polhov gradec,2006,62.9,68.5,57.2
dobrova - polhov gradec,2007,64.4,70.7,58.1
dobrova - polhov gradec,2008,64.9,71.2,58.4
dobrova - polhov gradec,2009,64.4,70.7,58
dobrova - polhov gradec,2010,62.1,68,56
dobrova - polhov gradec,2011,63.1,68.8,57.4
dobrova - polhov gradec,2012,63.2,67.8,58.4
dobrova - polhov gradec,2013,62.3,66.8,57.6
dobrova - polhov gradec,2014,62.1,67,57.1
dobrova - polhov gradec,2015,62.9,68.1,57.6
dobrova - polhov gradec,2016,63.3,67.2,59.3
dobrova - polhov gradec,2017,66.2,70.6,61.7
dobrova - polhov gradec,2018,68.2,72.2,64
dobrova - polhov gradec,2019,69.5,72.6,66.2
dobrova - polhov gradec,2020,69.9,72.5,67.2
dobrova - polhov gradec,2021,70.1,72.7,67.3
dobrova - polhov gradec,2022,71.5,73.9,68.8
dobrova - polhov gradec,2023,71.4,73.9,68.7
dobrovnik/dobronak,2002,57.5,68.8,48.1
dobrovnik/dobronak,2003,54.6,64.9,44.1
dobrovnik/dobronak,2004,54.5,65.3,43.7
dobrovnik/dobronak,2005,47.5,54.4,40.7
dobrovnik/dobronak,2006,49.8,57.7,41.6
dobrovnik/dobronak,2007,50.6,59.4,41.5
dobrovnik/dobronak,2008,53.4,60.2,46.4
dobrovnik/dobronak,2009,51.3,56.7,45.8
dobrovnik/dobronak,2010,50.7,57.3,44.2
dobrovnik/dobronak,2011,50,56.6,43.6
dobrovnik/dobronak,2012,47.7,50.2,45.2
dobrovnik/dobronak,2013,47.5,48.9,46.1
dobrovnik/dobronak,2014,49.2,53.5,44.7
dobrovnik/dobronak,2015,49,51.8,46
dobrovnik/dobronak,2016,50.2,52.9,47.4
dobrovnik/dobronak,2017,50.4,52.3,48.4
dobrovnik/dobronak,2018,54.3,55.9,52.5
dobrovnik/dobronak,2019,56.5,59.1,54
dobrovnik/dobronak,2020,57.7,60.7,54.6
dobrovnik/dobronak,2021,58.7,61.1,56.3
dobrovnik/dobronak,2022,61.9,66.2,57.7
dobrovnik/dobronak,2023,62.7,67.9,57.4
dol pri ljubljani,2002,58.9,61.7,55.6
dol pri ljubljani,2003,58.2,61,55.4
dol pri ljubljani,2004,58.3,61.5,55.2
dol pri ljubljani,2005,60.9,64.2,57.5
dol pri ljubljani,2006,61.7,64.8,58.6
dol pri ljubljani,2007,62.8,65.6,60
dol pri ljubljani,2008,63.8,66.2,61.4
dol pri ljubljani,2009,63.7,66.6,60.8
dol pri ljubljani,2010,63.6,66.5,60.5
dol pri ljubljani,2011,63.7,67.2,60
dol pri ljubljani,2012,63.9,67.4,60.4
dol pri ljubljani,2013,62.5,64.2,60.7
dol pri ljubljani,2014,62.3,64.3,60.3
dol pri ljubljani,2015,63,64.9,61.1
dol pri ljubljani,2016,64.8,66.5,63.1
dol pri ljubljani,2017,66.9,68.5,65.2
dol pri ljubljani,2018,68.7,69.8,67.7
dol pri ljubljani,2019,69.9,72.1,67.7
dol pri ljubljani,2020,69.9,72.9,66.9
dol pri ljubljani,2021,69.6,72.8,66.4
