obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
medvode,2011,57,66.2,46.5,26.7,31.3,21.5,73.3,68.7,78.5
medvode,2012,56.7,65.6,46.5,26.5,30.6,21.8,73.5,69.4,78.2
medvode,2013,59.7,68.3,49.9,27.5,31.8,22.5,72.5,68.2,77.5
medvode,2014,61.2,69.6,51.6,27.7,31.8,22.9,72.3,68.2,77.1
medvode,2015,60.8,68.3,52.3,27.2,30.8,23.2,72.8,69.2,76.8
medvode,2016,61,67.1,53.9,26.9,30.1,23.2,73.1,69.9,76.8
medvode,2017,61.6,68.7,53.5,26.1,29.3,22.5,73.9,70.7,77.5
medvode,2018,61.3,67.8,53.8,25.9,29,22.3,74.1,71,77.7
medvode,2019,63.3,69.5,56,26,29.1,22.4,74,70.9,77.6
medvode,2020,62.9,69.4,55.4,25.3,28.4,21.7,74.7,71.6,78.3
medvode,2021,63.4,71.5,53.9,25.2,28.6,21.3,74.8,71.4,78.7
medvode,2022,62.4,70.5,53.1,25.5,29.4,20.9,74.5,70.6,79.1
medvode,2023,63,72,52.8,25.2,28.8,21.1,74.8,71.2,78.9
medvode,2024,63.3,72.5,53.1,25.2,28.8,21.1,74.8,71.2,78.9
mengeš,2000,92.8,130.4,53.1,26,31.7,19.9,74,68.3,80.1
mengeš,2001,89.9,128.5,49.5,24.1,30.5,17.4,75.9,69.5,82.6
mengeš,2002,92.2,130.8,52.1,24.4,30.7,17.9,75.6,69.3,82.1
mengeš,2003,94.5,131.7,55.4,24.8,30.8,18.5,75.2,69.2,81.5
mengeš,2004,94.7,128.6,57.7,24.6,30.8,17.8,75.4,69.2,82.2
mengeš,2005,83.1,113.6,50.1,23.5,29.3,17.2,76.5,70.7,82.8
mengeš,2006,90.3,121.7,55.6,23.7,29.3,17.6,76.3,70.7,82.4
mengeš,2007,90.1,124.9,50.8,22.9,27.8,17.3,77.1,72.2,82.7
mengeš,2008,87.3,115.6,54.5,22.1,26.3,17.2,77.9,73.7,82.8
mengeš,2009,86.1,112.7,55.9,22.7,26.9,18,77.3,73.1,82
mengeš,2010,83.9,106.4,58.1,23,27.4,18,77,72.6,82
mengeš,2011,71.4,80.9,60.5,22.3,25.9,18.2,77.7,74.1,81.8
mengeš,2012,66.9,74.4,58.5,21.1,24.2,17.7,78.9,75.8,82.3
mengeš,2013,67.7,76.4,58.1,21.7,24.7,18.4,78.3,75.3,81.6
mengeš,2014,68.4,78.8,56.9,21.1,24.3,17.6,78.9,75.7,82.4
mengeš,2015,68.8,80.9,55.7,21.4,24.7,17.8,78.6,75.3,82.2
mengeš,2016,71.1,84.1,57,22,26.3,17.4,78,73.7,82.6
mengeš,2017,73.8,89.5,56.8,21.8,25.5,17.9,78.2,74.5,82.1
mengeš,2018,73.5,90.2,55.1,21.6,25.8,16.9,78.4,74.2,83.1
mengeš,2019,73.2,88.9,55.5,21.4,25.3,16.9,78.6,74.7,83.1
mengeš,2020,75.7,90.2,58.6,21.5,25.9,16.3,78.5,74.1,83.7
mengeš,2021,79.7,96.2,60.5,21.9,26.6,16.5,78.1,73.4,83.5
mengeš,2022,79.8,98.9,57.5,23.2,29.2,16.2,76.8,70.8,83.8
mengeš,2023,117.7,137.7,94.1,24.8,31,17.6,75.2,69,82.4
mengeš,2024,122,141.3,99.2,24.9,31.1,17.6,75.1,68.9,82.4
metlika,2000,106.9,97.5,117.2,70,64.6,75.9,30,35.4,24.1
metlika,2001,107.5,95.4,121,69.5,64.2,75.4,30.5,35.8,24.6
metlika,2002,107.1,93.5,122.9,68.7,63.2,75,31.3,36.8,25
metlika,2003,101.7,89.1,116.3,67.4,61.8,73.8,32.6,38.2,26.2
metlika,2004,101.5,90.1,114.9,65.7,59.4,73.1,34.3,40.6,26.9
metlika,2005,102.2,90,116.8,64.8,58,73.1,35.2,42,26.9
metlika,2006,98.8,89.7,109.9,61.8,56.8,68,38.2,43.2,32
metlika,2007,99.5,91.7,109.1,60.6,55.8,66.5,39.4,44.2,33.5
metlika,2008,96.9,90.1,105.6,58.9,54.5,64.5,41.1,45.5,35.5
metlika,2009,96.7,90.6,104.7,57.3,53,63,42.7,47,37
metlika,2010,92.6,88.2,98.3,54.5,50.2,59.9,45.5,49.8,40.1
metlika,2011,92.2,89.6,95.7,54.1,50.9,58.3,45.9,49.1,41.7
metlika,2012,92.4,91,94.2,53.8,50.4,58.1,46.2,49.6,41.9
metlika,2013,90.8,89.7,92.2,53.5,49.8,58.2,46.5,50.2,41.8
metlika,2014,89.4,87.9,91.5,52.5,48.8,57.3,47.5,51.2,42.7
metlika,2015,89.7,88.3,91.5,53.1,49.7,57.5,46.9,50.3,42.5
metlika,2016,88,87.7,88.4,51.3,48.4,55,48.7,51.6,45
metlika,2017,86.8,87.1,86.4,50.6,47.7,54.5,49.4,52.3,45.5
metlika,2018,84.9,83.9,86.1,49.2,46.3,53.1,50.8,53.7,46.9
metlika,2019,84,83.6,84.4,48.3,45.1,52.6,51.7,54.9,47.4
metlika,2020,82.6,83.4,81.6,46.8,44.1,50.2,53.2,55.9,49.8
metlika,2021,81.4,81.9,80.8,46.1,43.8,49.2,53.9,56.2,50.8
metlika,2022,79.8,77.8,82.5,46,43.8,48.9,54,56.2,51.1
metlika,2023,78.3,76.9,80.2,45,42.7,48,55,57.3,52
metlika,2024,75.7,73.7,78.2,43.3,41.4,45.8,56.7,58.6,54.2
mežica,2000,95.1,93.7,96.6,39.7,39.1,40.4,60.3,60.9,59.6
mežica,2001,98.8,96.2,101.8,40.2,38.6,42,59.8,61.4,58
mežica,2002,90.3,92.6,87.7,37.3,37.3,37.3,62.7,62.7,62.7
mežica,2003,98.9,100.7,96.9,39.5,38.8,40.3,60.5,61.2,59.7
mežica,2004,99.9,100.1,99.7,37.2,36.2,38.4,62.8,63.8,61.6
mežica,2005,99.2,98.5,100,37,36.2,38,63,63.8,62
mežica,2006,96.4,96.6,96,37.5,36,39.4,62.5,64,60.6
mežica,2007,92.5,94.3,90.4,36.6,36.9,36.2,63.4,63.1,63.8
mežica,2008,80.9,93.9,65.6,33,35.7,29.8,67,64.3,70.2
mežica,2009,86,96.5,73.2,35.4,37.7,32.7,64.6,62.3,67.3
mežica,2010,93.1,105.4,77.1,37,38.8,34.7,63,61.2,65.3
mežica,2011,95.2,108,78.7,37.1,40.3,32.9,62.9,59.7,67.1
mežica,2012,99.1,112.9,81.3,38,41.6,33.4,62,58.4,66.6
mežica,2013,102.8,119.9,81.1,38.3,42.7,32.7,61.7,57.3,67.3
mežica,2014,106.1,125.3,81.7,39.8,45,33.1,60.2,55,66.9
mežica,2015,114.4,133.4,90,40.8,45.3,35.1,59.2,54.7,64.9
mežica,2016,115.1,132.6,92,39.7,43.8,34.4,60.3,56.2,65.6
mežica,2017,114.5,131.3,92.4,39.8,43.5,34.8,60.2,56.5,65.2
mežica,2018,114.7,130.1,94.1,40.7,45.1,34.7,59.3,54.9,65.3
mežica,2019,116.1,131.6,94.5,41.3,46.6,33.8,58.7,53.4,66.2
mežica,2020,115.4,132,93.4,40.1,45.3,33.2,59.9,54.7,66.8
mežica,2021,113.6,126.8,95.4,40,45.1,33,60,54.9,67
mežica,2022,112.5,122.8,98.5,39.8,44,34.2,60.2,56,65.8
mežica,2023,112.9,124.2,98.2,41.9,46.8,35.4,58.1,53.2,64.6
mežica,2024,115.2,127.2,99.3,43.2,48.8,35.9,56.8,51.2,64.1
miklavž na dravskem polju,2000,39.6,46.3,31.5,18,20.2,15.3,82,79.8,84.7
miklavž na dravskem polju,2001,40.6,47.3,32.3,18.8,21.7,15.2,81.2,78.3,84.8
miklavž na dravskem polju,2002,40.3,46.8,32.6,18.8,21.9,15.1,81.2,78.1,84.9
miklavž na dravskem polju,2003,38.1,42.9,32.3,17.7,20.5,14.2,82.3,79.5,85.8
miklavž na dravskem polju,2004,40,45.3,33.5,18,20.8,14.4,82,79.2,85.6
miklavž na dravskem polju,2005,40.6,45.6,34.4,18.2,20.9,14.8,81.8,79.1,85.2
miklavž na dravskem polju,2006,41.9,47.9,34.4,17.8,20.2,14.7,82.2,79.8,85.3
miklavž na dravskem polju,2007,49.5,53.9,43.9,18.1,20.1,15.5,81.9,79.9,84.5
miklavž na dravskem polju,2008,44.7,51.8,35.6,18.8,21.3,15.5,81.2,78.7,84.5
miklavž na dravskem polju,2009,46.8,54.4,37.7,20.4,24.5,15.5,79.6,75.5,84.5
miklavž na dravskem polju,2010,45.7,52.7,37.5,19.3,22.2,15.9,80.7,77.8,84.1
miklavž na dravskem polju,2011,46.4,54.7,37.1,19.4,23.5,14.9,80.6,76.5,85.1
miklavž na dravskem polju,2012,49.8,56.1,42.8,19.7,23,16,80.3,77,84
miklavž na dravskem polju,2013,48.3,55.7,40.2,19.8,23.5,15.8,80.2,76.5,84.2
miklavž na dravskem polju,2014,48.6,52.5,44.3,18.1,20.1,15.8,81.9,79.9,84.2
miklavž na dravskem polju,2015,49.6,57.3,41.2,17.8,20,15.3,82.2,80,84.7
miklavž na dravskem polju,2016,51.8,60,42.9,18.1,19.3,16.8,81.9,80.7,83.2
miklavž na dravskem polju,2017,46.4,51.4,40.8,17.3,18.2,16.3,82.7,81.8,83.7
miklavž na dravskem polju,2018,42.3,46.6,37.1,15.4,15.1,15.8,84.6,84.9,84.2
miklavž na dravskem polju,2019,42.4,46.7,36.9,14.7,14.3,15.4,85.3,85.7,84.6
miklavž na dravskem polju,2020,45.3,50.2,38.9,14.9,14.5,15.6,85.1,85.5,84.4
miklavž na dravskem polju,2021,45.5,50.7,38.8,15.1,15.7,14.4,84.9,84.3,85.6
miklavž na dravskem polju,2022,44.6,48.8,38.8,15.1,15.2,14.9,84.9,84.8,85.1
miklavž na dravskem polju,2023,46.5,50.6,40.9,15,15,15.2,85,85,84.8
miklavž na dravskem polju,2024,44.5,48,39.8,14.9,14.9,15,85.1,85.1,85
miren - kostanjevica,2000,62.3,55.6,70.2,25.7,25.9,25.5,74.3,74.1,74.5
miren - kostanjevica,2001,61.8,56.9,67.7,25.6,25.6,25.5,74.4,74.4,74.5
miren - kostanjevica,2002,56.1,56.2,56.1,24.4,25.1,23.5,75.6,74.9,76.5
miren - kostanjevica,2003,56.6,56.8,56.4,24.7,26,23.2,75.3,74,76.8
miren - kostanjevica,2004,58.7,59,58.2,24.8,26.7,22.6,75.2,73.3,77.4
miren - kostanjevica,2005,55.1,56.1,53.9,23.5,25.3,21.5,76.5,74.7,78.5
miren - kostanjevica,2006,56.3,56.6,55.9,24.2,26.1,22,75.8,73.9,78
miren - kostanjevica,2007,57.3,59.2,55.1,24,25.9,21.7,76,74.1,78.3
miren - kostanjevica,2008,57.5,57,58.2,23.4,25.3,20.9,76.6,74.7,79.1
miren - kostanjevica,2009,64.1,62.3,66.3,26.5,29.9,22.3,73.5,70.1,77.7
miren - kostanjevica,2010,61.2,61.6,60.7,25,27.2,22.5,75,72.8,77.5
miren - kostanjevica,2011,62,62.3,61.6,25.8,27.8,23.5,74.2,72.2,76.5
miren - kostanjevica,2012,59,60.8,56.9,25,26.4,23.3,75,73.6,76.7
miren - kostanjevica,2013,59.7,62.4,56.7,24.6,26.6,22.2,75.4,73.4,77.8
miren - kostanjevica,2014,59.9,60.9,58.7,25.1,27.5,22.3,74.9,72.5,77.7
miren - kostanjevica,2015,56,55,57.3,24,25.3,22.5,76,74.7,77.5
miren - kostanjevica,2016,55.7,55.3,56.1,24,25.4,22.5,76,74.6,77.5
miren - kostanjevica,2017,56,56.5,55.4,23.5,25,21.8,76.5,75,78.2
miren - kostanjevica,2018,57.2,58.8,55.3,23.3,25.8,20.3,76.7,74.2,79.7
miren - kostanjevica,2019,59.5,62.1,56.6,23.6,25.8,21.1,76.4,74.2,78.9
miren - kostanjevica,2020,52.6,54.2,50.8,21,23,18.7,79,77,81.3
miren - kostanjevica,2021,53.7,54.4,52.8,20.6,22.2,18.8,79.4,77.8,81.2
miren - kostanjevica,2022,53.2,52.7,53.7,20.6,22,19,79.4,78,81
miren - kostanjevica,2023,51.8,51.3,52.5,20.8,22.3,18.9,79.2,77.7,81.1
miren - kostanjevica,2024,50.8,51.6,49.8,19.9,21.5,18,80.1,78.5,82
mirna,2000,-,-,-,-,-,-,-,-,-
mirna,2001,-,-,-,-,-,-,-,-,-
mirna,2002,-,-,-,-,-,-,-,-,-
mirna,2003,-,-,-,-,-,-,-,-,-
mirna,2004,-,-,-,-,-,-,-,-,-
mirna,2005,-,-,-,-,-,-,-,-,-
mirna,2006,-,-,-,-,-,-,-,-,-
mirna,2007,-,-,-,-,-,-,-,-,-
mirna,2008,-,-,-,-,-,-,-,-,-
mirna,2009,-,-,-,-,-,-,-,-,-
mirna,2010,-,-,-,-,-,-,-,-,-
mirna,2011,-,-,-,-,-,-,-,-,-
mirna,2012,61.4,64.4,58,24.4,26.9,21.4,75.6,73.1,78.6
mirna,2013,63.9,68.8,58.6,26.4,29,23.5,73.6,71,76.5
mirna,2014,68.8,73.4,63.4,28.2,30.8,25.3,71.8,69.2,74.7
mirna,2015,74,80.3,66.9,27.5,31.8,22.8,72.5,68.2,77.2
mirna,2016,73.8,79,68.1,26.7,31.1,21.9,73.3,68.9,78.1
mirna,2017,70.5,71.9,69,25.2,28.5,21.4,74.8,71.5,78.6
mirna,2018,69.2,70.3,67.9,24.8,28.7,20.4,75.2,71.3,79.6
mirna,2019,70.1,69.9,70.3,24.5,28,20.6,75.5,72,79.4
mirna,2020,66.2,65.8,66.7,23.4,26.7,19.5,76.6,73.3,80.5
mirna,2021,66,65.7,66.4,22.4,25.1,19.3,77.6,74.9,80.7
mirna,2022,68.4,69.6,67.1,22.9,25.6,19.7,77.1,74.4,80.3
mirna,2023,68.2,69.9,66.2,24.1,26.6,21.2,75.9,73.4,78.8
mirna,2024,66.2,67.8,64.5,23.3,25.6,20.7,76.7,74.4,79.3
mirna peč,2000,26.9,19.3,36.5,18.1,12.3,25.4,81.9,87.7,74.6
mirna peč,2001,26.4,18.3,37,18,12.1,25.8,82,87.9,74.2
mirna peč,2002,18.4,16.7,20.6,12.7,11.2,14.6,87.3,88.8,85.4
mirna peč,2003,19,18.1,20.2,11.6,10.2,13.5,88.4,89.8,86.5
mirna peč,2004,18.8,18.6,19.1,10.8,9.9,12,89.2,90.1,88
mirna peč,2005,20.7,21.7,19.4,11.6,11.1,12.3,88.4,88.9,87.7
mirna peč,2006,21,22.7,18.8,10.5,10,11.1,89.5,90,88.9
mirna peč,2007,23.3,27,18.7,10.5,11,9.9,89.5,89,90.1
mirna peč,2008,23.7,27.6,18.6,11.8,13.4,9.9,88.2,86.6,90.1
mirna peč,2009,20.9,23.2,18.2,11.7,12.9,10.4,88.3,87.1,89.6
mirna peč,2010,19.5,20.1,18.7,11.1,11.4,10.8,88.9,88.6,89.2
mirna peč,2011,21.2,21.8,20.5,11.9,12.4,11.4,88.1,87.6,88.6
mirna peč,2012,22.4,21.6,23.4,12.1,11.8,12.5,87.9,88.2,87.5
mirna peč,2013,23.4,22,25.1,12.7,12.8,12.6,87.3,87.2,87.4
mirna peč,2014,24,22.9,25.3,12.5,11.8,13.4,87.5,88.2,86.6
mirna peč,2015,25.3,24.6,26.2,13,12.1,14.1,87,87.9,85.9
mirna peč,2016,24.4,23.7,25.2,12.3,11.8,12.8,87.7,88.2,87.2
mirna peč,2017,26.5,27.4,25.4,12.6,11.9,13.4,87.4,88.1,86.6
mirna peč,2018,28.2,28.4,28,12.2,11.8,12.7,87.8,88.2,87.3
mirna peč,2019,27.4,27.1,27.7,12,11.8,12.3,88,88.2,87.7
mirna peč,2020,29.7,31.7,27.5,12.5,12.5,12.5,87.5,87.5,87.5
mirna peč,2021,32.7,35.5,29.7,12,12.1,11.9,88,87.9,88.1
mirna peč,2022,37.5,40.7,33.8,12.7,13.3,11.9,87.3,86.7,88.1
mirna peč,2023,34.8,36.9,32.3,12.2,12.7,11.5,87.8,87.3,88.5
mirna peč,2024,34.5,37,31.7,11.3,12,10.4,88.7,88,89.6
mislinja,2000,32.4,28.7,37.3,17.9,16.2,20.2,82.1,83.8,79.8
mislinja,2001,34.3,29.9,40,18.4,16.7,20.6,81.6,83.3,79.4
mislinja,2002,33.3,29.3,38.5,18,16.4,20,82,83.6,80
mislinja,2003,33.6,29.7,38.5,18.6,16.9,20.7,81.4,83.1,79.3
mislinja,2004,32.4,28.2,37.9,18,16.3,20.2,82,83.7,79.8
mislinja,2005,32.3,26.5,39.4,16.6,15.1,18.6,83.4,84.9,81.4
mislinja,2006,32.3,27.3,38.5,17.2,16,18.7,82.8,84,81.3
mislinja,2007,30.8,28.1,34.3,17.1,16.6,17.7,82.9,83.4,82.3
mislinja,2008,31.8,28.3,36.1,17.8,17.6,18.1,82.2,82.4,81.9
mislinja,2009,33.6,29.5,38.5,18.8,18.4,19.1,81.2,81.6,80.9
mislinja,2010,30.1,28,32.7,18.3,18.8,17.7,81.7,81.2,82.3
mislinja,2011,27.8,25.9,30.3,18.4,18.1,18.8,81.6,81.9,81.2
mislinja,2012,26.4,24.6,28.8,18,18.2,17.8,82,81.8,82.2
mislinja,2013,27.1,25.5,29.2,17.8,18.4,17,82.2,81.6,83
mislinja,2014,29,28.8,29.2,18.7,19.4,17.8,81.3,80.6,82.2
mislinja,2015,28.8,29.9,27.5,18.2,19.2,17,81.8,80.8,83
mislinja,2016,29.9,30.2,29.6,18.6,19.4,17.6,81.4,80.6,82.4
mislinja,2017,30.2,31.1,29.1,17.5,18.9,15.8,82.5,81.1,84.2
mislinja,2018,30.6,32,28.9,17.6,18.9,16,82.4,81.1,84
mislinja,2019,30.6,31.6,29.6,17.4,18.5,16,82.6,81.5,84
mislinja,2020,30.6,32.1,28.8,17.3,18.5,15.9,82.7,81.5,84.1
mislinja,2021,34.3,35.6,32.7,19,20.6,17.2,81,79.4,82.8
mislinja,2022,35,34.1,36.1,19.4,19.8,18.9,80.6,80.2,81.1
mislinja,2023,36,35,37.1,18.8,19.1,18.4,81.2,80.9,81.6
mislinja,2024,38.7,37.4,40.2,19.3,19.7,18.9,80.7,80.3,81.1
mokronog - trebelno,2000,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2001,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2002,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2003,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2004,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2005,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2006,-,-,-,-,-,-,-,-,-
mokronog - trebelno,2007,60.8,46.6,79.7,23,18.5,28.9,77,81.5,71.1
mokronog - trebelno,2008,59.4,46.6,76.6,23.4,21,26.7,76.6,79,73.3
mokronog - trebelno,2009,62.9,48.8,82,23,20.3,26.6,77,79.7,73.4
mokronog - trebelno,2010,56.2,42.4,75.5,21.1,19.5,23.4,78.9,80.5,76.6
mokronog - trebelno,2011,43,36.5,52.1,20.1,18.4,22.4,79.9,81.6,77.6
mokronog - trebelno,2012,43.5,36.1,53.8,20.1,18.6,22.1,79.9,81.4,77.9
mokronog - trebelno,2013,44.6,39.4,51.6,21.4,20.6,22.4,78.6,79.4,77.6
mokronog - trebelno,2014,45.5,39.7,53.5,21,19.7,22.9,79,80.3,77.1
mokronog - trebelno,2015,46.6,40,55.5,20.9,19.2,23.2,79.1,80.8,76.8
mokronog - trebelno,2016,46.7,38.5,57.4,20,18.1,22.6,80,81.9,77.4
mokronog - trebelno,2017,46.2,37.8,56.8,20.5,18.3,23.4,79.5,81.7,76.6
mokronog - trebelno,2018,45.9,38.1,55.5,20.3,18.1,22.9,79.7,81.9,77.1
mokronog - trebelno,2019,46.3,40.2,53.8,20.8,19.4,22.5,79.2,80.6,77.5
mokronog - trebelno,2020,46.8,41.1,53.5,20,18.5,21.6,80,81.5,78.4
mokronog - trebelno,2021,48.8,42.4,56.6,20.5,20.1,20.9,79.5,79.9,79.1
mokronog - trebelno,2022,47.8,41.2,55.7,21.1,21.1,21.2,78.9,78.9,78.8
mokronog - trebelno,2023,47.7,40.2,56.8,21.1,21.4,20.7,78.9,78.6,79.3
mokronog - trebelno,2024,48.2,45.5,51.5,20.7,21.9,19.2,79.3,78.1,80.8
moravske toplice,2000,60,53.2,67.7,29.2,27,31.7,70.8,73,68.3
moravske toplice,2001,61.3,55.1,68.1,28.9,27.2,30.8,71.1,72.8,69.2
moravske toplice,2002,56,54.4,57.9,25.6,26.2,25,74.4,73.8,75
moravske toplice,2003,53.8,51.2,56.5,24.2,23.7,24.8,75.8,76.3,75.2
moravske toplice,2004,53.9,51.9,56.1,23,23.5,22.6,77,76.5,77.4
moravske toplice,2005,54.7,51.7,58.2,23.4,23.6,23.1,76.6,76.4,76.9
moravske toplice,2006,57.8,52.5,64.3,24,23.8,24.2,76,76.2,75.8
moravske toplice,2007,59.4,52.8,67.7,23.4,23.4,23.4,76.6,76.6,76.6
moravske toplice,2008,61.1,54.1,69.8,24.6,23.4,26.1,75.4,76.6,73.9
moravske toplice,2009,63.6,54.8,75.6,26.4,25.4,27.8,73.6,74.6,72.2
moravske toplice,2010,62,54,71.9,25.1,24.1,26.4,74.9,75.9,73.6
moravske toplice,2011,56.9,50.4,65,23.9,22.7,25.4,76.1,77.3,74.6
moravske toplice,2012,57,49.6,65.8,23.9,22.2,25.9,76.1,77.8,74.1
moravske toplice,2013,55.5,48.8,63.5,23.8,22.8,25,76.2,77.2,75
moravske toplice,2014,58.6,49.4,69.7,25,23.9,26.2,75,76.1,73.8
moravske toplice,2015,55.6,44.1,69.5,24.7,22.7,27.1,75.3,77.3,72.9
moravske toplice,2016,55.8,45.3,67.9,25,22.2,28.2,75,77.8,71.8
moravske toplice,2017,56.2,44.7,69.5,23.7,21.6,26,76.3,78.4,74
moravske toplice,2018,55.1,44.5,67.3,23.9,22.5,25.5,76.1,77.5,74.5
moravske toplice,2019,55.3,44.5,67.7,23.9,22.7,25.2,76.1,77.3,74.8
moravske toplice,2020,52.6,41.4,65.8,22.6,21.2,24.3,77.4,78.8,75.7
moravske toplice,2021,53.6,42.8,65.8,22.5,20.5,24.8,77.5,79.5,75.2
moravske toplice,2022,53.2,42.5,65.5,22,20.2,24.2,78,79.8,75.8
moravske toplice,2023,51.4,41,63.1,22.3,21.1,23.7,77.7,78.9,76.3
moravske toplice,2024,52.1,41.3,64,22.9,21.2,24.8,77.1,78.8,75.2
moravče,2000,20.7,22,19.1,14.8,16.6,12.4,85.2,83.4,87.6
moravče,2001,20.9,21.2,20.5,14.6,15.8,13.1,85.4,84.2,86.9
moravče,2002,21.9,22.6,20.9,14.8,16.1,13,85.2,83.9,87
moravče,2003,21.2,21.7,20.4,14.2,15.5,12.4,85.8,84.5,87.6
moravče,2004,24.8,25.3,24.2,15.7,16.7,14.3,84.3,83.3,85.7
moravče,2005,25.1,25.7,24.2,15,16.2,13.5,85,83.8,86.5
moravče,2006,25.6,25.9,25.3,15.3,16.4,13.9,84.7,83.6,86.1
moravče,2007,26.6,27,26,15.8,17.2,14,84.2,82.8,86
moravče,2008,28.5,29.4,27.3,16.5,18.1,14.6,83.5,81.9,85.4
moravče,2009,30.1,31,28.9,17.1,18.9,15,82.9,81.1,85
moravče,2010,31.9,34.2,29.1,17.4,19.7,14.6,82.6,80.3,85.4
moravče,2011,33.8,36.8,30.2,18,19.9,15.7,82,80.1,84.3
moravče,2012,35,38.1,31.2,18.2,20.1,15.9,81.8,79.9,84.1
moravče,2013,33.2,35,31,18.3,19.9,16.4,81.7,80.1,83.6
moravče,2014,35,37.2,32.4,19.5,21.8,16.8,80.5,78.2,83.2
moravče,2015,34.6,37.1,31.6,19.6,22.3,16.3,80.4,77.7,83.7
moravče,2016,35.2,38.1,31.9,19.6,22.1,16.6,80.4,77.9,83.4
moravče,2017,36.7,40.4,32.5,19.6,22.1,16.6,80.4,77.9,83.4
moravče,2018,38.2,41.3,34.6,19.8,22.1,17.1,80.2,77.9,82.9
moravče,2019,38.7,43.3,33.6,19.8,22.3,16.9,80.2,77.7,83.1
moravče,2020,37,41.8,31.5,19.2,22.4,15.5,80.8,77.6,84.5
moravče,2021,38.8,45.5,31.5,19.4,23.3,15.1,80.6,76.7,84.9
moravče,2022,35,40.7,28.6,19.4,23.2,15.1,80.6,76.8,84.9
moravče,2023,35.4,41.4,28.8,19.7,23.4,15.5,80.3,76.6,84.5
moravče,2024,36.4,42.2,30.1,19.8,23.7,15.6,80.2,76.3,84.4
mozirje,2000,62.7,58.7,67.3,34.4,33.5,35.4,65.6,66.5,64.6
mozirje,2001,64.5,59.8,70.1,35,34.5,35.6,65,65.5,64.4
mozirje,2002,62.2,59.1,66,33.7,33.6,33.7,66.3,66.4,66.3
mozirje,2003,57.4,55.4,59.8,31.8,31.6,32.2,68.2,68.4,67.8
mozirje,2004,59,56.4,62.3,32.2,31.9,32.6,67.8,68.1,67.4
mozirje,2005,59.4,57.7,61.6,32.8,32.8,32.8,67.2,67.2,67.2
mozirje,2006,59.7,57.9,61.9,32.4,32.3,32.4,67.6,67.7,67.6
mozirje,2007,61.1,50.1,75.2,27.2,25.5,29.5,72.8,74.5,70.5
mozirje,2008,62.8,52.5,75.3,28.3,27.5,29.3,71.7,72.5,70.7
mozirje,2009,63.8,53.8,76.6,29.4,28.6,30.4,70.6,71.4,69.6
mozirje,2010,64.3,56.9,73.7,29.5,29.9,29.1,70.5,70.1,70.9
mozirje,2011,65.7,57.3,75.9,30,29.9,30.1,70,70.1,69.9
mozirje,2012,68.1,61.5,76,30.6,31.2,29.9,69.4,68.8,70.1
mozirje,2013,69.6,63,77,30,29.8,30.3,70,70.2,69.7
mozirje,2014,63.6,58.1,69.8,28.3,28.2,28.4,71.7,71.8,71.6
mozirje,2015,60.3,56,65,28.2,28.7,27.6,71.8,71.3,72.4
mozirje,2016,59.4,54.9,64.5,26.6,26.4,27,73.4,73.6,73
mozirje,2017,60.3,55.7,65.3,27.9,28,27.8,72.1,72,72.2
mozirje,2018,58.7,55.4,62.3,27.4,27.5,27.3,72.6,72.5,72.7
mozirje,2019,58.2,54.1,62.4,27.4,27.6,27.2,72.6,72.4,72.8
mozirje,2020,59,56.1,62.1,25.7,26,25.3,74.3,74,74.7
mozirje,2021,56.2,54.7,57.9,22.8,23.6,22,77.2,76.4,78
mozirje,2022,54.6,52.6,56.9,22.8,23.6,21.9,77.2,76.4,78.1
mozirje,2023,57.8,59.2,56.1,22.3,23.4,21,77.7,76.6,79
mozirje,2024,53.8,55.3,52.2,21.9,23,20.7,78.1,77,79.3
murska sobota,2000,193.7,190.2,197.3,81.8,77.1,86.4,18.2,22.9,13.6
murska sobota,2001,194.3,190.5,198.1,80.2,75.7,84.6,19.8,24.3,15.4
murska sobota,2002,196.6,188.1,205.2,77.6,73.6,81.6,22.4,26.4,18.4
murska sobota,2003,195.9,185.7,206.1,76.2,72,80.3,23.8,28,19.7
murska sobota,2004,197.6,184.4,211.1,75.2,70.3,80.1,24.8,29.7,19.9
murska sobota,2005,199.5,185.9,213.5,73.7,68.5,79,26.3,31.5,21
murska sobota,2006,196,181.9,210.7,71.9,66.5,77.5,28.1,33.5,22.5
murska sobota,2007,195.5,181.7,210,70.1,64.7,75.7,29.9,35.3,24.3
murska sobota,2008,195.3,179.7,211.6,68.9,63,75.1,31.1,37,24.9
murska sobota,2009,189.5,179.2,200.8,67.5,62.6,72.8,32.5,37.4,27.2
