obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
bohinj,2015,64.7,64.2,65.3,50.2,49.2,51.4,49.8,50.8,48.6
bohinj,2016,66.3,65.7,67,51.1,51.2,51.1,48.9,48.8,48.9
bohinj,2017,67.5,66.9,68.2,51.7,51,52.5,48.3,49,47.5
bohinj,2018,67.9,67.8,68.1,52.5,52.8,52.2,47.5,47.2,47.8
bohinj,2019,67.8,67.2,68.5,52.2,51.8,52.7,47.8,48.2,47.3
bohinj,2020,60.8,61.9,59.7,46.4,47.3,45.4,53.6,52.7,54.6
bohinj,2021,61.9,62.7,60.9,45.2,46.2,44.2,54.8,53.8,55.8
bohinj,2022,65.9,66,65.8,49.1,50,48,50.9,50,52
bohinj,2023,71.3,70.1,72.7,53.2,52.9,53.5,46.8,47.1,46.5
bohinj,2024,72.1,71.9,72.4,53.6,53.9,53.1,46.4,46.1,46.9
borovnica,2000,30.1,32.6,27.1,18,18.6,17.2,82,81.4,82.8
borovnica,2001,30.1,31.8,28.1,17.5,18,17,82.5,82,83
borovnica,2002,29.6,32.5,26.1,17.4,18.8,15.7,82.6,81.2,84.3
borovnica,2003,30.3,33.4,26.6,17.7,18.1,17.2,82.3,81.9,82.8
borovnica,2004,29.9,32.7,26.4,16.8,17.7,15.6,83.2,82.3,84.4
borovnica,2005,31.5,35.8,26.3,16.7,17.8,15.3,83.3,82.2,84.7
borovnica,2006,30.9,35.2,25.7,16.5,17.4,15.5,83.5,82.6,84.5
borovnica,2007,30.8,35.1,25.3,15.2,16.2,13.9,84.8,83.8,86.1
borovnica,2008,38.5,43.9,31.6,18.8,19.8,17.5,81.2,80.2,82.5
borovnica,2009,41.7,47.6,34.1,20.4,22.8,17.3,79.6,77.2,82.7
borovnica,2010,42.9,50.4,33.1,19.9,22.5,16.6,80.1,77.5,83.4
borovnica,2011,36.8,40.7,32.1,17.7,19.8,15.2,82.3,80.2,84.8
borovnica,2012,40.5,45.9,34.1,18.4,21.3,14.9,81.6,78.7,85.1
borovnica,2013,33.7,38.3,28.2,15.5,17.7,12.8,84.5,82.3,87.2
borovnica,2014,35.3,40.8,29.2,15.8,18.1,13.3,84.2,81.9,86.7
borovnica,2015,37.6,44.5,29.8,16.2,18.6,13.4,83.8,81.4,86.6
borovnica,2016,35.9,41.7,29.4,15.5,18,12.7,84.5,82,87.3
borovnica,2017,38.4,43,33.3,15.3,17.9,12.4,84.7,82.1,87.6
borovnica,2018,39.6,47.2,31.2,16.1,19.6,12.1,83.9,80.4,87.9
borovnica,2019,39.6,46.6,31.7,16.2,20.6,11.3,83.8,79.4,88.7
borovnica,2020,38.9,46.2,30.4,16.3,19.4,12.7,83.7,80.6,87.3
borovnica,2021,43,53.2,31.2,17.6,21,13.5,82.4,79,86.5
borovnica,2022,42.3,52.1,30.4,17.4,21.2,12.8,82.6,78.8,87.2
borovnica,2023,41.6,50.4,31.1,17.8,21.3,13.5,82.2,78.7,86.5
borovnica,2024,41.4,49.3,32.1,18,21.1,14.4,82,78.9,85.6
bovec,2000,81.3,75.6,89,65.3,59.9,72.6,34.7,40.1,27.4
bovec,2001,80.9,73.9,90.8,65.5,59.7,73.6,34.5,40.3,26.4
bovec,2002,85.4,79.2,94.1,68.2,62.7,75.9,31.8,37.3,24.1
bovec,2003,85,81.7,89.5,67.9,63.6,73.6,32.1,36.4,26.4
bovec,2004,84.6,81.5,88.8,67.9,64.6,72.2,32.1,35.4,27.8
bovec,2005,83.2,80.8,86.3,65.7,62.9,69.4,34.3,37.1,30.6
bovec,2006,83.2,83,83.5,64.3,62.4,66.9,35.7,37.6,33.1
bovec,2007,85.6,84.1,87.8,65,61.6,69.6,35,38.4,30.4
bovec,2008,84.9,83.8,86.4,63.9,60.8,68.1,36.1,39.2,31.9
bovec,2009,86.1,86.4,85.6,64.9,62.8,67.8,35.1,37.2,32.2
bovec,2010,81.6,82.9,79.8,61.3,59.2,64.2,38.7,40.8,35.8
bovec,2011,87,90,83.4,66.1,64.9,67.5,33.9,35.1,32.5
