obcina,leto,Basic or less,Education - TOTAL,Tertiary,Upper secondary
dolnja bistrica,2014,185,491,41,265
dolnja bistrica,2015,178,488,48,262
dolnja bistrica,2016,162,479,52,265
dolnja bistrica,2017,156,479,55,268
dolnja bistrica,2018,149,464,53,262
dolnja bistrica,2019,149,461,55,257
dolnja bistrica,2020,147,466,56,263
dolnja bistrica,2021,146,471,57,268
dolnja bistrica,2022,143,473,61,269
dolnja bistrica,2023,140,477,61,276
dolnja bistrica,2024,134,482,64,284
domžale,2011,7025,28286,5709,15552
domžale,2012,6783,28469,6181,15505
domžale,2013,6749,28601,6374,15478
domžale,2014,6614,28799,6810,15375
domžale,2015,6518,28998,7114,15366
domžale,2016,6391,29198,7405,15402
domžale,2017,6220,29378,7838,15320
domžale,2018,6045,29560,8076,15439
domžale,2019,5989,30039,8394,15656
domžale,2020,6002,30383,8601,15780
domžale,2021,5942,30394,8699,15753
domžale,2022,5875,30543,8884,15784
domžale,2023,5954,31125,9176,15995
domžale,2024,5971,31540,9476,16093
dornava,2011,983,2536,239,1314
dornava,2012,957,2564,261,1346
dornava,2013,918,2504,263,1323
dornava,2014,890,2505,297,1318
dornava,2015,873,2515,310,1332
dornava,2016,848,2477,316,1313
dornava,2017,824,2494,336,1334
dornava,2018,813,2478,342,1323
dornava,2019,777,2476,361,1338
dornava,2020,776,2499,373,1350
dornava,2021,751,2506,380,1375
dornava,2022,729,2491,399,1363
dornava,2023,717,2506,397,1392
dornava,2024,693,2502,403,1406
dravograd,2011,2462,7726,1008,4256
dravograd,2012,2370,7737,1084,4283
dravograd,2013,2303,7681,1102,4276
dravograd,2014,2256,7608,1147,4205
dravograd,2015,2215,7596,1195,4186
dravograd,2016,2170,7610,1265,4175
dravograd,2017,2080,7565,1317,4168
dravograd,2018,2001,7517,1345,4171
dravograd,2019,1880,7476,1379,4217
dravograd,2020,1862,7577,1413,4302
dravograd,2021,1773,7531,1440,4318
dravograd,2022,1776,7554,1466,4312
dravograd,2023,1757,7547,1508,4282
dravograd,2024,1751,7549,1542,4256
duplek,2011,1671,5720,661,3388
