obcina,leto,Basic or less,Education - TOTAL,Tertiary,Upper secondary
mislinja,2024,896,3905,899,2110
mokronog - trebelno,2011,996,2457,284,1177
mokronog - trebelno,2012,964,2488,312,1212
mokronog - trebelno,2013,939,2502,337,1226
mokronog - trebelno,2014,910,2534,372,1252
mokronog - trebelno,2015,892,2545,396,1257
mokronog - trebelno,2016,855,2547,431,1261
mokronog - trebelno,2017,820,2548,450,1278
mokronog - trebelno,2018,800,2528,454,1274
mokronog - trebelno,2019,771,2547,470,1306
mokronog - trebelno,2020,756,2569,493,1320
mokronog - trebelno,2021,758,2628,518,1352
mokronog - trebelno,2022,724,2601,523,1354
mokronog - trebelno,2023,723,2649,555,1371
mokronog - trebelno,2024,715,2666,578,1373
moravske toplice,2011,2232,5234,555,2447
moravske toplice,2012,2141,5229,636,2452
moravske toplice,2013,2061,5168,647,2460
moravske toplice,2014,1988,5146,705,2453
moravske toplice,2015,1901,5119,754,2464
moravske toplice,2016,1844,5101,792,2465
moravske toplice,2017,1776,5081,843,2462
moravske toplice,2018,1693,5077,883,2501
moravske toplice,2019,1647,5040,887,2506
moravske toplice,2020,1601,5074,914,2559
moravske toplice,2021,1578,5206,980,2648
moravske toplice,2022,1520,5219,1045,2654
moravske toplice,2023,1462,5209,1053,2694
moravske toplice,2024,1444,5214,1066,2704
moravče,2011,1425,4083,488,2170
moravče,2012,1381,4132,567,2184
moravče,2013,1355,4156,596,2205
moravče,2014,1346,4187,643,2198
moravče,2015,1323,4234,702,2209
moravče,2016,1270,4267,728,2269
moravče,2017,1242,4315,786,2287
moravče,2018,1211,4340,805,2324
moravče,2019,1163,4397,860,2374
moravče,2020,1135,4428,880,2413
moravče,2021,1112,4449,928,2409
moravče,2022,1083,4500,965,2452
moravče,2023,1079,4560,1007,2474
moravče,2024,1079,4644,1054,2511
mozirje,2011,1123,3424,582,1719
mozirje,2012,1088,3433,612,1733
mozirje,2013,1067,3428,613,1748
mozirje,2014,1043,3451,662,1746
mozirje,2015,1003,3424,689,1732
mozirje,2016,962,3414,727,1725
mozirje,2017,928,3421,772,1721
mozirje,2018,912,3462,816,1734
mozirje,2019,876,3472,849,1747
mozirje,2020,858,3500,866,1776
mozirje,2021,862,3579,922,1795
mozirje,2022,877,3706,977,1852
mozirje,2023,868,3781,1009,1904
mozirje,2024,867,3824,1039,1918
murska sobota,2011,4748,16907,3349,8810
murska sobota,2012,4588,16885,3498,8799
murska sobota,2013,4403,16771,3574,8794
murska sobota,2014,4265,16586,3698,8623
murska sobota,2015,4141,16531,3784,8606
murska sobota,2016,4045,16477,3893,8539
murska sobota,2017,3929,16384,4019,8436
murska sobota,2018,3863,16293,4024,8406
murska sobota,2019,3801,16282,4095,8386
murska sobota,2020,3758,16311,4160,8393
murska sobota,2021,3681,16243,4171,8391
murska sobota,2022,3658,16217,4206,8353
murska sobota,2023,3607,16328,4286,8435
murska sobota,2024,3574,16329,4358,8397
muta,2011,992,2975,348,1635
muta,2012,963,2979,375,1641
muta,2013,950,2960,383,1627
muta,2014,939,2943,414,1590
muta,2015,913,2910,425,1572
muta,2016,880,2891,447,1564
muta,2017,858,2894,481,1555
muta,2018,823,2893,494,1576
muta,2019,783,2892,510,1599
muta,2020,776,2921,516,1629
muta,2021,750,2923,541,1632
muta,2022,721,2903,548,1634
muta,2023,709,2900,558,1633
muta,2024,696,2883,564,1623
nazarje,2011,759,2226,251,1216
nazarje,2012,748,2243,279,1216
nazarje,2013,735,2250,295,1220
nazarje,2014,706,2224,323,1195
nazarje,2015,674,2220,345,1201
nazarje,2016,653,2221,357,1211
nazarje,2017,629,2216,381,1206
nazarje,2018,598,2214,405,1211
nazarje,2019,588,2236,420,1228
nazarje,2020,571,2253,436,1246
nazarje,2021,531,2212,440,1241
nazarje,2022,510,2273,457,1306
nazarje,2023,506,2263,470,1287
nazarje,2024,512,2292,475,1305
nova gorica,2011,8058,27841,5684,14099
nova gorica,2012,7745,27630,5953,13932
nova gorica,2013,7576,27485,6064,13845
nova gorica,2014,7441,27266,6216,13609
nova gorica,2015,7333,27250,6369,13548
nova gorica,2016,7096,27211,6586,13529
nova gorica,2017,6939,27180,6803,13438
nova gorica,2018,6696,27034,6901,13437
nova gorica,2019,6513,27214,7003,13698
nova gorica,2020,6469,27289,7058,13762
nova gorica,2021,6399,27308,7137,13772
nova gorica,2022,6323,27284,7242,13719
nova gorica,2023,6439,27526,7378,13709
nova gorica,2024,6480,27597,7401,13716
novo mesto,2011,8892,30669,6284,15493
novo mesto,2012,8546,30655,6684,15425
novo mesto,2013,8202,30497,6824,15471
novo mesto,2014,8016,30471,7214,15241
novo mesto,2015,7771,30436,7469,15196
novo mesto,2016,7616,30522,7760,15146
novo mesto,2017,7382,30421,8001,15038
novo mesto,2018,7195,30460,8177,15088
novo mesto,2019,7006,30874,8363,15505
novo mesto,2020,6955,31255,8491,15809
novo mesto,2021,6847,31062,8534,15681
novo mesto,2022,6839,31227,8735,15653
novo mesto,2023,6918,31658,9006,15734
novo mesto,2024,6976,31975,9195,15804
odranci,2011,683,1441,127,631
odranci,2012,635,1412,141,636
odranci,2013,608,1385,143,634
odranci,2014,600,1376,149,627
odranci,2015,586,1394,158,650
odranci,2016,568,1379,164,647
odranci,2017,554,1379,177,648
odranci,2018,536,1373,184,653
odranci,2019,516,1390,195,679
odranci,2020,500,1378,197,681
odranci,2021,473,1365,201,691
odranci,2022,450,1344,207,687
odranci,2023,438,1357,222,697
odranci,2024,431,1345,226,688
oplotnica,2011,1166,3390,357,1867
oplotnica,2012,1147,3428,398,1883
oplotnica,2013,1114,3437,416,1907
oplotnica,2014,1059,3426,458,1909
oplotnica,2015,1020,3430,482,1928
oplotnica,2016,1009,3444,529,1906
oplotnica,2017,982,3458,578,1898
oplotnica,2018,948,3456,606,1902
oplotnica,2019,913,3458,626,1919
oplotnica,2020,871,3458,651,1936
oplotnica,2021,856,3453,653,1944
oplotnica,2022,827,3437,663,1947
oplotnica,2023,822,3451,685,1944
oplotnica,2024,817,3495,702,1976
ormož,2011,3996,10868,1051,5821
ormož,2012,3826,10799,1153,5820
ormož,2013,3689,10762,1232,5841
ormož,2014,3548,10675,1307,5820
ormož,2015,3448,10693,1403,5842
ormož,2016,3304,10613,1446,5863
ormož,2017,3153,10524,1561,5810
ormož,2018,3025,10429,1591,5813
ormož,2019,2852,10297,1637,5808
ormož,2020,2767,10263,1672,5824
ormož,2021,2694,10256,1717,5845
ormož,2022,2646,10294,1763,5885
ormož,2023,2613,10309,1819,5877
ormož,2024,2539,10271,1860,5872
osilnica,2011,151,368,34,183
osilnica,2012,145,370,36,189
osilnica,2013,135,358,32,191
osilnica,2014,134,354,34,186
osilnica,2015,125,338,31,182
osilnica,2016,120,335,31,184
osilnica,2017,117,338,34,187
osilnica,2018,111,333,38,184
osilnica,2019,109,335,41,185
osilnica,2020,103,323,35,185
osilnica,2021,91,303,40,172
osilnica,2022,84,298,40,174
osilnica,2023,79,310,43,188
osilnica,2024,79,309,41,189
pesnica,2011,2294,6531,696,3541
pesnica,2012,2194,6507,761,3552
pesnica,2013,2128,6511,792,3591
pesnica,2014,2051,6458,855,3552
pesnica,2015,2008,6493,898,3587
pesnica,2016,1928,6406,925,3553
pesnica,2017,1908,6409,982,3519
pesnica,2018,1813,6423,1010,3600
pesnica,2019,1722,6394,1048,3624
pesnica,2020,1694,6484,1071,3719
pesnica,2021,1668,6587,1124,3795
pesnica,2022,1614,6646,1155,3877
pesnica,2023,1572,6675,1182,3921
pesnica,2024,1570,6777,1226,3981
piran/pirano,2011,3936,15775,3289,8550
piran/pirano,2012,3662,15638,3485,8491
piran/pirano,2013,3659,15829,3514,8656
piran/pirano,2014,3517,15710,3664,8529
piran/pirano,2015,3405,15772,3803,8564
piran/pirano,2016,3326,15746,3881,8539
piran/pirano,2017,3232,15703,4059,8412
piran/pirano,2018,3109,15559,4119,8331
piran/pirano,2019,3001,15584,4229,8354
piran/pirano,2020,2953,15575,4234,8388
piran/pirano,2021,2972,16219,4558,8689
piran/pirano,2022,2922,16185,4636,8627
piran/pirano,2023,2969,16061,4532,8560
piran/pirano,2024,2994,16008,4470,8544
pivka,2011,1809,5079,701,2569
pivka,2012,1748,5090,753,2589
pivka,2013,1710,5124,789,2625
pivka,2014,1671,5084,816,2597
pivka,2015,1624,5095,840,2631
pivka,2016,1594,5127,889,2644
pivka,2017,1566,5136,959,2611
pivka,2018,1516,5104,970,2618
pivka,2019,1499,5206,1008,2699
pivka,2020,1477,5251,1025,2749
pivka,2021,1450,5249,1032,2767
pivka,2022,1429,5276,1045,2802
pivka,2023,1404,5286,1089,2793
pivka,2024,1374,5257,1122,2761
podlehnik,2011,699,1674,135,840
podlehnik,2012,666,1649,142,841
podlehnik,2013,653,1663,144,866
podlehnik,2014,616,1644,155,873
podlehnik,2015,591,1605,158,856
podlehnik,2016,584,1619,173,862
podlehnik,2017,560,1677,187,930
podlehnik,2018,555,1666,199,912
podlehnik,2019,524,1614,194,896
podlehnik,2020,515,1580,205,860
podlehnik,2021,519,1639,235,885
podlehnik,2022,494,1625,235,896
podlehnik,2023,483,1607,223,901
podlehnik,2024,463,1613,238,912
podvelka,2011,884,2216,177,1155
podvelka,2012,843,2198,191,1164
podvelka,2013,799,2163,196,1168
podvelka,2014,762,2115,205,1148
podvelka,2015,714,2073,221,1138
podvelka,2016,703,2047,229,1115
podvelka,2017,671,2033,243,1119
podvelka,2018,656,2024,245,1123
podvelka,2019,634,2030,251,1145
podvelka,2020,624,2019,257,1138
podvelka,2021,629,2057,282,1146
podvelka,2022,607,2036,276,1153
podvelka,2023,584,2024,282,1158
podvelka,2024,537,1975,290,1148
podčetrtek,2011,1083,2795,280,1432
podčetrtek,2012,1062,2819,329,1428
podčetrtek,2013,1029,2806,339,1438
podčetrtek,2014,1023,2826,386,1417
podčetrtek,2015,988,2837,399,1450
podčetrtek,2016,941,2828,432,1455
podčetrtek,2017,923,2856,474,1459
podčetrtek,2018,895,2845,489,1461
podčetrtek,2019,880,2921,525,1516
podčetrtek,2020,863,2917,530,1524
podčetrtek,2021,858,3046,572,1616
podčetrtek,2022,835,3072,606,1631
podčetrtek,2023,811,3012,587,1614
podčetrtek,2024,804,3034,611,1619
poljčane,2011,1276,3951,468,2207
poljčane,2012,1236,3958,528,2194
poljčane,2013,1198,3927,547,2182
poljčane,2014,1133,3860,571,2156
poljčane,2015,1094,3830,592,2144
poljčane,2016,1067,3816,619,2130
poljčane,2017,1030,3823,659,2134
poljčane,2018,995,3767,663,2109
poljčane,2019,1010,3839,671,2158
poljčane,2020,999,3856,688,2169
poljčane,2021,964,3866,716,2186
poljčane,2022,967,3891,741,2183
poljčane,2023,935,3844,755,2154
poljčane,2024,876,3811,769,2166
polzela,2011,1716,5047,731,2600
polzela,2012,1651,5033,801,2581
polzela,2013,1620,5041,858,2563
polzela,2014,1586,5065,931,2548
polzela,2015,1557,5101,1000,2544
polzela,2016,1533,5141,1044,2564
polzela,2017,1463,5171,1110,2598
polzela,2018,1413,5152,1135,2604
polzela,2019,1343,5182,1171,2668
polzela,2020,1337,5238,1233,2668
polzela,2021,1331,5309,1270,2708
polzela,2022,1339,5370,1330,2701
polzela,2023,1302,5412,1381,2729
polzela,2024,1297,5494,1438,2759
postojna,2011,4011,13387,2546,6830
postojna,2012,3858,13340,2725,6757
postojna,2013,3765,13287,2828,6694
postojna,2014,3728,13352,2947,6677
postojna,2015,3677,13443,3032,6734
postojna,2016,3560,13456,3067,6829
postojna,2017,3476,13502,3216,6810
postojna,2018,3402,13504,3253,6849
postojna,2019,3261,13478,3336,6881
postojna,2020,3292,13687,3401,6994
postojna,2021,3275,13856,3446,7135
postojna,2022,3224,13907,3537,7146
postojna,2023,3443,14324,3643,7238
postojna,2024,3652,14776,3716,7408
prebold,2011,1274,4247,700,2273
prebold,2012,1249,4295,766,2280
prebold,2013,1204,4332,803,2325
prebold,2014,1171,4222,832,2219
prebold,2015,1127,4222,861,2234
prebold,2016,1113,4229,910,2206
prebold,2017,1106,4272,978,2188
prebold,2018,1084,4253,995,2174
prebold,2019,1057,4257,1005,2195
prebold,2020,1033,4278,1027,2218
prebold,2021,1017,4374,1060,2297
prebold,2022,1043,4454,1089,2322
prebold,2023,1036,4490,1122,2332
prebold,2024,1042,4485,1132,2311
preddvor,2011,861,2952,542,1549
preddvor,2012,847,2959,611,1501
preddvor,2013,815,2983,652,1516
preddvor,2014,802,2977,697,1478
preddvor,2015,764,2991,732,1495
preddvor,2016,736,2995,745,1514
preddvor,2017,718,3016,798,1500
preddvor,2018,712,3042,821,1509
preddvor,2019,701,3082,850,1531
preddvor,2020,713,3109,889,1507
preddvor,2021,670,3153,923,1560
preddvor,2022,643,3179,937,1599
preddvor,2023,642,3217,981,1594
preddvor,2024,637,3238,1011,1590
prevalje,2011,1773,5895,809,3313
prevalje,2012,1702,5884,859,3323
prevalje,2013,1658,5864,876,3330
prevalje,2014,1636,5847,928,3283
prevalje,2015,1600,5853,973,3280
prevalje,2016,1539,5823,989,3295
prevalje,2017,1498,5837,1018,3321
prevalje,2018,1450,5849,1056,3343
prevalje,2019,1406,5830,1060,3364
prevalje,2020,1374,5833,1072,3387
prevalje,2021,1356,5816,1129,3331
prevalje,2022,1328,5751,1149,3274
prevalje,2023,1311,5817,1179,3327
prevalje,2024,1280,5783,1183,3320
ptuj,2011,5046,20553,3735,11772
ptuj,2012,4823,20515,3996,11696
ptuj,2013,4645,20290,4099,11546
ptuj,2014,4475,20148,4306,11367
ptuj,2015,4283,20052,4407,11362
ptuj,2016,4088,20019,4493,11438
ptuj,2017,3986,20023,4691,11346
ptuj,2018,3890,20040,4821,11329
ptuj,2019,3802,20130,4879,11449
ptuj,2020,3759,20379,4973,11647
ptuj,2021,3697,20472,5070,11705
ptuj,2022,3686,20357,5116,11555
ptuj,2023,3679,20364,5199,11486
ptuj,2024,3727,20711,5329,11655
puconci,2011,2483,5281,460,2338
puconci,2012,2403,5312,523,2386
puconci,2013,2314,5286,536,2436
puconci,2014,2251,5251,578,2422
puconci,2015,2175,5197,606,2416
puconci,2016,2093,5195,653,2449
puconci,2017,2009,5155,710,2436
puconci,2018,1950,5138,732,2456
puconci,2019,1892,5084,737,2455
puconci,2020,1836,5088,744,2508
puconci,2021,1805,5122,765,2552
puconci,2022,1749,5096,795,2552
puconci,2023,1722,5093,826,2545
puconci,2024,1665,5090,853,2572
radenci,2011,1382,4630,724,2524
radenci,2012,1312,4538,763,2463
radenci,2013,1300,4583,786,2497
radenci,2014,1278,4571,833,2460
radenci,2015,1249,4543,835,2459
radenci,2016,1215,4509,849,2445
radenci,2017,1187,4534,901,2446
radenci,2018,1150,4509,918,2441
radenci,2019,1114,4483,917,2452
radenci,2020,1080,4485,936,2469
radenci,2021,1036,4474,956,2482
radenci,2022,1003,4446,955,2488
radenci,2023,1064,4570,971,2535
radenci,2024,1015,4501,992,2494
radeče,2011,1223,3868,507,2138
radeče,2012,1171,3871,557,2143
radeče,2013,1141,3823,542,2140
radeče,2014,1094,3752,579,2079
radeče,2015,1071,3720,600,2049
radeče,2016,1038,3716,618,2060
radeče,2017,1005,3683,658,2020
radeče,2018,975,3642,668,1999
radeče,2019,895,3598,692,2011
radeče,2020,881,3571,708,1982
radeče,2021,854,3578,730,1994
radeče,2022,813,3546,766,1967
radeče,2023,783,3533,764,1986
radeče,2024,751,3560,803,2006
radlje ob dravi,2011,1656,5360,632,3072
radlje ob dravi,2012,1577,5397,685,3135
radlje ob dravi,2013,1545,5366,698,3123
radlje ob dravi,2014,1496,5318,754,3068
radlje ob dravi,2015,1457,5312,770,3085
radlje ob dravi,2016,1428,5272,799,3045
radlje ob dravi,2017,1361,5240,834,3045
radlje ob dravi,2018,1332,5244,865,3047
radlje ob dravi,2019,1331,5269,862,3076
radlje ob dravi,2020,1296,5253,874,3083
radlje ob dravi,2021,1271,5269,911,3087
radlje ob dravi,2022,1270,5281,939,3072
radlje ob dravi,2023,1217,5252,964,3071
radlje ob dravi,2024,1235,5315,975,3105
radovljica,2011,3995,16197,3234,8968
radovljica,2012,3857,16191,3441,8893
radovljica,2013,3754,16121,3514,8853
radovljica,2014,3667,16056,3721,8668
radovljica,2015,3564,16045,3888,8593
radovljica,2016,3462,16001,3973,8566
radovljica,2017,3393,15994,4126,8475
radovljica,2018,3317,16046,4248,8481
radovljica,2019,3198,16127,4379,8550
radovljica,2020,3158,16188,4463,8567
radovljica,2021,3102,16291,4632,8557
radovljica,2022,3094,16414,4771,8549
radovljica,2023,3098,16438,4782,8558
radovljica,2024,3061,16550,4877,8612
ravne na koroškem,2011,2672,10016,1642,5702
ravne na koroškem,2012,2612,9975,1741,5622
ravne na koroškem,2013,2568,9943,1786,5589
ravne na koroškem,2014,2528,9843,1837,5478
ravne na koroškem,2015,2461,9820,1913,5446
ravne na koroškem,2016,2379,9820,1961,5480
ravne na koroškem,2017,2285,9762,2030,5447
ravne na koroškem,2018,2214,9723,2066,5443
ravne na koroškem,2019,2144,9742,2121,5477
ravne na koroškem,2020,2105,9788,2159,5524
ravne na koroškem,2021,2053,9714,2163,5498
ravne na koroškem,2022,1996,9627,2195,5436
ravne na koroškem,2023,1976,9617,2230,5411
ravne na koroškem,2024,1975,9620,2263,5382
razkrižje,2011,466,1155,129,560
razkrižje,2012,444,1152,140,568
razkrižje,2013,421,1144,146,577
razkrižje,2014,398,1110,151,561
razkrižje,2015,379,1106,154,573
razkrižje,2016,371,1089,166,552
razkrižje,2017,364,1100,180,556
razkrižje,2018,350,1085,172,563
razkrižje,2019,341,1078,174,563
razkrižje,2020,334,1087,183,570
razkrižje,2021,325,1075,189,561
razkrižje,2022,308,1056,181,567
razkrižje,2023,289,1045,187,569
razkrižje,2024,292,1050,183,575
rače - fram,2011,1505,5878,992,3381
rače - fram,2012,1460,5928,1112,3356
rače - fram,2013,1416,5994,1190,3388
rače - fram,2014,1374,5997,1277,3346
rače - fram,2015,1326,5995,1333,3336
rače - fram,2016,1288,6032,1356,3388
rače - fram,2017,1261,6050,1420,3369
rače - fram,2018,1225,6116,1482,3409
rače - fram,2019,1186,6231,1551,3494
rače - fram,2020,1186,6335,1628,3521
rače - fram,2021,1178,6415,1719,3518
rače - fram,2022,1156,6488,1811,3521
rače - fram,2023,1118,6633,1904,3611
rače - fram,2024,1121,6715,1959,3635
renče - vogrsko,2011,1168,3776,578,2030
renče - vogrsko,2012,1131,3753,618,2004
renče - vogrsko,2013,1113,3750,640,1997
renče - vogrsko,2014,1082,3752,702,1968
renče - vogrsko,2015,1043,3704,720,1941
renče - vogrsko,2016,1037,3711,742,1932
renče - vogrsko,2017,1035,3741,769,1937
renče - vogrsko,2018,1008,3693,789,1896
renče - vogrsko,2019,976,3731,820,1935
renče - vogrsko,2020,949,3743,844,1950
renče - vogrsko,2021,928,3741,853,1960
renče - vogrsko,2022,912,3730,861,1957
renče - vogrsko,2023,920,3760,882,1958
renče - vogrsko,2024,947,3810,903,1960
ribnica,2011,2444,7960,1201,4315
ribnica,2012,2300,7934,1312,4322
ribnica,2013,2231,7906,1346,4329
ribnica,2014,2195,7908,1430,4283
ribnica,2015,2079,7860,1490,4291
ribnica,2016,1996,7849,1567,4286
ribnica,2017,1940,7904,1659,4305
ribnica,2018,1877,7845,1681,4287
ribnica,2019,1835,7900,1732,4333
ribnica,2020,1806,7897,1750,4341
ribnica,2021,1765,7956,1792,4399
ribnica,2022,1760,7994,1851,4383
ribnica,2023,1768,8064,1904,4392
ribnica,2024,1751,8098,1955,4392
ribnica na pohorju,2011,404,1054,103,547
ribnica na pohorju,2012,371,1024,107,546
ribnica na pohorju,2013,363,1030,123,544
ribnica na pohorju,2014,338,1011,121,552
ribnica na pohorju,2015,321,999,130,548
ribnica na pohorju,2016,311,1007,139,557
ribnica na pohorju,2017,299,1000,146,555
ribnica na pohorju,2018,291,979,138,550
ribnica na pohorju,2019,278,969,139,552
ribnica na pohorju,2020,263,961,141,557
ribnica na pohorju,2021,253,974,150,571
ribnica na pohorju,2022,246,969,156,567
ribnica na pohorju,2023,233,940,151,556
ribnica na pohorju,2024,228,940,156,556
rogatec,2011,995,2658,234,1429
rogatec,2012,969,2663,262,1432
rogatec,2013,935,2652,272,1445
rogatec,2014,922,2654,288,1444
rogatec,2015,894,2643,303,1446
rogatec,2016,872,2650,312,1466
rogatec,2017,840,2627,339,1448
rogatec,2018,798,2613,355,1460
rogatec,2019,764,2628,368,1496
rogatec,2020,756,2664,389,1519
rogatec,2021,751,2687,373,1563
rogatec,2022,716,2618,371,1531
rogatec,2023,701,2620,378,1541
rogatec,2024,702,2640,395,1543
rogaška slatina,2011,2865,9297,1135,5297
rogaška slatina,2012,2753,9330,1255,5322
rogaška slatina,2013,2691,9399,1300,5408
rogaška slatina,2014,2643,9325,1341,5341
rogaška slatina,2015,2596,9370,1404,5370
rogaška slatina,2016,2543,9323,1478,5302
rogaška slatina,2017,2471,9365,1561,5333
rogaška slatina,2018,2402,9379,1581,5396
rogaška slatina,2019,2321,9440,1633,5486
rogaška slatina,2020,2318,9538,1651,5569
rogaška slatina,2021,2323,9712,1733,5656
rogaška slatina,2022,2281,9843,1806,5756
rogaška slatina,2023,2310,10007,1872,5825
rogaška slatina,2024,2332,10038,1888,5818
rogašovci,2011,1376,2777,191,1210
rogašovci,2012,1326,2766,208,1232
rogašovci,2013,1296,2744,212,1236
rogašovci,2014,1266,2732,232,1234
rogašovci,2015,1220,2702,246,1236
rogašovci,2016,1208,2685,258,1219
rogašovci,2017,1172,2656,274,1210
rogašovci,2018,1136,2641,284,1221
rogašovci,2019,1104,2616,285,1227
rogašovci,2020,1069,2598,292,1237
rogašovci,2021,1089,2699,319,1291
rogašovci,2022,1059,2691,329,1303
rogašovci,2023,1017,2655,329,1309
rogašovci,2024,994,2633,336,1303
ruše,2011,1762,6348,986,3600
ruše,2012,1719,6295,1033,3543
ruše,2013,1679,6251,1045,3527
ruše,2014,1658,6249,1124,3467
ruše,2015,1604,6210,1142,3464
ruše,2016,1543,6204,1178,3483
ruše,2017,1457,6143,1211,3475
ruše,2018,1409,6117,1238,3470
ruše,2019,1368,6127,1282,3477
ruše,2020,1342,6098,1300,3456
ruše,2021,1330,6151,1355,3466
ruše,2022,1268,6174,1410,3496
ruše,2023,1267,6231,1428,3536
ruše,2024,1240,6260,1436,3584
selnica ob dravi,2011,1190,3940,544,2206
selnica ob dravi,2012,1149,3960,589,2222
selnica ob dravi,2013,1112,3945,615,2218
selnica ob dravi,2014,1086,3904,650,2168
selnica ob dravi,2015,1044,3928,686,2198
selnica ob dravi,2016,1004,3926,718,2204
selnica ob dravi,2017,971,3891,749,2171
selnica ob dravi,2018,940,3882,765,2177
selnica ob dravi,2019,886,3889,795,2208
selnica ob dravi,2020,876,3902,813,2213
selnica ob dravi,2021,852,3957,806,2299
selnica ob dravi,2022,826,3904,835,2243
selnica ob dravi,2023,787,3861,853,2221
selnica ob dravi,2024,767,3877,872,2238
semič,2011,1332,3307,366,1609
semič,2012,1305,3311,392,1614
semič,2013,1255,3278,401,1622
semič,2014,1212,3252,440,1600
semič,2015,1221,3248,453,1574
semič,2016,1152,3225,478,1595
semič,2017,1139,3225,508,1578
semič,2018,1101,3201,507,1593
semič,2019,1087,3221,517,1617
semič,2020,1087,3267,540,1640
semič,2021,1048,3299,555,1696
semič,2022,997,3279,585,1697
semič,2023,968,3237,580,1689
semič,2024,967,3250,598,1685
sevnica,2011,5160,15183,1792,8231
sevnica,2012,4997,15185,1962,8226
sevnica,2013,4828,15089,2029,8232
sevnica,2014,4736,15040,2157,8147
sevnica,2015,4603,15068,2261,8204
sevnica,2016,4466,15087,2314,8307
sevnica,2017,4293,15062,2474,8295
sevnica,2018,4147,14995,2517,8331
sevnica,2019,4029,15085,2577,8479
sevnica,2020,3943,15170,2658,8569
sevnica,2021,3810,15105,2726,8569
sevnica,2022,3781,15119,2803,8535
sevnica,2023,3671,15097,2858,8568
sevnica,2024,3579,15065,2918,8568
sežana,2011,3178,11251,2017,6056
sežana,2012,3137,11377,2165,6075
sežana,2013,3054,11298,2199,6045
sežana,2014,3016,11327,2314,5997
sežana,2015,2949,11299,2395,5955
sežana,2016,2880,11329,2476,5973
sežana,2017,2813,11379,2570,5996
sežana,2018,2710,11397,2625,6062
sežana,2019,2653,11522,2662,6207
sežana,2020,2648,11618,2690,6280
sežana,2021,2657,11797,2816,6324
sežana,2022,2689,11829,2856,6284
sežana,2023,2694,11841,2900,6247
sežana,2024,2724,11910,2950,6236
slovenia,2011,513079,1759336,307669,938588
slovenia,2012,494454,1761347,331398,935495
slovenia,2013,480901,1760726,341912,937913
slovenia,2014,470104,1760032,361637,928291
slovenia,2015,457188,1758564,374941,926435
slovenia,2016,443608,1757798,388358,925832
slovenia,2017,431161,1757301,406997,919143
slovenia,2018,419278,1756203,416264,920661
slovenia,2019,406998,1767202,427333,932871
slovenia,2020,403570,1780059,435889,940600
slovenia,2021,398391,1791246,447151,945704
slovenia,2022,391268,1789242,456250,941724
slovenia,2023,390452,1799441,465388,943601
slovenia,2024,390804,1811104,475069,945231
slovenj gradec,2011,4133,14294,2412,7749
slovenj gradec,2012,4021,14312,2634,7657
slovenj gradec,2013,3921,14274,2700,7653
slovenj gradec,2014,3863,14278,2857,7558
slovenj gradec,2015,3722,14214,2947,7545
slovenj gradec,2016,3637,14177,3037,7503
slovenj gradec,2017,3511,14095,3171,7413
slovenj gradec,2018,3376,13998,3211,7411
slovenj gradec,2019,3238,14020,3286,7496
slovenj gradec,2020,3203,14061,3359,7499
slovenj gradec,2021,3144,14041,3414,7483
slovenj gradec,2022,3142,14124,3511,7471
slovenj gradec,2023,3124,14325,3653,7548
slovenj gradec,2024,3150,14465,3732,7583
slovenska bistrica,2011,5826,21149,3355,11968
slovenska bistrica,2012,5713,21380,3721,11946
slovenska bistrica,2013,5499,21331,3863,11969
slovenska bistrica,2014,5392,21285,4068,11825
slovenska bistrica,2015,5300,21398,4184,11914
slovenska bistrica,2016,5094,21415,4389,11932
slovenska bistrica,2017,4980,21438,4594,11864
slovenska bistrica,2018,4875,21463,4693,11895
slovenska bistrica,2019,4717,21539,4832,11990
slovenska bistrica,2020,4682,21770,4897,12191
slovenska bistrica,2021,4591,21877,5083,12203
slovenska bistrica,2022,4496,21943,5247,12200
slovenska bistrica,2023,4489,22123,5369,12265
slovenska bistrica,2024,4422,22100,5470,12208
slovenske konjice,2011,3671,12149,1713,6765
slovenske konjice,2012,3498,12190,1900,6792
slovenske konjice,2013,3373,12166,1953,6840
slovenske konjice,2014,3331,12175,2080,6764
slovenske konjice,2015,3260,12292,2153,6879
slovenske konjice,2016,3133,12305,2249,6923
slovenske konjice,2017,3020,12377,2382,6975
slovenske konjice,2018,2965,12450,2463,7022
slovenske konjice,2019,2907,12535,2528,7100
slovenske konjice,2020,2912,12643,2583,7148
slovenske konjice,2021,2922,12834,2671,7241
slovenske konjice,2022,2883,12790,2766,7141
slovenske konjice,2023,2882,12899,2839,7178
slovenske konjice,2024,2919,13055,2907,7229
sodražica,2011,629,1838,286,923
sodražica,2012,611,1837,305,921
sodražica,2013,592,1845,320,933
sodražica,2014,588,1834,335,911
sodražica,2015,568,1826,356,902
sodražica,2016,547,1810,359,904
sodražica,2017,532,1806,391,883
sodražica,2018,518,1776,400,858
sodražica,2019,490,1771,409,872
sodražica,2020,488,1777,412,877
sodražica,2021,482,1824,430,912
sodražica,2022,468,1831,441,922
sodražica,2023,470,1847,447,930
sodražica,2024,469,1881,456,956
solčava,2011,162,444,51,231
solčava,2012,148,442,59,235
solčava,2013,148,440,62,230
solčava,2014,143,440,70,227
solčava,2015,129,431,74,228
solčava,2016,132,435,73,230
solčava,2017,126,441,74,241
solčava,2018,125,433,75,233
solčava,2019,116,430,80,234
