obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
divača,2022,15568.05,11843.12,717.59,2674.46,332.88
divača,2023,17172.74,13321.54,699.9,2784.27,367.03
dobje,2014,8958.38,6728.72,618.15,1441.22,170.29
dobje,2015,9070.18,6833.49,636.2,1520.94,79.55
dobje,2016,9506.56,7208.91,653.11,1528.36,116.17
dobje,2017,10229.09,8059.26,587.79,1526.06,55.99
dobje,2018,10991.03,8773.37,z,1516.1,z
dobje,2019,11782.77,9386.42,721.24,z,z
dobje,2020,12221.74,9609.98,747.44,1829.38,34.95
dobje,2021,13251.75,10475.83,736.06,1986.76,53.09
dobje,2022,14387.24,11258.43,z,2051.35,z
dobje,2023,15595.83,12363.26,935.6,2114.66,182.3
dobrepolje,2014,10327.91,7553.8,623.6,1922.93,227.59
dobrepolje,2015,10693.2,7803.71,631.38,1951.47,306.63
dobrepolje,2016,11050.15,8206.33,639.85,1987.35,216.62
dobrepolje,2017,11545.31,8481.29,714.28,z,z
dobrepolje,2018,12130.7,9084.76,706.95,2107.22,231.77
dobrepolje,2019,12694.72,9562.84,743.72,2186.82,201.33
dobrepolje,2020,13397.5,9998.78,779.35,2408.04,211.34
dobrepolje,2021,14295.93,10756.96,785.01,2551.77,202.18
dobrepolje,2022,15371.6,11456.27,830.26,2759.87,325.2
dobrepolje,2023,17258.41,12787.81,895.15,2964.32,611.13
dobrna,2014,9791.95,7107.22,700.7,1836,148.03
dobrna,2015,9859.05,7237.21,725.9,1806.15,89.8
dobrna,2016,10111.73,7341.81,793.17,1829.69,147.06
dobrna,2017,10840.49,7965.92,859.28,1939.4,75.9
dobrna,2018,11412.53,8533.04,820.22,1997.99,61.28
dobrna,2019,12091.96,8892.06,z,2075.06,z
dobrna,2020,12632.41,9233.97,1060.79,2263.73,73.92
dobrna,2021,13672.27,10168.05,z,2351.17,z
dobrna,2022,14843.03,10932.36,z,2607.43,z
dobrna,2023,16393.63,12250.76,1138.91,2797.39,206.57
dobrova - polhov gradec,2014,11128.34,8306,540.74,1806.45,475.15
dobrova - polhov gradec,2015,11328.01,8431.5,522.74,1829.46,544.3
dobrova - polhov gradec,2016,11596.48,8841.8,516.05,1845.45,393.19
dobrova - polhov gradec,2017,12115.22,9306.59,530.19,1862.06,416.38
dobrova - polhov gradec,2018,12671.99,9738.26,564.22,1932.96,436.54
dobrova - polhov gradec,2019,13659.13,10411.53,582.69,1973.37,691.54
dobrova - polhov gradec,2020,13898.32,10704.82,602.88,2136.15,454.46
dobrova - polhov gradec,2021,14984.3,11678.72,639.5,2260.17,405.91
dobrova - polhov gradec,2022,16597.63,12727.95,661.83,2418.96,788.89
dobrova - polhov gradec,2023,18336.47,14221.24,753.01,2544.89,817.33
dobrovnik/dobronak,2014,8596.04,6142.71,617.42,1646.03,189.87
dobrovnik/dobronak,2015,8562.97,5997.55,701.28,1734.18,129.96
dobrovnik/dobronak,2016,9211.25,6497.96,752.03,1837.66,123.6
dobrovnik/dobronak,2017,9212.45,6380.99,z,1895.12,z
dobrovnik/dobronak,2018,10037.83,7018.1,z,2009.36,z
dobrovnik/dobronak,2019,10869.2,7762.86,z,2026.82,z
dobrovnik/dobronak,2020,11336.57,8045.56,989.5,2205.73,95.79
dobrovnik/dobronak,2021,12102.32,8556.11,z,2460.02,z
dobrovnik/dobronak,2022,13269.5,9372.93,z,2755.6,z
dobrovnik/dobronak,2023,14483.14,10628.03,896.19,2837.93,120.99
dol pri ljubljani,2014,11923.41,8977.66,569.08,1910.93,465.73
dol pri ljubljani,2015,12016.68,9127.7,591.65,1905.13,392.2
