obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
majšperk,2017,10568.79,7919.68,z,1792.67,z
majšperk,2018,11945.22,9321.67,608.78,1876.79,137.99
majšperk,2019,12323.48,9260.92,647.08,z,z
majšperk,2020,12410.15,9433.85,756.75,2124.05,95.5
majšperk,2021,13378.48,10097.02,z,2267.09,z
majšperk,2022,14519.14,11120.7,796.99,2468.25,133.21
majšperk,2023,16054.25,12433.13,787.77,2640.92,192.43
makole,2014,9035.42,6686.53,583.67,1622.37,142.85
makole,2015,9475.61,7114.2,z,1636.13,z
makole,2016,9809.61,7315.79,613.86,1699.3,180.66
makole,2017,10236.63,7807.26,619.38,1701.53,108.46
makole,2018,10938.67,8222.19,659.86,z,z
makole,2019,11465.06,8737.73,711.94,1909.14,106.26
makole,2020,12004.57,8994.06,812.17,2118.99,79.34
makole,2021,13089.94,9929.01,772.02,2282.82,106.09
makole,2022,14377.61,11000.99,802.82,2466.63,107.16
makole,2023,16101.59,12538.93,750.71,2622.91,189.04
maribor,2014,10256.8,6905.46,664.6,2323.56,363.18
maribor,2015,10322.72,7025.79,659.14,2316.09,321.71
maribor,2016,10718.55,7255.02,669.33,2377.05,417.15
maribor,2017,11010.78,7614.81,667.29,2399.85,328.83
maribor,2018,11596.52,8089,698.72,2435.94,372.85
maribor,2019,12323.85,8560.48,751.54,2502.46,509.37
maribor,2020,12816.47,9095.15,806.29,2603.32,311.71
maribor,2021,13888.43,9985.64,789.67,2728.2,384.92
maribor,2022,15139.86,10741.67,838.52,2937.74,621.94
maribor,2023,16509.3,12025.76,868.31,3060.18,555.05
markovci,2014,9384.61,7127.95,532.85,1365.18,358.64
markovci,2015,9604.27,7387.09,z,1373.23,z
markovci,2016,10151.53,7874.18,558.83,1461.44,257.07
markovci,2017,10602.7,8270.61,586.91,1515.07,230.1
markovci,2018,11349.97,8952.57,593.89,1606.59,196.92
markovci,2019,12570.65,9694.71,617.99,z,z
markovci,2020,12524.92,9797.49,683.49,z,z
markovci,2021,13681.36,10944.75,658.52,1970.43,107.67
markovci,2022,14977.43,11855.08,708.96,2141.81,271.59
markovci,2023,16462.86,13211,693.52,2280.1,278.25
medvode,2014,12232.54,8720.47,528.81,2331.54,651.73
medvode,2015,12347.6,8868.59,526.88,2338.76,613.37
medvode,2016,12721.38,9289.25,517.45,2327.54,587.14
medvode,2017,13198.31,9732.88,531.91,2369.39,564.13
medvode,2018,13960.46,10267.11,574.49,2419.09,699.77
medvode,2019,14860.97,10940.29,611.5,2485.64,823.54
medvode,2020,15085.39,11181.75,681.03,2642.12,580.48
medvode,2021,16249.51,12179.7,685.51,2772.82,611.48
medvode,2022,17857.29,13308.82,709.12,2979.87,859.48
medvode,2023,19654.87,14818.35,787.71,3140.43,908.38
mengeš,2014,11819.17,8518.5,634.67,2119.16,546.84
mengeš,2015,11916.63,8621.3,653.58,2118.3,523.45
mengeš,2016,12396.69,9050.05,598.89,2134.62,613.13
mengeš,2017,12782.2,9447.74,582.69,2138.65,613.12
mengeš,2018,13846.11,9986.98,z,2188.49,z
mengeš,2019,14549.69,10801.26,708.63,2240.35,799.45
mengeš,2020,14959.42,11051.65,z,2378.05,z
mengeš,2021,15892.46,12015.51,755.38,2502.32,619.25
mengeš,2022,17171.83,12949.98,782.83,2700.65,738.37
mengeš,2023,19771.95,14598.06,1465.51,2854.92,853.46
metlika,2014,9277.47,6355.67,691.01,1877.77,353.01
metlika,2015,9475.67,6616.56,699.81,1911.87,247.43
metlika,2016,9953.3,7004.71,687.36,1963.57,297.66
metlika,2017,10375.58,7476.36,688.58,2013.23,197.4
metlika,2018,11047.88,8056.37,707.54,2094.3,189.67
metlika,2019,11854.65,8720.47,736.91,2153.89,243.38
metlika,2020,12351.42,8920.39,837.45,2357.9,235.68
metlika,2021,13338.85,9605.77,877.21,2537.73,318.15
metlika,2022,14854.48,10496.8,z,2746.97,z
metlika,2023,15844.07,11565.16,923.13,2893.85,461.94
mežica,2014,11669.18,7929.93,464.32,2420.23,854.7
mežica,2015,15486.78,8494.1,z,2434.77,z
mežica,2016,13406.98,8951.11,z,2508.84,z
mežica,2017,13520.79,8814.68,z,2541.3,z
mežica,2018,14535.05,9199.56,z,2596.37,z
mežica,2019,15960.7,9532.66,488.03,z,z
mežica,2020,13439.59,9696.94,z,2839.77,z
mežica,2021,16830.2,10604.48,z,3000.8,z
mežica,2022,17377.63,11556.71,z,3222.33,z
mežica,2023,17511.81,12448.03,z,3430.77,z
miklavž na dravskem polju,2014,10300.84,7427.48,552.61,2008.55,312.2
miklavž na dravskem polju,2015,10770.2,7633.03,z,2020.76,z
miklavž na dravskem polju,2016,10973.96,8055.26,524.41,2099.25,295.04
miklavž na dravskem polju,2017,11137.28,8297.77,522.17,2132.57,184.77
miklavž na dravskem polju,2018,11982.43,8771.76,z,2148.08,z
miklavž na dravskem polju,2019,12479.75,9477.18,580.94,2179.49,242.14
miklavž na dravskem polju,2020,13185.76,10044.76,635.31,2341.91,163.78
miklavž na dravskem polju,2021,14224.74,10939.03,607.49,2447.69,230.52
miklavž na dravskem polju,2022,15358.72,11705.6,628.14,2647.52,377.45
miklavž na dravskem polju,2023,16860.58,13008.47,661.57,2761.76,428.79
miren - kostanjevica,2014,10748.66,7560.39,516.81,2241.76,429.71
miren - kostanjevica,2015,10766.08,7724.2,462.39,2252.43,327.06
miren - kostanjevica,2016,11322.67,8059.09,457.3,2272.15,534.13
miren - kostanjevica,2017,11616.79,8445.52,455.1,2326.3,389.87
miren - kostanjevica,2018,12258.15,9055.38,447.82,2372.98,381.96
miren - kostanjevica,2019,13150.27,9545.87,z,2446.24,z
miren - kostanjevica,2020,12975.11,9556.9,530.84,2604.98,282.39
miren - kostanjevica,2021,13894.12,10297.57,578.9,2747.13,270.52
miren - kostanjevica,2022,15272.48,11340.55,583.95,2950.56,397.43
miren - kostanjevica,2023,17187.81,12899.27,635.35,3102.52,550.68
mirna,2014,10824.29,7924.45,z,2008.38,z
mirna,2015,11413.2,8536.15,583,2020.78,273.26
mirna,2016,11757.79,8890.45,573.26,2029.4,264.69
mirna,2017,12291.78,9301.12,z,2062.5,z
mirna,2018,13309.56,10016.15,z,2079.44,z
mirna,2019,14353.11,10484.01,z,2108.39,z
mirna,2020,18322.15,10952.89,z,2287.42,z
mirna,2021,16139.03,12168.2,z,2375.66,z
mirna,2022,16849.22,12630.82,z,2591.2,z
mirna,2023,18413.22,14152.06,z,2781.6,z
mirna peč,2014,10795.96,8391.2,547.43,1520.11,337.23
mirna peč,2015,11123.54,8818.99,534.15,1544.89,225.52
mirna peč,2016,11625.56,9216.41,516.17,1611.67,281.31
mirna peč,2017,12127.61,9581.43,580.54,1684.69,280.95
mirna peč,2018,12813.76,10211.68,574.8,1778.41,248.87
mirna peč,2019,13601.98,10742.48,592.36,1898.68,368.46
mirna peč,2020,14057.99,10959.54,664.38,2142.86,291.21
mirna peč,2021,14941.6,11595.92,696.54,2325.73,323.41
mirna peč,2022,16422.7,12682.96,755.7,2457.02,527.02
mirna peč,2023,17692.82,13809.76,746.08,2579.05,557.92
mislinja,2014,10701.17,7664.61,z,2040.46,z
mislinja,2015,10815.73,7837.47,z,2051.56,z
mislinja,2016,11284.9,8218.86,z,2096.85,z
mislinja,2017,11735.54,8628.47,z,2163.53,z
mislinja,2018,12399.82,9219.85,z,2249.99,z
mislinja,2019,12882.47,9533.19,z,2328.1,z
mislinja,2020,13472.69,9891.95,z,2537.6,z
mislinja,2021,14517.85,10848.06,z,2669.53,z
mislinja,2022,15576.2,11363.79,z,2913.84,z
mislinja,2023,16944,12633.13,736.24,3087.43,487.21
mokronog - trebelno,2014,10174.52,7719.02,537.76,1608.56,309.19
mokronog - trebelno,2015,10477.92,8181.25,503.34,1604.6,188.74
mokronog - trebelno,2016,10949.61,8559.19,532.51,1615.01,242.9
mokronog - trebelno,2017,11265.97,8902.7,563.18,1624.57,175.53
mokronog - trebelno,2018,12242.99,9538.58,z,1698.14,z
mokronog - trebelno,2019,12806.76,10118.55,690.41,1777.97,219.83
mokronog - trebelno,2020,13354.93,10344.98,784.58,2022.82,202.55
mokronog - trebelno,2021,14299.83,11013.06,783.52,2188.67,314.57
mokronog - trebelno,2022,15360.04,11906.05,817.66,2294.89,341.45
mokronog - trebelno,2023,17301.46,13512.61,783.83,2467.75,537.26
moravske toplice,2014,9246.96,6586.44,590.56,1855.21,214.76
moravske toplice,2015,9266.28,6562.33,638.2,1877.76,187.99
moravske toplice,2016,9799.28,7032.92,605.61,1945.28,215.47
moravske toplice,2017,10033.69,7239.64,607.07,2015.84,171.14
moravske toplice,2018,10529.09,7569.86,665.55,2112.97,180.71
moravske toplice,2019,11182.4,8121.35,688.42,2203.32,169.32
moravske toplice,2020,11939.66,8550.09,762.5,2492.78,134.3
moravske toplice,2021,12785.76,9223.66,z,2629.23,z
moravske toplice,2022,14043.5,10086.58,810.66,2792,354.26
moravske toplice,2023,15244.79,11152.13,784.65,2971.07,336.94
moravče,2014,10597.89,8159.97,552.59,1595.95,289.38
moravče,2015,10702.41,8346.69,572.48,1587.86,195.37
moravče,2016,11191.41,8784.13,580.63,1624.46,202.2
moravče,2017,11615.39,9132.5,587.13,1664.07,231.69
moravče,2018,12212.46,9678.13,620.39,1713.52,200.43
moravče,2019,13045.3,10248.38,z,1772.04,z
moravče,2020,13228.83,10427.49,702.69,1921.28,177.36
moravče,2021,14362.09,11491.73,680.93,2030.1,159.33
moravče,2022,15587.27,12330.14,752.17,2200.52,304.44
moravče,2023,17373.18,13892.91,782.35,2319.49,378.42
mozirje,2014,10340.58,7498.71,614.19,1985.68,242
mozirje,2015,10458.33,7638.58,634.17,1995.99,189.59
mozirje,2016,11007.71,8127.93,635.84,2039.13,204.82
mozirje,2017,11496.99,8598.67,603.03,2088.23,207.07
mozirje,2018,12136.65,9099.17,645.49,2190.81,201.18
mozirje,2019,13622.69,9575.13,z,2292.68,z
mozirje,2020,13322.53,9872.44,789.28,2463.38,197.43
mozirje,2021,14304.78,10673.38,784.03,2548.09,299.27
mozirje,2022,15749.77,11619.91,z,2733.51,z
mozirje,2023,17852.53,12725.55,1713.27,2916.84,496.87
murska sobota,2014,10513.32,6972.82,683.45,2502.48,354.57
murska sobota,2015,10603.23,7047.33,717.99,2513.53,324.38
murska sobota,2016,10986.47,7361.77,709.18,2578.54,336.98
murska sobota,2017,11096.38,7438.85,719.1,2643.42,295.02
murska sobota,2018,11700.66,7850.41,767.01,2732.47,350.78
murska sobota,2019,12383.73,8356.91,826.38,2833.78,366.65
murska sobota,2020,13089.39,8697.77,886.23,3076.5,428.89
murska sobota,2021,14136.81,9415.89,z,3243.96,z
murska sobota,2022,15015.18,10125.39,948.47,3482.71,458.6
murska sobota,2023,16628.51,11352.83,977.07,3681.94,616.68
muta,2014,10016.82,7406.59,584.19,1858.01,168.01
muta,2015,10432.35,7812.25,544.71,1910.98,164.41
muta,2016,10855.7,8169.95,579.93,1926.65,179.16
muta,2017,11106.73,8318.76,609.56,1961.96,216.45
muta,2018,11719.71,8894.92,584.46,2040.91,199.43
muta,2019,11991.88,8845.52,608.84,2140.39,397.13
muta,2020,12766.68,9625.78,671.02,2303.42,166.47
muta,2021,14046.81,10773.57,667.29,2441.21,164.74
muta,2022,15064.65,11428.63,714.68,2644.87,276.47
muta,2023,16426.12,12517.04,763.75,2797.56,347.77
naklo,2014,11227.5,7964.22,530.59,2162.54,570.15
naklo,2015,11605.39,8171.37,z,2196.36,z
naklo,2016,12101.25,8599.7,z,2190.92,z
naklo,2017,12826.38,9132.31,z,2217.11,z
naklo,2018,13369.25,9748.53,z,2291.74,z
naklo,2019,14396.59,10318.12,z,2369.47,z
naklo,2020,14287.87,10370.27,z,2526.66,z
naklo,2021,15487.94,11405.77,z,2680.61,z
naklo,2022,16644.18,12284.66,672.4,2856.18,830.95
naklo,2023,18562.91,13884.49,747.01,3016.95,914.47
nazarje,2014,9744.38,7057.34,665.2,1795.95,225.89
nazarje,2015,9868,7261.33,665.45,1768.38,172.84
nazarje,2016,10074.81,7446.82,657.92,1833.12,136.95
nazarje,2017,10513.61,7901.04,621.97,1822.9,167.7
nazarje,2018,10981.67,8232,695.79,1907.18,146.7
nazarje,2019,11730.24,8773.35,z,1977.24,z
nazarje,2020,12390.54,9355.6,z,2102.64,z
nazarje,2021,13658.29,10521.11,z,2177.69,z
nazarje,2022,14868.67,11227.98,z,2360.06,z
nazarje,2023,17336.41,12666.02,1749.76,2459.96,460.67
nova gorica,2014,10903.49,7413.01,491.85,2507.59,491.03
nova gorica,2015,10872.69,7465.04,485.35,2492.34,429.97
nova gorica,2016,11275.85,7853.9,500.77,2517.34,403.84
nova gorica,2017,11649.71,8200.23,509.71,2594.51,345.26
nova gorica,2018,12310.5,8733.12,522.73,2680.31,374.34
nova gorica,2019,13003.06,9196.86,541.73,2763.86,500.6
nova gorica,2020,13082.77,9225.46,595.94,2937.79,323.58
nova gorica,2021,14189.22,10129.47,602.84,3086.29,370.63
nova gorica,2022,15524.52,11006.96,640.09,3330.11,547.37
nova gorica,2023,17142.23,12410.09,627.82,3525.04,579.27
novo mesto,2014,12370.41,9094.83,601.16,2091.52,582.9
novo mesto,2015,12551.6,9243.67,621.44,2097.39,589.1
novo mesto,2016,12885.47,9578.38,626.82,2128.93,551.34
novo mesto,2017,13683.15,10028.86,628.58,2174.91,850.8
novo mesto,2018,14119.21,10732.49,648.04,2220.73,517.95
novo mesto,2019,15090.74,11467.99,713,2266.8,642.96
novo mesto,2020,15403.02,11693.7,750.57,2438.9,519.85
novo mesto,2021,16284.03,12333.88,768.68,2592.62,588.85
novo mesto,2022,17849.79,13265.14,828.55,2817.32,938.78
novo mesto,2023,19623,14776.57,844.43,2997.22,1004.78
odranci,2014,8238.68,6232.33,599.76,1265.81,140.78
odranci,2015,8290.24,6278.06,595.26,1306.62,110.3
odranci,2016,9048.44,6802.72,601.98,1477.51,166.23
odranci,2017,9287.48,7056.09,551.67,1622.57,57.15
odranci,2018,9784.35,7441.83,582.97,1706.81,52.74
odranci,2019,10336.64,7793.43,657.44,1802.21,83.57
odranci,2020,11078.89,8254.43,z,1958.75,z
odranci,2021,12006,9258.74,627.34,2075.65,44.27
odranci,2022,13184.2,10216.93,649.34,2212.63,105.3
odranci,2023,14730.15,11329.21,789.96,2387.17,223.81
oplotnica,2014,9699.85,7397.15,604.31,1546.29,152.1
oplotnica,2015,10080.33,7782.27,573.7,1565.85,158.5
oplotnica,2016,10416.86,8020.78,604.41,1595,196.67
oplotnica,2017,10976.6,8616.7,614.16,1598.73,147.01
oplotnica,2018,11532.93,9064.06,624.06,1669.79,175.02
oplotnica,2019,12031.25,9336.5,723.5,z,z
oplotnica,2020,12317.69,9392.88,815.22,1926.2,183.37
oplotnica,2021,13574.29,10521.7,z,2088.43,z
oplotnica,2022,15109.13,11712.67,779.19,2248.53,368.74
oplotnica,2023,16709.33,13148.24,z,2414.48,z
ormož,2014,9269.8,6774.86,605.47,1689.81,199.67
ormož,2015,9298.71,6827.18,611.72,1721.29,138.52
ormož,2016,9791.59,7228.57,610.25,1776.25,176.52
ormož,2017,10083.31,7459.91,661.82,1841.33,120.25
ormož,2018,10746.03,7947.93,713.7,1970.93,113.48
ormož,2019,11562.93,8622.68,730.4,2053.28,156.56
ormož,2020,12024.49,8836.2,792.56,2265.19,130.54
ormož,2021,13067.01,9687.03,824.5,2440.82,114.67
ormož,2022,14143.94,10439.58,861.24,2643.14,199.98
ormož,2023,15682.81,11810.57,827.26,2795.87,249.11
osilnica,2014,7808.05,4471.59,524.51,2539.68,272.26
osilnica,2015,7587.72,4451.94,z,2541.27,z
osilnica,2016,8236.12,4997.09,z,2631.98,z
osilnica,2017,8284.85,5032.11,z,2719.26,z
osilnica,2018,8875.8,5393.58,z,2864.51,z
osilnica,2019,9274.47,5670.09,477.54,z,z
osilnica,2020,9768.55,5668.96,z,3375.72,z
osilnica,2021,11361.81,6444.19,z,3664.41,z
osilnica,2022,12124.47,7723.31,z,3694.06,z
osilnica,2023,12602.62,7837.87,z,4022.07,z
pesnica,2014,9146.3,6537.66,630.48,1740.83,237.33
pesnica,2015,9458.55,6779.11,z,1799.55,z
pesnica,2016,9691.2,6934.84,629.08,1876.97,250.31
pesnica,2017,9921.48,7136.84,617.52,1918.85,248.26
pesnica,2018,10542.09,7514.01,z,2026.9,z
pesnica,2019,11256.6,8074.1,z,2104.91,z
pesnica,2020,12353.41,9094.26,706.19,2249.91,303.05
pesnica,2021,13504.19,10146.96,711.01,2383.55,262.67
pesnica,2022,14535.77,10868.68,722.34,2601.03,343.72
pesnica,2023,15756.6,11901.64,749.83,2750.81,354.31
piran/pirano,2014,10906.56,7339.36,529.65,2370.83,666.72
piran/pirano,2015,10946.89,7409.26,546.6,2373.24,617.79
piran/pirano,2016,11410.3,7787.11,531.11,2424.91,667.17
piran/pirano,2017,11891.94,8153.68,539.46,2471.93,726.87
piran/pirano,2018,12522.97,8634.57,541.24,2583.03,764.14
piran/pirano,2019,13352.4,9127.01,583.94,2692.84,948.61
piran/pirano,2020,13408.77,9131.03,669.15,2813.08,795.51
piran/pirano,2021,14417.49,9913.99,709.72,2981.98,811.8
piran/pirano,2022,15781.42,10591,684.23,3250.3,1255.89
piran/pirano,2023,17111.57,11797.52,700.97,3445.44,1167.64
pivka,2014,10380.15,7595.87,557.45,2036.17,190.65
pivka,2015,10668.15,7850.28,522.62,2039.63,255.62
pivka,2016,10904.24,8050.83,554.68,2072.75,225.97
pivka,2017,11238.96,8405.63,557.05,2095.41,180.88
pivka,2018,11774.63,8905.78,588.28,2133.72,146.85
pivka,2019,12506.36,9529,599.8,2212.18,165.38
pivka,2020,13015.05,9859.01,649.75,2361.11,145.18
pivka,2021,14085.68,10749.06,653.29,2525.64,157.69
pivka,2022,15499.16,11809.22,680.55,2735.72,273.67
pivka,2023,17186.35,13243.21,660.53,2899.03,383.58
podlehnik,2014,8755.02,6592.54,566.71,1454.82,140.95
podlehnik,2015,9109.53,6916.1,585.3,1498.72,109.41
podlehnik,2016,9548.21,7367.7,567.97,1537.22,75.32
podlehnik,2017,10107.47,7851.81,608.1,1570.21,77.34
podlehnik,2018,10588.99,8177.96,673.79,1695.3,41.95
podlehnik,2019,11122.82,8542.08,707.99,1825.35,47.39
podlehnik,2020,11806.92,8847.84,845.36,2056.27,57.46
podlehnik,2021,12829.03,9744.54,828.86,2207.1,48.53
podlehnik,2022,13860.31,10482.57,814.55,2503.33,59.87
podlehnik,2023,15409.82,11818.43,778.43,2709.86,103.09
podvelka,2014,8587.15,6150.82,576.07,1747.72,112.54
podvelka,2015,8830.56,6380.73,599.18,1776.59,74.05
podvelka,2016,9194.41,6720.4,z,1771.89,z
podvelka,2017,9621.59,7098.67,620.2,1857.52,45.21
podvelka,2018,9979.77,7330.11,642.32,1943.05,64.3
podvelka,2019,11198.4,7317.57,665.69,z,z
podvelka,2020,11076.51,8069.24,760.32,2204,42.95
podvelka,2021,12068.32,8887.75,776.68,2331.72,72.17
podvelka,2022,13321.65,9627.75,z,2522.05,z
podvelka,2023,14422.02,10771.22,z,2709.8,z
podčetrtek,2014,8980.14,6590.72,573.17,1642.4,173.86
podčetrtek,2015,9139.26,6771.46,619.49,1636.63,111.69
podčetrtek,2016,9613.32,7142.15,625.39,1682.65,163.13
podčetrtek,2017,10069.48,7594.02,636.61,1707.37,131.49
podčetrtek,2018,10610.02,8050.93,681.46,1757.45,120.19
podčetrtek,2019,11265.54,8528.49,749.66,1848.96,138.43
podčetrtek,2020,11678.99,8641.84,786.17,2083.28,167.7
podčetrtek,2021,12597.66,9399.14,808.4,2195.26,194.86
podčetrtek,2022,13844.62,10404.04,851.16,2361.45,227.96
podčetrtek,2023,14965.2,11307.88,870.38,2518.63,268.32
poljčane,2014,9497.22,6716.61,668.86,1933.96,177.8
poljčane,2015,9780.34,6957.31,647.01,1985.93,190.09
poljčane,2016,10263.04,7317.22,646.85,2069.24,229.72
poljčane,2017,10587.78,7590.57,615.95,2140.91,240.35
poljčane,2018,11108.07,8004.47,672.16,2247.81,183.63
poljčane,2019,11831.65,8553.07,730.69,2320.62,227.27
poljčane,2020,12172.43,8765.29,829.08,2458.73,119.33
poljčane,2021,13197.14,9606.12,821.18,2641.09,128.75
poljčane,2022,14497.35,10536.18,863.18,2896.66,201.32
poljčane,2023,15972.23,11719.42,878.61,3065.77,308.43
polzela,2014,10684.98,7666.86,653.64,2116.53,247.94
polzela,2015,10881.86,7852.03,644.09,2119.97,265.78
polzela,2016,11210.15,8226.65,642.09,2136.93,204.49
polzela,2017,11758.27,8675.85,684.53,2181.74,216.15
polzela,2018,12500.04,9370.52,666.77,2248.19,214.56
polzela,2019,13392.48,10041.24,723.91,2327.4,299.93
polzela,2020,13884.75,10392.32,786.88,2489.29,216.26
polzela,2021,14919.4,11278.43,785.55,2615.63,239.78
polzela,2022,16278.05,12174.87,839.45,2826.67,437.05
polzela,2023,18610.56,13936.27,1202.13,2957.24,514.92
postojna,2014,11059.78,8164.58,608.99,1995.72,290.49
postojna,2015,11235.76,8411.83,578.94,2006.4,238.59
postojna,2016,11600.8,8696.65,603.29,2017.23,283.64
postojna,2017,11962.4,9096.1,598.82,2047.85,219.64
postojna,2018,12552.04,9620.21,611.25,2109.89,210.68
postojna,2019,13241.32,10200.29,643.5,2154.11,243.42
postojna,2020,13514.56,10281.71,697.06,2306.24,229.55
postojna,2021,14668,11204.01,707.6,2443.66,312.74
postojna,2022,15981.71,12320.06,704.15,2573.17,384.33
postojna,2023,17819.76,14034.45,705.49,2671.81,408.01
prebold,2014,10552.89,7511.57,590.8,2166.54,283.98
prebold,2015,10846.55,7772.76,612.07,2194.18,267.54
prebold,2016,11171.6,8146.27,617.5,2211.38,196.46
prebold,2017,11751.82,8731.52,572.82,2271.3,176.18
prebold,2018,12375.52,9184.63,616.17,2369.32,205.4
prebold,2019,13397.77,9780.02,z,2441.34,z
prebold,2020,13518.47,9973.29,721.12,2586.87,237.18
prebold,2021,14780.06,10969.71,z,2699.52,z
prebold,2022,15902.69,11845.55,744.8,2928.24,384.1
prebold,2023,17961.51,12861.27,z,3136.2,z
preddvor,2014,11578.85,8329.28,504.62,2111.31,633.65
preddvor,2015,11530.68,8584.99,521.69,2093.87,330.13
preddvor,2016,12044.31,9077.95,545.99,2114.28,306.09
preddvor,2017,12495.91,9391.25,606.81,2165.85,332.01
preddvor,2018,12922.06,9844.79,601.38,2196.73,279.15
preddvor,2019,13884.2,10441.85,z,2350.07,z
preddvor,2020,14673.8,10863.5,z,2441.21,z
preddvor,2021,15595.43,11799.09,z,2620.37,z
preddvor,2022,16956.24,12680.6,788.57,2844.11,642.96
preddvor,2023,18591.67,14140.32,765.44,3050.67,635.25
prevalje,2014,10937.83,7718.16,581.45,2267.66,370.56
prevalje,2015,11437.63,8241.11,550.79,2268.47,377.26
prevalje,2016,11956.47,8610.93,556.79,2338.51,450.23
prevalje,2017,12422.06,8905.39,z,2330.88,z
prevalje,2018,12681.11,9100.65,z,2398.85,z
prevalje,2019,12783.94,9159.71,z,2479.42,z
prevalje,2020,13403.33,9925.41,678.56,2637.23,162.14
prevalje,2021,14577.34,10647.5,733.21,2839.06,357.57
prevalje,2022,15794.34,11421.11,810.55,3123.54,439.14
prevalje,2023,17203.69,12453.1,1045.09,3324.92,380.57
ptuj,2014,10561.15,7541.39,556.47,2117.53,345.76
ptuj,2015,10818.42,7803.08,568.68,2119.22,327.44
ptuj,2016,11312.53,8212.76,569.89,2170.17,359.72
ptuj,2017,11770.28,8612.89,595.25,2217.16,344.98
ptuj,2018,12445.18,9149.41,617.85,2277.73,400.19
ptuj,2019,13267.89,9824.49,657.76,2344.16,441.48
ptuj,2020,13433.36,9897.39,730.7,2503.48,301.79
ptuj,2021,14534.91,10805,742.03,2656.3,331.57
ptuj,2022,15710.57,11551.93,758.14,2882.77,517.73
ptuj,2023,17320.66,12950.78,788.66,3024.37,556.86
puconci,2014,8571.64,6100.41,658.11,1648.96,164.16
puconci,2015,8802.62,6294.57,691.24,1687.8,129.02
puconci,2016,9457.34,6803.05,686.74,1812.93,154.61
puconci,2017,9314.36,6674.88,691.32,1844.03,104.13
puconci,2018,10002.79,7166.63,716.88,1958.7,160.57
puconci,2019,10601.85,7590.28,813.11,2071.09,127.37
puconci,2020,11307.56,7943.73,891.16,2317.13,155.54
puconci,2021,12061.66,8623.75,892.63,2459.5,85.79
puconci,2022,13148.61,9461.58,925.41,2599.21,162.42
puconci,2023,14471,10456.76,1008.2,2746.53,259.51
radenci,2014,10333.43,7171.04,581.92,2277.46,303
radenci,2015,10439.27,7233.99,585.9,2357.74,261.64
radenci,2016,10851.26,7429.79,z,2450.48,z
radenci,2017,10713.55,7109.03,z,2529.81,z
radenci,2018,11089.89,7545.64,637.51,2669.8,236.94
radenci,2019,11623.6,7950.58,697.32,2778.64,197.07
radenci,2020,12533.28,8448.99,z,3013.73,z
radenci,2021,13160.73,8916.04,z,3289.2,z
radenci,2022,14039.98,9392.15,787.82,3532.79,327.22
radenci,2023,15558.73,10635.44,805.53,3804.18,313.59
radeče,2014,9875.01,6880.55,593.07,2237.51,163.87
radeče,2015,10247.6,7267.81,561.9,2276.88,141.02
radeče,2016,10933.89,7909.71,535.64,2293.16,195.39
radeče,2017,11225.47,8157.39,591.39,2353.01,123.68
radeče,2018,11909.07,8822.96,575.41,2391.83,118.87
radeče,2019,12604.73,9298.39,604.62,2514.93,186.79
radeče,2020,13097.57,9505.65,682.27,2753,156.65
radeče,2021,14096.79,10426.5,655.67,2886.45,128.17
radeče,2022,15990.48,11959.28,679.25,3128.51,223.45
radeče,2023,16997.25,12759.53,672.42,3331.3,234
radlje ob dravi,2014,9898.04,7192.49,629.82,1866.32,209.41
radlje ob dravi,2015,10191.54,7483,584.71,1910.83,213
radlje ob dravi,2016,10572.65,7761.87,606.22,1952.11,252.46
radlje ob dravi,2017,10709.31,7921.01,616.15,1994.74,177.41
radlje ob dravi,2018,11261.23,8354.96,645.47,2094.8,165.99
radlje ob dravi,2019,11422.4,8339.26,z,2201.45,z
radlje ob dravi,2020,12338.57,9044.85,717.32,2391.69,184.7
radlje ob dravi,2021,13455.47,10041.39,743.28,2531.64,139.16
radlje ob dravi,2022,14797.99,10936.21,z,2752.55,z
radlje ob dravi,2023,16283.07,12238.56,763.59,2906.43,374.51
radovljica,2014,11305.59,8010.88,533.73,2346.29,414.68
radovljica,2015,11549.86,8222.08,537.09,2355.94,434.75
radovljica,2016,11991.49,8628.86,535.5,2391.24,435.89
radovljica,2017,12571.77,9200.2,547.46,2421.76,402.35
radovljica,2018,13421.8,9680.69,549.15,2478.15,713.82
radovljica,2019,14565.34,10276.65,605.48,2559.62,1123.59
radovljica,2020,14180.05,10286.86,697.31,2723.37,472.5
radovljica,2021,15274.88,11197.01,704.54,2861.52,511.81
radovljica,2022,16895.37,12229.06,727.49,3106.68,832.14
radovljica,2023,18296.92,13606.37,766.25,3277.08,647.22
ravne na koroškem,2014,11116.76,7919.83,543.89,2336.74,316.29
ravne na koroškem,2015,11404.09,8282.44,539.23,2339.66,242.75
ravne na koroškem,2016,11894.73,8753.52,532.64,2371.45,237.12
ravne na koroškem,2017,12200.4,8985.46,524,2420.07,270.88
ravne na koroškem,2018,12637.43,9385.95,542.28,2486.59,222.61
ravne na koroškem,2019,13022.47,9603.49,574.97,2542.04,301.97
ravne na koroškem,2020,13632.05,10077.42,655.1,2695.11,204.42
ravne na koroškem,2021,14640.2,11014.95,652.98,2808.72,163.56
ravne na koroškem,2022,15812.93,11782.78,733.58,3080.3,216.26
ravne na koroškem,2023,17216.82,12829.61,785.34,3289.65,312.23
razkrižje,2014,8326.7,6230.15,z,1331.16,z
