regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
savinjska,2020,12883.43,9461.74,779.21,2434.47,208.02,66.6,70.9,61.8,-701,-571,2345,1073,4.2,1680,2296,616,8.9,28,4155,7239,3084,3190,4641,1451,18,25.8,3731,6668,2937,-424,-571,-147,-2.2,1510,2345,835,9.1,1086,1774,688,6.9,95.3,96.7,93.6,80,79.3,80.9,20,20.7,19.1
savinjska,2021,13963.05,10377.36,779.26,2568.46,237.97,68.4,72.8,63.4,-741,-19,565,-195,-0.8,2014,2731,717,10.6,20.8,3007,5387,2380,2218,3296,1078,12.7,20.8,3024,5368,2344,17,-19,-36,-0.1,204,565,361,2.2,221,546,325,2.1,95.4,97.1,93.3,79.5,78.8,80.3,20.5,21.2,19.7
savinjska,2022,15160.3,11202.79,810.65,2781.49,365.37,70.5,75.2,65.3,-626,-155,2240,1459,5.6,1829,2547,718,9.8,24.2,3498,6287,2789,3141,4787,1646,18.5,23.6,3428,6132,2704,-70,-155,-85,-0.6,1312,2240,928,8.6,1242,2085,843,8,95.2,97,92.9,79,78.2,80,21,21.8,20
savinjska,2023,16771.88,12473.26,930.68,2935.21,432.73,71.3,76,66,-409,56,1982,1629,6.2,1992,2762,770,10.6,20.7,3075,5414,2339,3225,4744,1519,18.2,20.9,3065,5470,2405,-10,56,66,0.2,1233,1982,749,7.6,1223,2038,815,7.8,94.7,96.3,92.7,78.6,77.7,79.7,21.4,22.3,20.3
savinjska,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,95.8,93.1,78.3,77.1,79.9,21.7,22.9,20.1
slovenia,1993,,,,,,52.4,58.6,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,1994,,,,,,52.4,58.1,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,1995,,,,,,54.4,61,48.4,12,0,1415,1427,0.7,393,776,383,0.4,2.7,2453,5426,2973,1135,2191,1056,1.1,2.7,2453,5426,2973,0,0,0,0,742,1415,673,0.7,742,1415,673,0.7,,,,,,,,,
slovenia,1996,,,,,,53.4,59.6,47.7,168,0,697,865,0.4,390,803,413,0.4,2.9,2641,5742,3101,768,1500,732,0.8,2.9,2641,5742,3101,0,0,0,0,378,697,319,0.4,378,697,319,0.4,,,,,,,,,
slovenia,1997,,,,,,54.9,61.1,49.1,-763,0,286,-477,-0.2,443,807,364,0.4,2.9,2712,5798,3086,534,1093,559,0.6,2.9,2712,5798,3086,0,0,0,0,91,286,195,0.1,91,286,195,0.1,,,,,,,,,
slovenia,1998,,,,,,55.3,59.6,50.9,-1183,0,-2105,-3288,-1.7,5131,6708,1577,3.4,3,2684,5982,3298,2817,4603,1786,2.3,3,2684,5982,3298,0,0,0,0,-2314,-2105,209,-1.1,-2314,-2105,209,-1.1,,,,,,,,,
slovenia,1999,,,,,,55.8,60.3,51.2,-1352,0,2335,983,0.5,1732,2606,874,1.3,3.1,2782,6080,3298,3683,4941,1258,2.5,3.1,2782,6080,3298,0,0,0,0,1951,2335,384,1.2,1951,2335,384,1.2,,,,,,,,,
slovenia,2000,,,,,,57.4,62.3,52.4,-408,0,2615,2193,1.1,2376,3570,1194,1.8,3,2609,5881,3272,4397,6185,1788,3.1,3,2609,5881,3272,0,0,0,0,2021,2615,594,1.3,2021,2615,594,1.3,,,,,,,,,
slovenia,2001,,,,,,57.7,62.9,52.4,-1031,0,2992,1961,1,3503,4811,1308,2.4,3.2,2908,6364,3456,5321,7803,2482,3.9,3.2,2908,6364,3456,0,0,0,0,1818,2992,1174,1.5,1818,2992,1174,1.5,,,,,,,,,
slovenia,2002,,,,,,56,60.9,50.9,-1200,0,1865,665,0.3,4596,7269,2673,3.6,3.3,3068,6575,3507,6216,9134,2918,4.6,3.3,3068,6575,3507,0,0,0,0,1620,1865,245,0.9,1620,1865,245,0.9,,,,,,,,,
slovenia,2003,,,,,,55.4,60.4,50.2,-2130,0,3412,1282,0.6,3444,5867,2423,2.9,3.2,2786,6298,3512,6229,9279,3050,4.6,3.2,2786,6298,3512,0,0,0,0,2785,3412,627,1.7,2785,3412,627,1.7,,,,,,,,,
slovenia,2004,,,,,,55.7,60.7,50.5,-562,0,1902,1340,0.7,6061,8269,2208,4.1,3.3,2965,6595,3630,7485,10171,2686,5.1,3.3,2965,6595,3630,0,0,0,0,1424,1902,478,1,1424,1902,478,1,,,,,,,,,
slovenia,2005,,,,,,57.8,63.3,52.2,-668,0,6436,5768,2.9,6659,8605,1946,4.3,3.5,3188,7004,3816,11130,15041,3911,7.5,3.5,3188,7004,3816,0,0,0,0,4471,6436,1965,3.2,4471,6436,1965,3.2,,,,,,,,,
slovenia,2006,,,,,,58.5,64.2,52.6,752,0,6267,7019,3.5,10725,13749,3024,6.8,4.2,3923,8499,4576,15750,20016,4266,10,4.2,3923,8499,4576,0,0,0,0,5025,6267,1242,3.1,5025,6267,1242,3.1,,,,,,,,,
slovenia,2007,,,,,,60.5,66.6,54.1,1239,0,14250,15489,7.7,10696,14943,4247,7.4,4.4,4123,8880,4757,23659,29193,5534,14.5,4.4,4123,8880,4757,0,0,0,0,12963,14250,1287,7.1,12963,14250,1287,7.1,,,,,,,,,
