obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Basic or less,Education - TOTAL,Tertiary,Upper secondary,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for women
apače,2021,10394.25,7362.05,733.88,2177.78,120.54,969,3050,385,1696,42.9,48.7,36.5,25.2,28.8,21.2,74.8,71.2,78.8,-11,0,9,-2,-0.6,5,9,4,2.5,68,113,45,31.8,12,18,6,5.1,52,113,61,31.8,-16,0,16,0,7,9,2,2.5,-9,9,18,2.5,45.8,48.5,43
apače,2022,11649.95,8292.9,815.51,2386.6,154.95,945,3053,410,1698,43.7,49.3,37.1,25.7,29.8,20.9,74.3,70.2,79.1,-10,-2,-10,-22,-6.2,14,32,18,9,78,144,66,40.6,7,22,15,6.2,69,142,73,40,-9,-2,7,-0.6,-7,-10,-3,-2.8,-16,-12,4,-3.4,47.2,50.1,44.2
apače,2023,13344.58,9722.56,839.47,2565.04,217.51,924,3048,418,1706,45,50.6,38.7,25.8,29.4,21.7,74.2,70.6,78.3,-9,31,20,42,11.8,5,11,6,3.1,55,112,57,31.5,16,31,15,8.7,89,143,54,40.2,34,31,-3,8.7,11,20,9,5.6,45,51,6,14.3,47.8,50.4,45.1
beltinci,2014,9127.43,6569.05,665.66,1681.22,211.5,2434,7133,966,3733,42.1,45.6,37.9,24,25.1,22.6,76,74.9,77.4,-12,-49,-12,-73,-8.8,13,25,12,3,157,322,165,38.7,7,13,6,1.6,148,273,125,32.8,-9,-49,-40,-5.9,-6,-12,-6,-1.4,-15,-61,-46,-7.3,52.6,56.6,48.4
beltinci,2015,9225.01,6618.63,657.68,1731.08,217.62,2334,7076,1000,3742,42.3,44.3,39.9,23.1,23.8,22.4,76.9,76.2,77.6,-7,30,-23,0,0,19,34,15,4.1,133,267,134,32.3,8,11,3,1.3,139,297,158,35.9,6,30,24,3.6,-11,-23,-12,-2.8,-5,7,12,0.8,52.6,56.2,48.6
beltinci,2016,9652.59,7027.82,651.65,1810.02,163.1,2277,7087,1039,3771,41.1,42.3,39.7,22.3,22.9,21.7,77.7,77.1,78.3,-4,-17,-6,-27,-3.3,17,25,8,3,175,317,142,38.4,13,19,6,2.3,154,300,146,36.3,-21,-17,4,-2.1,-4,-6,-2,-0.7,-25,-23,2,-2.8,53.1,55.1,51
beltinci,2017,9729.49,7060.71,677.17,1864.66,126.96,2198,7060,1110,3752,40,42,37.9,20.5,21.4,19.6,79.5,78.6,80.4,4,-9,-40,-45,-5.4,37,58,21,7,133,270,137,32.7,10,18,8,2.2,139,261,122,31.6,6,-9,-15,-1.1,-27,-40,-13,-4.8,-21,-49,-28,-5.9,54.6,56.6,52.5
beltinci,2018,10366.96,7605.06,681.61,1972.58,107.71,2128,6997,1140,3729,42,46.6,37.2,20.8,22.1,19.4,79.2,77.9,80.6,-42,-40,2,-80,-9.8,17,28,11,3.4,121,256,135,31.4,17,30,13,3.7,106,216,110,26.5,-15,-40,-25,-4.9,0,2,2,0.2,-15,-38,-23,-4.7,57.7,58.4,57.1
beltinci,2019,11035.05,8070.23,752.49,2066.34,145.99,2062,6932,1149,3721,41,44.4,37.3,20.6,21.7,19.4,79.4,78.3,80.6,-24,-3,-18,-45,-5.6,15,32,17,4,130,261,131,32.2,9,14,5,1.7,125,258,133,31.9,-5,-3,2,-0.4,-6,-18,-12,-2.2,-11,-21,-10,-2.6,59,59.7,58.2
beltinci,2020,11713.04,8537.79,827.97,2253.36,93.91,2004,6902,1183,3715,39.7,44.8,34.4,20.5,21.7,19.4,79.5,78.3,80.6,-45,13,40,8,1,16,27,11,3.4,181,347,166,43.1,44,67,23,8.3,190,360,170,44.8,9,13,4,1.6,28,40,12,5,37,53,16,6.6,60.1,60.9,59.3
