obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Basic or less,Education - TOTAL,Tertiary,Upper secondary,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for women
dravograd,2001,,,,,,,,,,72.8,73.3,72.2,43,43.9,41.9,57,56.1,58.1,-1,35,-14,20,2.3,26,34,8,3.9,31,80,49,9.2,10,20,10,2.3,51,115,64,13.2,20,35,15,4,-16,-14,2,-1.6,4,21,17,2.4,,,
dravograd,2002,,,,,,,,,,71.3,71,71.7,41.9,42.2,41.7,58.1,57.8,58.3,-12,1,-32,-43,-4.9,25,46,21,5.3,36,89,53,10.2,10,14,4,1.6,44,90,46,10.3,8,1,-7,0.1,-15,-32,-17,-3.7,-7,-31,-24,-3.6,57.2,60.7,53.1
dravograd,2003,,,,,,,,,,67.9,74.7,59.6,40.9,43.3,38.1,59.1,56.7,61.9,-12,8,-10,-14,-1.6,7,22,15,2.5,26,67,41,7.7,7,12,5,1.4,41,75,34,8.6,15,8,-7,0.9,0,-10,-10,-1.1,15,-2,-17,-0.2,55.4,59.4,51.2
dravograd,2004,,,,,,,,,,68.6,74.5,61.5,39.7,42,36.9,60.3,58,63.1,10,24,-14,20,2.3,19,30,11,3.4,36,74,38,8.5,10,16,6,1.8,45,98,53,11.2,9,24,15,2.7,-9,-14,-5,-1.6,0,10,10,1.1,55.9,59.5,51.9
dravograd,2005,,,,,,,,,,69.5,75.6,62.2,37.9,40.2,35.1,62.1,59.8,64.9,-4,18,9,23,2.6,11,16,5,1.8,43,112,69,12.8,16,25,9,2.9,59,130,71,14.8,16,18,2,2.1,5,9,4,1,21,27,6,3.1,59,63.1,54.6
dravograd,2006,,,,,,,,,,73.3,80.3,64.6,38,40.6,34.9,62,59.4,65.1,27,15,27,69,7.8,12,15,3,1.7,57,126,69,14.3,29,42,13,4.8,63,141,78,16,6,15,9,1.7,17,27,10,3.1,23,42,19,4.8,59.2,63.7,54.4
dravograd,2007,,,,,,,,,,75.7,81.4,68.6,38.9,41.5,35.6,61.1,58.5,64.4,29,-34,33,28,3.2,18,30,12,3.4,61,143,82,16.1,52,63,11,7.1,45,109,64,12.3,-16,-34,-18,-3.8,34,33,-1,3.7,18,-1,-19,-0.1,60.8,65.2,56.1
dravograd,2008,,,,,,,,,,76.1,80.1,70.9,39.6,41.7,36.8,60.4,58.3,63.2,-3,-44,95,48,5.3,11,19,8,2.1,203,429,226,47.5,93,114,21,12.6,195,385,190,42.6,-8,-44,-36,-4.9,82,95,13,10.5,74,51,-23,5.6,62.2,65.9,58
dravograd,2009,,,,,,,,,,76.3,78.9,72.9,39.7,40.7,38.3,60.3,59.3,61.7,-10,3,59,52,5.7,48,58,10,6.4,195,383,188,42.1,83,117,34,12.9,204,386,182,42.4,9,3,-6,0.3,35,59,24,6.5,44,62,18,6.8,61.4,65.3,56.9
dravograd,2010,,,,,,,,,,80,80.7,79.1,40.5,40.3,40.8,59.5,59.7,59.2,-13,-3,-19,-35,-3.9,38,59,21,6.5,205,385,180,42.5,24,40,16,4.4,186,382,196,42.1,-19,-3,16,-0.3,-14,-19,-5,-2.1,-33,-22,11,-2.4,59,63.9,53.4
duplek,2000,,,,,,,,,,26.7,28.4,24.6,16.3,17.6,14.5,83.7,82.4,85.5,-2,74,0,72,12.2,2,2,0,0.3,25,57,32,9.7,1,2,1,0.3,59,131,72,22.2,34,74,40,12.6,-1,0,1,0,33,74,41,12.6,,,
duplek,2001,,,,,,,,,,25.1,26.7,23.1,16.4,17.8,14.6,83.6,82.2,85.4,-14,54,0,40,6.7,3,3,0,0.5,27,62,35,10.4,2,3,1,0.5,56,116,60,19.5,29,54,25,9.1,-1,0,1,0,28,54,26,9.1,,,
duplek,2002,,,,,,,,,,24,26,21.3,15.1,17.3,12.3,84.9,82.7,87.7,9,47,0,56,9.3,3,3,0,0.5,40,88,48,14.6,2,3,1,0.5,60,135,75,22.3,20,47,27,7.8,-1,0,1,0,19,47,28,7.8,52,58.7,45.9
duplek,2003,,,,,,,,,,23.5,25.5,20.9,14.1,16,11.7,85.9,84,88.3,-16,65,-2,47,7.7,3,6,3,1,27,53,26,8.7,2,4,2,0.7,63,118,55,19.4,36,65,29,10.7,-1,-2,-1,-0.3,35,63,28,10.4,52.5,58.9,46
duplek,2004,,,,,,,,,,24.2,26.3,21.5,14.2,16.2,11.6,85.8,83.8,88.4,10,56,1,67,10.9,1,4,3,0.7,24,51,27,8.3,2,5,3,0.8,44,107,63,17.5,20,56,36,9.2,1,1,0,0.2,21,57,36,9.3,52.7,59.3,45.9
duplek,2005,,,,,,,,,,25.1,27.4,22.1,14.7,16.7,12.1,85.3,83.3,87.9,-1,54,-3,50,8.1,3,9,6,1.5,33,70,37,11.3,2,6,4,1,67,124,57,20,34,54,20,8.7,-1,-3,-2,-0.5,33,51,18,8.2,55.6,62.6,48.4
duplek,2006,,,,,,,,,,26.7,29.2,23.4,14.8,16.9,12.2,85.2,83.1,87.8,-11,68,12,69,11,5,9,4,1.4,50,98,48,15.6,12,21,9,3.4,81,166,85,26.5,31,68,37,10.9,7,12,5,1.9,38,80,42,12.8,55.9,63.3,48.4
duplek,2007,,,,,,,,,,28.1,30.4,25.2,15.1,17.3,12.3,84.9,82.7,87.7,-9,170,14,175,27.5,3,12,9,1.9,33,80,47,12.6,18,26,8,4.1,120,250,130,39.3,87,170,83,26.7,15,14,-1,2.2,102,184,82,28.9,57.9,64.7,51
duplek,2008,,,,,,,,,,27,29.6,23.9,14.7,16.7,12.2,85.3,83.3,87.8,16,87,-14,89,13.7,23,50,27,7.7,107,195,88,30,31,36,5,5.5,132,282,150,43.4,25,87,62,13.4,8,-14,-22,-2.2,33,73,40,11.2,59.7,65.8,53.4
duplek,2009,,,,,,,,,,27.8,29.7,25.7,15.7,17.9,13.1,84.3,82.1,86.9,21,31,6,58,8.8,15,19,4,2.9,87,185,98,28.1,21,25,4,3.8,105,216,111,32.8,18,31,13,4.7,6,6,0,0.9,24,37,13,5.6,59.9,65.4,54.2
duplek,2010,,,,,,,,,,27.3,29,25.3,16,18.5,13,84,81.5,87,55,18,-10,63,9.5,19,21,2,3.2,115,244,129,36.7,8,11,3,1.7,122,262,140,39.4,7,18,11,2.7,-11,-10,1,-1.5,-4,8,12,1.2,58.5,64,52.8
gorenja vas - poljane,2000,,,,,,,,,,41.2,43.9,37.7,30.5,32,28.6,69.5,68,71.4,34,29,-6,57,8.4,6,9,3,1.3,17,47,30,6.9,3,3,0,0.4,40,76,36,11.2,23,29,6,4.3,-3,-6,-3,-0.9,20,23,3,3.4,,,
gorenja vas - poljane,2001,,,,,,,,,,39.7,42.3,36.2,29.5,31.2,27.4,70.5,68.8,72.6,35,23,-1,57,8.3,2,5,3,0.7,23,37,14,5.4,4,4,0,0.6,29,60,31,8.7,6,23,17,3.4,2,-1,-3,-0.1,8,22,14,3.2,,,
gorenja vas - poljane,2002,,,,,,,,,,39.1,40.8,37,28.6,29.6,27.4,71.4,70.4,72.6,41,6,7,54,7.8,3,10,7,1.4,22,48,26,6.9,8,17,9,2.5,20,54,34,7.8,-2,6,8,0.9,5,7,2,1,3,13,10,1.9,59.6,65.2,53.2
gorenja vas - poljane,2003,,,,,,,,,,39.7,41,38.1,29.1,29.6,28.4,70.9,70.4,71.6,-3,1,6,4,0.6,3,5,2,0.7,25,62,37,8.9,5,11,6,1.6,29,63,34,9.1,4,1,-3,0.1,2,6,4,0.9,6,7,1,1,58.7,65.4,51.5
gorenja vas - poljane,2004,,,,,,,,,,39.4,42.1,35.9,27.9,29.5,25.8,72.1,70.5,74.2,24,7,-3,28,4,3,4,1,0.6,26,57,31,8.2,1,1,0,0.1,29,64,35,9.2,3,7,4,1,-2,-3,-1,-0.4,1,4,3,0.6,60.1,67.2,52.6
gorenja vas - poljane,2005,,,,,,,,,,40.5,43.6,36.4,28.2,30,25.8,71.8,70,74.2,21,17,13,51,7.3,3,3,0,0.4,35,68,33,9.7,11,16,5,2.3,37,85,48,12.1,2,17,15,2.4,8,13,5,1.9,10,30,20,4.3,62.8,70.5,54.6
gorenja vas - poljane,2006,,,,,,,,,,39.3,42.1,35.6,27.6,29.4,25.2,72.4,70.6,74.8,47,13,7,67,9.5,16,16,0,2.3,33,72,39,10.2,18,23,5,3.3,48,85,37,12,15,13,-2,1.8,2,7,5,1,17,20,3,2.8,63.2,71,54.8
gorenja vas - poljane,2007,,,,,,,,,,39.3,42,35.8,27.9,29.9,25.2,72.1,70.1,74.8,38,-1,7,44,6.2,12,17,5,2.4,24,74,50,10.4,13,24,11,3.4,34,73,39,10.3,10,-1,-11,-0.1,1,7,6,1,11,6,-5,0.8,64.2,71.6,56.3
gorenja vas - poljane,2008,,,,,,,,,,40.4,44.1,35.5,28.1,30.8,24.6,71.9,69.2,75.4,77,-21,14,70,9.8,6,11,5,1.5,102,243,141,34.2,20,25,5,3.5,98,222,124,31.2,-4,-21,-17,-3,14,14,0,2,10,-7,-17,-1,64.7,71.6,57.3
gorenja vas - poljane,2009,,,,,,,,,,41.7,44.9,37.6,29.7,32.6,26.1,70.3,67.4,73.9,72,-23,15,64,8.9,14,17,3,2.4,93,190,97,26.5,23,32,9,4.5,91,167,76,23.3,-2,-23,-21,-3.2,9,15,6,2.1,7,-8,-15,-1.1,63.4,69.7,56.7
gorenja vas - poljane,2010,,,,,,,,,,40.7,43.2,37.5,28.9,30.9,26.4,71.1,69.1,73.6,73,-23,0,50,6.9,11,13,2,1.8,93,203,110,27.9,7,13,6,1.8,71,180,109,24.8,-22,-23,-1,-3.2,-4,0,4,0,-26,-23,3,-3.2,61.8,67.2,56.1
gorišnica,2000,,,,,,,,,,33.8,33.9,33.6,18.9,18.9,19,81.1,81.1,81,17,45,0,62,10.3,3,5,2,0.8,17,50,33,8.3,4,5,1,0.8,51,95,44,15.8,34,45,11,7.5,1,0,-1,0,35,45,10,7.5,,,
gorišnica,2001,,,,,,,,,,33.9,32.8,35.5,19.6,18.6,21,80.4,81.4,79,8,55,2,65,10.7,3,4,1,0.7,28,44,16,7.3,5,6,1,1,55,99,44,16.3,27,55,28,9.1,2,2,0,0.3,29,57,28,9.4,,,
gorišnica,2002,,,,,,,,,,34.7,35,34.3,19.8,19.3,20.4,80.2,80.7,79.6,-1,21,13,33,5.4,3,6,3,1,29,65,36,10.6,14,19,5,3.1,45,86,41,14,16,21,5,3.4,11,13,2,2.1,27,34,7,5.5,51.8,57.1,45.9
gorišnica,2003,,,,,,,,,,33.9,34.1,33.5,19.3,19.3,19.3,80.7,80.7,80.7,-13,36,1,24,3.9,7,11,4,1.8,24,45,21,7.3,8,12,4,2,39,81,42,13.2,15,36,21,5.9,1,1,0,0.2,16,37,21,6,50.4,55.6,44.5
gorišnica,2004,,,,,,,,,,36.1,36.7,35.2,19.5,19.7,19.1,80.5,80.3,80.9,-25,29,4,8,1.3,3,5,2,0.8,30,53,23,8.6,7,9,2,1.5,41,82,41,13.2,11,29,18,4.7,4,4,0,0.6,15,33,18,5.3,51.6,56.9,45.7
gorišnica,2005,,,,,,,,,,35.3,34.8,36,19.2,18.4,20.3,80.8,81.6,79.7,-9,7,1,-1,-0.2,11,16,5,2.6,25,47,22,7.6,8,17,9,2.7,34,54,20,8.7,9,7,-2,1.1,-3,1,4,0.2,6,8,2,1.3,52.3,58.2,45.8
gorišnica,2006,,,,,,,,,,37.7,37.9,37.4,19.2,19.2,19.1,80.8,80.8,80.9,-12,52,4,44,7.1,7,13,6,2.1,33,67,34,10.8,9,17,8,2.7,62,119,57,19.2,29,52,23,8.4,2,4,2,0.6,31,56,25,9,53.6,59.9,46.6
gorišnica,2007,,,,,,,,,,44.1,50.7,35.6,19.5,21.7,16.5,80.5,78.3,83.5,14,-11,2,5,1.3,2,5,3,1.3,33,51,18,13,4,7,3,1.8,16,40,24,10.2,-17,-11,6,-2.8,2,2,0,0.5,-15,-9,6,-2.3,57.3,64.2,49.8
gorišnica,2008,,,,,,,,,,45.9,52.6,37.4,20.5,22.4,18,79.5,77.6,82,1,-3,1,-1,-0.3,3,11,8,2.8,74,180,106,46.2,7,12,5,3.1,69,177,108,45.4,-5,-3,2,-0.8,4,1,-3,0.3,-1,-2,-1,-0.5,59.3,65.9,52.1
gorišnica,2009,,,,,,,,,,46.4,52,39,22,25.1,18.1,78,74.9,81.9,-6,16,24,34,8.5,5,8,3,2,87,174,87,43.6,25,32,7,8,85,190,105,47.6,-2,16,18,4,20,24,4,6,18,40,22,10,59.2,65.7,52.1
gorišnica,2010,,,,,,,,,,46.8,52.6,39.5,22.2,24.7,19,77.8,75.3,81,-5,57,-8,44,10.9,16,31,15,7.7,81,176,95,43.7,15,23,8,5.7,117,233,116,57.9,36,57,21,14.2,-1,-8,-7,-2,35,49,14,12.2,57.9,64,51.2
gorje,2000,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
gorje,2001,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
gorje,2002,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gorje,2003,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gorje,2004,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gorje,2005,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gorje,2006,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gorje,2007,,,,,,,,,,34,38.7,28.5,15.4,19.8,10.2,84.6,80.2,89.8,0,1,-34,-33,-11.4,26,42,16,14.5,27,57,30,19.7,6,8,2,2.8,27,58,31,20,0,1,1,0.3,-20,-34,-14,-11.8,-20,-33,-13,-11.4,57.8,63.1,52.4
gorje,2008,,,,,,,,,,36.4,41.4,30.5,16.7,22.4,10.2,83.3,77.6,89.8,16,11,35,62,21.6,1,4,3,1.4,50,120,70,41.8,26,39,13,13.6,59,131,72,45.6,9,11,2,3.8,25,35,10,12.2,34,46,12,16,59.3,63.7,54.8
gorje,2009,,,,,,,,,,38,42.4,32.9,17.7,22.8,11.8,82.3,77.2,88.2,-5,-24,9,-20,-6.9,5,7,2,2.4,52,122,70,42.2,11,16,5,5.5,45,98,53,33.9,-7,-24,-17,-8.3,6,9,3,3.1,-1,-15,-14,-5.2,57.7,61.4,53.9
gorje,2010,,,,,,,,,,38.3,41.7,34.4,18.5,22.7,13.8,81.5,77.3,86.2,17,7,5,29,9.9,4,7,3,2.4,62,121,59,41.4,8,12,4,4.1,67,128,61,43.8,5,7,2,2.4,4,5,1,1.7,9,12,3,4.1,57,60.2,53.6
gornja radgona,2000,,,,,,,,,,107.1,108.1,106,66.3,65.4,67.4,33.7,34.6,32.6,-21,-1,-3,-25,-2,10,20,10,1.6,41,101,60,8,11,17,6,1.4,48,100,52,7.9,7,-1,-8,-0.1,1,-3,-4,-0.2,8,-4,-12,-0.3,,,
gornja radgona,2001,,,,,,,,,,106.4,108.9,103.4,64.8,64.9,64.7,35.2,35.1,35.3,-24,-16,-6,-46,-3.7,14,22,8,1.8,66,124,58,9.9,7,16,9,1.3,53,108,55,8.6,-13,-16,-3,-1.3,-7,-6,1,-0.5,-20,-22,-2,-1.8,,,
gornja radgona,2002,,,,,,,,,,103.7,107.5,99.2,63.9,64.6,63,36.1,35.4,37,-47,18,-30,-59,-4.7,18,43,25,3.4,50,117,67,9.3,3,13,10,1,66,135,69,10.8,16,18,2,1.4,-15,-30,-15,-2.4,1,-12,-13,-1,48.6,52.6,44.7
gornja radgona,2003,,,,,,,,,,99.4,108.7,88.3,59.3,62.9,54.9,40.7,37.1,45.1,-17,5,-5,-17,-1.4,10,15,5,1.2,56,106,50,8.5,3,10,7,0.8,53,111,58,8.9,-3,5,8,0.4,-7,-5,2,-0.4,-10,0,10,0,48.4,52.4,44.2
gornja radgona,2004,,,,,,,,,,100.4,109.6,89.1,59,62.1,55.2,41,37.9,44.8,-37,-13,-19,-69,-5.5,13,28,15,2.2,54,121,67,9.7,6,9,3,0.7,52,108,56,8.7,-2,-13,-11,-1,-7,-19,-12,-1.5,-9,-32,-23,-2.6,49.7,54.2,45
gornja radgona,2005,,,,,,,,,,100.4,108.6,90.3,59.1,61.1,56.7,40.9,38.9,43.3,-25,-9,0,-34,-2.7,10,18,8,1.4,42,120,78,9.7,8,18,10,1.4,50,111,61,8.9,8,-9,-17,-0.7,-2,0,2,0,6,-9,-15,-0.7,52,56.6,47.1
gornja radgona,2006,,,,,,,,,,101.1,110.5,89.2,57.5,60.1,54.3,42.5,39.9,45.7,-20,16,-47,-51,-4.1,34,71,37,5.7,61,131,70,10.6,13,24,11,1.9,72,147,75,11.9,11,16,5,1.3,-21,-47,-26,-3.8,-10,-31,-21,-2.5,52.8,57.9,47.5
gornja radgona,2007,,,,,,,,,,131.3,140.7,119.8,56.2,57.3,54.8,43.8,42.7,45.2,-24,20,3,-1,-0.1,16,34,18,3.9,42,100,58,11.5,27,37,10,4.2,56,120,64,13.8,14,20,6,2.3,11,3,-8,0.3,25,23,-2,2.6,56.7,62.2,51
gornja radgona,2008,,,,,,,,,,129.6,136.9,120.7,56.4,56.2,56.6,43.6,43.8,43.4,-12,64,-7,45,5.2,19,37,18,4.3,235,523,288,60.4,20,30,10,3.5,253,587,334,67.7,18,64,46,7.4,1,-7,-8,-0.8,19,57,38,6.6,58.3,63.4,53
gornja radgona,2009,,,,,,,,,,138,145.6,128.5,59.1,58.3,60.1,40.9,41.7,39.9,-26,39,-2,11,1.3,20,33,13,3.8,146,306,160,35.5,25,31,6,3.6,163,345,182,40,17,39,22,4.5,5,-2,-7,-0.2,22,37,15,4.3,57.2,62.7,51.5
gornja radgona,2010,,,,,,,,,,136.1,145.8,124.8,59.1,59.5,58.7,40.9,40.5,41.3,-6,-27,0,-33,-3.9,21,35,14,4.1,175,376,201,43.9,21,35,14,4.1,157,349,192,40.7,-18,-27,-9,-3.2,0,0,0,0,-18,-27,-9,-3.2,54.7,60.3,48.9
gornji grad,2000,,,,,,,,,,42.9,45.4,39.8,30.5,33.1,27.4,69.5,66.9,72.6,-1,-6,-5,-12,-4.6,2,5,3,1.9,13,30,17,11.5,0,0,0,0,10,24,14,9.2,-3,-6,-3,-2.3,-2,-5,-3,-1.9,-5,-11,-6,-4.2,,,
gornji grad,2001,,,,,,,,,,40.9,43.8,37.5,29.5,32.3,26.1,70.5,67.7,73.9,2,11,2,15,5.7,1,2,1,0.8,10,17,7,6.5,0,4,4,1.5,9,28,19,10.7,-1,11,12,4.2,-1,2,3,0.8,-2,13,15,5,,,
gornji grad,2002,,,,,,,,,,40,43.7,35.3,28.5,31.2,25.3,71.5,68.8,74.7,-3,5,2,4,1.5,4,6,2,2.3,9,19,10,7.2,4,8,4,3,9,24,15,9.1,0,5,5,1.9,0,2,2,0.8,0,7,7,2.6,56.1,62,49.7
gornji grad,2003,,,,,,,,,,39.9,39,41.1,28.3,28.5,28,71.7,71.5,72,2,0,-2,0,0,3,5,2,1.9,14,31,17,11.8,1,3,2,1.1,14,31,17,11.8,0,0,0,0,-2,-2,0,-0.8,-2,-2,0,-0.8,55.8,62,49.3
gornji grad,2004,,,,,,,,,,42.3,36.8,49,29.7,28.2,31.4,70.3,71.8,68.6,0,4,-1,3,1.1,1,2,1,0.8,7,17,10,6.4,0,1,1,0.4,7,21,14,8,0,4,4,1.5,-1,-1,0,-0.4,-1,3,4,1.1,55.8,61.4,49.8
gornji grad,2005,,,,,,,,,,43.2,36.9,50.7,29.5,28.1,31.1,70.5,71.9,68.9,-13,-21,0,-34,-13,1,3,2,1.1,16,37,21,14.1,3,3,0,1.1,9,16,7,6.1,-7,-21,-14,-8,2,0,-2,0,-5,-21,-16,-8,57.4,61.8,52.7
gornji grad,2006,,,,,,,,,,49.5,41.6,59.1,30.8,29.1,32.9,69.2,70.9,67.1,-8,-19,0,-27,-10.4,1,2,1,0.8,15,37,22,14.3,2,2,0,0.8,10,18,8,6.9,-5,-19,-14,-7.3,1,0,-1,0,-4,-19,-15,-7.3,57.3,61.8,52.4
gornji grad,2007,,,,,,,,,,46.9,39.4,55.9,29.5,27.6,31.9,70.5,72.4,68.1,7,4,-4,7,2.7,3,7,4,2.7,9,25,16,9.7,2,3,1,1.2,16,29,13,11.2,7,4,-3,1.5,-1,-4,-3,-1.5,6,0,-6,0,58.8,63,54.1
gornji grad,2008,,,,,,,,,,45.7,39.4,53.3,29,27.7,30.7,71,72.3,69.3,-34,3,3,-28,-10.6,0,0,0,0,67,187,120,71,2,3,1,1.1,63,190,127,72.1,-4,3,7,1.1,2,3,1,1.1,-2,6,8,2.3,59.9,63.6,55.7
gornji grad,2009,,,,,,,,,,49.5,42.9,57.8,30.5,29.6,31.6,69.5,70.4,68.4,-35,63,8,36,13.6,0,1,1,0.4,44,107,63,40.3,9,9,0,3.4,74,170,96,64.1,30,63,33,23.7,9,8,-1,3,39,71,32,26.8,58.4,63.1,53.3
gornji grad,2010,,,,,,,,,,48.9,42.8,56.5,30.2,29.9,30.5,69.8,70.1,69.5,-48,38,-1,-11,-4.1,4,4,0,1.5,52,115,63,43.1,2,3,1,1.1,67,153,86,57.3,15,38,23,14.2,-2,-1,1,-0.4,13,37,24,13.9,57.5,62.3,52
gornji petrovci,2000,,,,,,,,,,58.8,40.6,80.6,31.6,24.1,40.7,68.4,75.9,59.3,-20,2,-16,-34,-14.2,15,16,1,6.7,9,22,13,9.2,0,0,0,0,11,24,13,10,2,2,0,0.8,-15,-16,-1,-6.7,-13,-14,-1,-5.9,,,
gornji petrovci,2001,,,,,,,,,,60.5,42.1,83.6,32.8,26.4,40.8,67.2,73.6,59.2,-35,-5,-1,-41,-17.6,1,2,1,0.9,7,20,13,8.6,1,1,0,0.4,7,15,8,6.4,0,-5,-5,-2.1,0,-1,-1,-0.4,0,-6,-6,-2.6,,,
gornji petrovci,2002,,,,,,,,,,31.1,33.6,28,21.7,25.3,17.2,78.3,74.7,82.8,-20,-3,0,-23,-9.9,0,1,1,0.4,12,23,11,9.9,0,1,1,0.4,7,20,13,8.6,-5,-3,2,-1.3,0,0,0,0,-5,-3,2,-1.3,59.9,68.9,51.7
gornji petrovci,2003,,,,,,,,,,83.1,54.4,117,39.9,32.7,48.4,60.1,67.3,51.6,-29,14,1,-14,-6.1,0,0,0,0,4,7,3,3,1,1,0,0.4,9,21,12,9.1,5,14,9,6.1,1,1,0,0.4,6,15,9,6.5,56.1,64.2,47.8
gornji petrovci,2004,,,,,,,,,,77.4,47.8,111.3,37.6,29,47.3,62.4,71,52.7,-9,3,1,-5,-2.2,0,0,0,0,17,29,12,12.7,0,1,1,0.4,16,32,16,14,-1,3,4,1.3,0,1,1,0.4,-1,4,5,1.7,57.5,64.2,50.3
gornji petrovci,2005,,,,,,,,,,58,38.9,80.5,28.8,23.8,34.8,71.2,76.2,65.2,-21,13,-2,-10,-4.4,3,6,3,2.6,4,15,11,6.6,3,4,1,1.7,12,28,16,12.2,8,13,5,5.7,0,-2,-2,-0.9,8,11,3,4.8,54.7,60.6,48.6
gornji petrovci,2006,,,,,,,,,,58.7,37.3,83.4,26.7,20.9,33.4,73.3,79.1,66.6,-21,7,0,-14,-6.2,3,3,0,1.3,9,26,17,11.4,1,3,2,1.3,17,33,16,14.5,8,7,-1,3.1,-2,0,2,0,6,7,1,3.1,56,62.7,49.1
gornji petrovci,2007,,,,,,,,,,58.9,34.4,88,25.6,18.9,33.7,74.4,81.1,66.3,-10,14,6,10,4.4,3,4,1,1.8,6,14,8,6.2,6,10,4,4.4,11,28,17,12.3,5,14,9,6.2,3,6,3,2.6,8,20,12,8.8,58.9,65.5,52
gornji petrovci,2008,,,,,,,,,,49.6,37,64.6,24.6,19.7,30.5,75.4,80.3,69.5,-25,-25,4,-46,-20.7,3,4,1,1.8,44,104,60,46.8,3,8,5,3.6,41,79,38,35.5,-3,-25,-22,-11.2,0,4,4,1.8,-3,-21,-18,-9.4,61.1,67.1,54.7
gornji petrovci,2009,,,,,,,,,,48.2,35.5,64.4,24.7,20.1,30.5,75.3,79.9,69.5,-18,-17,5,-30,-13.6,3,3,0,1.4,41,87,46,39.4,6,8,2,3.6,36,70,34,31.7,-5,-17,-12,-7.7,3,5,2,2.3,-2,-12,-10,-5.4,59.9,68.2,51.1
gornji petrovci,2010,,,,,,,,,,44.5,34.2,56.6,22.9,20,26.3,77.1,80,73.7,-15,1,-8,-22,-10.1,5,15,10,6.9,44,85,41,39.1,5,7,2,3.2,44,86,42,39.5,0,1,1,0.5,0,-8,-8,-3.7,0,-7,-7,-3.2,57.1,68,45.7
grad,2000,,,,,,,,,,41.1,30.3,56.5,20,17.9,22.9,80,82.1,77.1,-24,6,-1,-19,-7.2,1,2,1,0.8,6,18,12,6.9,1,1,0,0.4,10,24,14,9.1,4,6,2,2.3,0,-1,-1,-0.4,4,5,1,1.9,,,
grad,2001,,,,,,,,,,40.9,28.9,56.7,21.1,17.9,25.3,78.9,82.1,74.7,-16,-9,-2,-27,-11.2,2,2,0,0.8,13,29,16,12,0,0,0,0,4,20,16,8.3,-9,-9,0,-3.7,-2,-2,0,-0.8,-11,-11,0,-4.6,,,
grad,2002,,,,,,,,,,35.4,28.7,43.8,22.4,20,25.4,77.6,80,74.6,-18,-1,-3,-22,-9.2,2,5,3,2.1,7,18,11,7.5,2,2,0,0.8,10,17,7,7.1,3,-1,-4,-0.4,0,-3,-3,-1.3,3,-4,-7,-1.7,49.7,57.7,42
