regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
gorenjska,2019,13790.84,10179.64,598.02,2342.7,670.47,69.3,73.1,65.2,111.0,-68.0,1913.0,1956.0,9.5,753.0,1175.0,422.0,5.7,15.9,1730.0,3268.0,1538.0,2223.0,3088.0,865.0,15.0,15.6,1722.0,3200.0,1478.0,-8.0,-68.0,-60.0,-0.3,1470.0,1913.0,443.0,9.3,1462.0,1845.0,383.0,9.0,85.6,90.5,79.8,72.6,74.8,70.0,27.4,25.2,30.0
gorenjska,2020,14057.76,10360.48,665.47,2485.11,546.71,68.4,71.9,64.6,-320.0,2575.0,1996.0,4251.0,20.5,978.0,1447.0,469.0,7.0,26.0,2858.0,5398.0,2540.0,2212.0,3443.0,1231.0,16.6,38.4,4150.0,7973.0,3823.0,1292.0,2575.0,1283.0,12.4,1234.0,1996.0,762.0,9.6,2526.0,4571.0,2045.0,22.0,83.6,88.3,77.9,70.3,72.3,68.0,29.7,27.7,32.0
gorenjska,2021,15266.42,11408.47,669.62,2627.0,561.33,70.1,73.7,66.3,-125.0,283.0,213.0,371.0,1.8,1358.0,1925.0,567.0,9.1,24.5,2737.0,5186.0,2449.0,1273.0,2138.0,865.0,10.1,25.9,2808.0,5469.0,2661.0,71.0,283.0,212.0,1.3,-85.0,213.0,298.0,1.0,-14.0,496.0,510.0,2.3,83.8,88.9,77.7,69.8,71.9,67.3,30.2,28.1,32.7
gorenjska,2022,16434.28,12209.77,709.88,2855.19,659.45,71.7,75.6,67.6,-253.0,-2426.0,1657.0,-1022.0,-4.8,1298.0,1864.0,566.0,8.8,33.6,3629.0,7075.0,3446.0,2155.0,3521.0,1366.0,16.7,22.1,2456.0,4649.0,2193.0,-1173.0,-2426.0,-1253.0,-11.5,857.0,1657.0,800.0,7.9,-316.0,-769.0,-453.0,-3.6,85.8,90.7,80.0,71.1,73.1,68.7,28.9,26.9,31.3
gorenjska,2023,18102.23,13616.33,743.46,3037.1,705.33,71.7,75.3,67.8,-224.0,-1522.0,1009.0,-737.0,-3.5,1296.0,2057.0,761.0,9.8,25.1,2752.0,5262.0,2510.0,1990.0,3066.0,1076.0,14.6,17.9,1901.0,3740.0,1839.0,-851.0,-1522.0,-671.0,-7.3,694.0,1009.0,315.0,4.8,-157.0,-513.0,-356.0,-2.5,86.2,90.8,80.9,71.2,72.8,69.4,28.8,27.2,30.6
gorenjska,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,90.2,81.2,70.9,72.3,69.3,29.1,27.7,30.7
gorenjska,2025,20609.89207697953,15644.837147345137,774.170727272729,3068.6749696969637,844.6496832966901,71.35934500282315,74.54505928853769,67.88170525127043,72.33004926108333,-485.83152709359274,1038.142857142855,624.6413793103475,3.0392118226601,1278.0561576354667,1998.229556650229,720.1733990147768,9.63546798029563,28.428374384236577,3072.3093596058898,5889.89556650247,2817.5862068965507,1962.3241379310202,3036.372413793113,1074.0482758620637,14.657931034482772,26.10413793103453,2826.986206896545,5404.06403940887,2577.0778325123247,-245.32315270935942,-485.83152709359274,-240.50837438423332,-2.348768472906414,684.2679802955681,1038.142857142855,353.8748768472906,5.014285714285734,438.9448275862087,552.3113300492623,113.36650246305362,2.6552709359606013,85.52749999999999,91.28999999999996,78.79000000000002,70.14499999999998,72.5025,67.39999999999998,29.855000000000018,27.497500000000002,32.60000000000002
gorenjska,2026,22615.239574870226,17279.240727946075,799.2674545454574,3167.0312727272685,937.84679820413,72.05245623941278,75.13557312252965,68.66860530773579,58.39162561576086,-504.54729064039566,1077.3004926108406,631.1448275862094,3.0670935960591166,1315.7083743842377,2058.4615763546753,742.7532019704377,9.920443349753782,29.404285714285834,3181.0399014778086,6094.126108374388,2913.0862068965507,2025.424137931026,3135.7620689655305,1110.3379310344899,15.131379310344755,26.991034482758778,2925.782758620684,5589.578817734029,2663.796059113316,-255.25714285713912,-504.54729064039566,-249.29014778324927,-2.4386699507389267,709.7157635468029,1077.3004926108406,367.5847290640413,5.202463054187206,454.4586206896565,572.7532019704449,118.2945812807884,2.752906403940898,85.62852941176469,91.6704411764706,78.56970588235293,69.87823529411764,72.35573529411766,66.99264705882354,30.121764705882356,27.644264705882335,33.007352941176464
gorenjska,2027,24779.25023465879,19053.80079783265,824.3641818181786,3265.3875757575734,1039.379777286521,72.74556747600218,75.72608695652184,69.45550536420114,44.453201970442024,-523.2630541871913,1116.4581280788261,637.6482758620714,3.0949753694581332,1353.3605911330087,2118.693596059107,765.3330049261058,10.20541871921182,30.38019704433509,3289.7704433497274,6298.356650246307,3008.5862068965507,2088.5241379310173,3235.151724137948,1146.6275862069015,15.604827586206852,27.8779310344828,3024.579310344823,5775.0935960591305,2750.5142857142782,-265.19113300492245,-523.2630541871913,-258.0719211822652,-2.528571428571439,735.1635467980304,1116.4581280788261,381.2945812807884,5.390640394088678,469.97241379310435,593.1950738916275,123.22266009852137,2.8505418719211946,85.72955882352939,92.05088235294124,78.3494117647059,69.6114705882353,72.20897058823527,66.58529411764698,30.388529411764694,27.791029411764725,33.41470588235302
goriška,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
